6744321,32994825,espanza,听说步步惊心在日本播的时候，超多人赞这首歌,34822,2014年12月6日
6922687,628243,大推理家,这个剧，八爷完败那一集，八福晋指责若曦的时候，八爷依然护着若曦，那一集彻底看哭了。虽然，四爷党很多，我想说，我是八爷党？大声告诉我，我不是一个人？马尔泰若曦！,26245,2014年12月10日
21662758,48453513,帐号已注销,第一最好不相见，如此便可不相恋。第二最好不相知，如此便可不相思。第三最好不相伴，如此便可不相欠。第四最好不相惜，如此便可不相忆。第五最好不相爱，如此便可不相弃。第六最好不相对，如此便可不相会。第七最好不相误，如此便可不相负。第八最好不相许，如此便可不相续。。。,23238,2015年6月11日
69258782,67532220,蜜汁自信霜霜子,其实步步里最欣赏的是十三爷，喜欢他和若曦兄弟相称、把酒言欢。但最可怜的也是十三爷，爱人死去，幽禁十年,15257,2016年2月10日
134725976,247335392,柚柚柚七,这是我看过最棒的古装剧 每个角色都有自己的灵魂 都有值得喜欢的亮点 服装和歌也都很赞 最后若曦和八爷十三爷诀别的拥抱我真是看一次哭一次 也是这部剧让我真正喜欢上了诗诗 一晃好几年了 我也喜欢了她好几年 若曦和四爷大婚 敏敏玉檀若兰是伴娘 十三和老十是伴郎 皇阿玛是证婚人满满的感动,12583,2016年3月27日
7201215,38480302,realroot,吾在天之涯，汝在地之角。不得与汝相守以死，是吾之大憾。汝之音容，终日萦绕，不可及，空余泪。若天有感，吾愿生而影与汝形相依，死而魂与汝梦相接！,11620,2014年12月16日
198631968,284476646,晚安安a-,而我最心疼的却是十四爷。他是喜欢若曦的，若曦在雨中罚跪只有他给她送吃的，问她如果换做是我你也会这样做吗？当若曦去了辛者库，也是他一次次的请皇上赐婚，即使知道她被罚的原因也不生气，最后带她走也是为了帮她逃离。若曦把喜欢给了八爷把爱情给了四爷把友情给了十三爷，唯独十四什么也没有🎀,10099,2016年8月14日
22094030,62613079,绛洞花王_,步步真心是极少有的制作精良，历史有考究，历史人物性格极致符合，全剧几乎无雷点的剧，你可以叫它偶像剧，历史剧，古装剧，爱情剧，穿越剧...因为这几个类型它都配得上其中精良。我看这个剧完全是因为对清史感兴趣，当时看了几本康雍时期的历史作品后看的，没想到陷了进去。最后，我是八爷党😂,9879,2015年6月14日
45275031,61031306,乘风来_,看到故宫雪景图就想起步步惊心的加我一个,8748,2015年11月6日
4305203,33028362,evylo,你明明知道你需要放手却放不下，因为你还是在等待不可能的发生，这种感觉真的很难受。,8415,2014年9月15日
133276049,104138684,影月叶落,还好诗诗跟吴奇隆结婚了，而且围观婚礼图片，他们真的很相爱，眼里都是彼此。吴奇隆说那段结婚誓词的时候，说到哽咽之处，拉着刘诗诗的手不停晃给自己打气，刘诗诗也心疼吴奇隆的过往，心疼落泪。weibo上，有张刘诗诗身披白纱，微笑着带泪的图片。真的很幸福感人,8267,2016年3月24日
7341832,47001653,棠簇荔及,高二的时候体育课休息的时候，跟一个关系特别好的妹子一起唱这首歌，怎么唱都不在一个调子上，她高我低。高考之后到现在两年了再也没有见过她。她在厦门，我在北京,7184,2014年12月19日
3890489,7194284,赣B青年不妥协,前奏我还以为是燕姿的《眼泪成诗》。。。。,4428,2014年8月19日
6607856,628243,大推理家,当时看哭的剧，无聊若曦演技如何，这个剧很感动，很细腻，谢谢！,4323,2014年12月2日
625675686,330734130,妈妈嫌我昵称长,高中一个男生最喜欢刘诗诗，空间里都是诗诗照片和新剧宣传。可是高三寒假前他突然被查出恶性脑瘤，从发现到去世也就三个月的时间。他没能亲眼看见他亲爱的诗诗嫁给四爷…愿他在天上一切都好,2101,2017年11月27日
1087132737,318421577,呱呱biubiu,突然听到这首歌，又回想起那些剧情，每天无法入睡流泪的若曦，无力地试图阻止他们的斗争…听这个旋律都不忍心听下去,278,2018年4月16日
1087117020,318421577,呱呱biubiu,步步惊心不是好看，而是深入灵魂。最后大结局通宵看完，震撼，惊心。年少的我才第一次深深知道人生有时候就是一场无可奈何。我们早已知道结局，知道宴席会散场，却依然要勇敢地活着。,364,2018年4月16日
1087114935,310081333,Ophiurid,届不到的……,30,2018年4月16日
1087043595,352836920,该账号已注销---------,温润如玉的八爷,62,2018年4月16日
1087040572,1410217529,矫情k小姐,仓央嘉措。,64,2018年4月16日
1086959262,416825429,水瓶座的课代表,配角也拥有特别的故事，有自己的生命历程，有血也有肉，而不单是为了衬托主角。,120,2018年4月16日
1086958072,399053733,披着被单扮仙女,行到水穷处 坐看云起时,145,2018年4月16日
1086950910,398480509,a梅花香自苦寒来a,踩着前边的脚印走,26,2018年4月16日
1086861850,1331346760,我是毛你呢,喜欢歌，但看剧没感觉,18,2018年4月16日
1086536603,353834721,幻影ef2000,我也是,19,2018年4月15日
1086388018,435879201,十一个时辰,剧里若曦和四爷分开了，而现实的若曦和四爷在一起了。也算是圆了这个心愿啊,114,2018年4月15日
1086333417,433098521,你过来让我抱一下,初见是惊鸿一瞥 南柯一梦是你重逢是始料未及 别来无恙是你。,115,2018年4月15日
1086262192,617535818,您也该想我了-,你不能妄想原本南行的人陪你一路向北,49,2018年4月15日
1086054133,427359965,杨花拟白头,安得与君相决绝，免教生死作相思。,64,2018年4月15日
1085946089,450061655,可小瑾,从小学到现在都很喜欢这首歌。真的越听越喜欢,28,2018年4月15日
1085903801,1423636424,预感lee123,难以想象男生看这个剧，而且还看哭了,23,2018年4月15日
1085898868,298354235,crazy-999,我做了一个梦 你蓄起了长发 我们一起慢慢变老 可是你不开心,38,2018年4月15日
1085827271,418081286,何兮l,哇，听这首歌，心都静下来了！！！,12,2018年4月15日
1085797265,1429426408,南方的小镇姑娘0,我,12,2018年4月15日
1085795206,31872344,关于Helen2013,用它做了独孤天下的mv，莫名的搭,5,2018年4月15日
