5109395,16067870,裤子懂丢丢,一首可以很久不听的 总会有一段时间翻出来听听 然后 泪如雨下,11.6万,2014年10月23日
1111797838,330386069,言午April,你看自由这个词，长得就像条条框框。,85977,2018年5月9日
5396990,1095828,小兽tata,回忆里的人是不能去见的,83334,2014年11月2日
5395593,30372881,Lalmost,那时候你在时 我换了条个签“或许只有你懂得我 所以你没逃脱” 后来你离开了我 偶然一天发现 你的最近在听显示这首歌。,39950,2014年11月2日
6711393,2794484,宫少_3,自由和恋爱不可兼得，难。,28861,2014年12月5日
1571928681,535578191,LIUMZJ,你跋山涉水去见的人根本不会牢记你他只会记得自己跋山涉水见过的人,22882,2019年7月27日
6569685,27022028,谁知流云去向何方,或许只有你懂得我，所以你没逃脱,22015,2014年12月2日
1562179328,131684075,告白-与告别,我是一名军校学员，我班长因为胃病住院耽误训练，学习训练压力太大希望退学，可是他父母执意要让他留在军校，不能被人看成“逃兵”，于是他在7月17日中午沟通无果从五楼跃下，结束了19岁的生命。我昨天上午参加完他的葬礼。他生前最喜欢的歌手是林宥嘉，8月3号我会去青岛看宥嘉的演唱会，带着他的那份,17317,2019年7月20日
4812642,8744419,Occcc-,和我的感受一样,14966,2014年10月10日
6699989,15425948,H-X-N,前任比我大十岁 那年我十六，她告我要听这首歌很有感，一直不以为然 结果处了四个月分手了，如今回顾一番 原来她想要的那么简单。我不再恨你和我的前死党拍拖，因为我那时候真的只是个小屁孩 现今听到这首歌会想起你 没有恨了 祝你幸福。,12222,2014年12月5日
1081957261,348880395,6k1Ms,抱紧我别逃脱,11830,2018年4月11日
6783113,42021647,偷心12956,这真的是一首百听不厌的歌，他的声音真的很适合！,10351,2014年12月7日
1349095853,472204910,噼里啪啦豆豆儿,这是一首让人听的很认真的歌歌词很戳心我不敢说我很丧很难过我知道这个世界上比我难过的人多的是 他们也充满无力这首歌听完之后，你就走吧，不再留你了，最后的尊严留给我，嗯，谢谢你 走了就不会再回来了，我之后好好吃饭，好好睡觉，好好学习，再也不分心了，会更爱我自己。2019年，1月6日。,8877,2019年1月6日
6509565,38855613,那些骄傲的小年华,或许只有你 懂得我 所以你没逃脱，一边在泪流 一边紧抱我 小声地说 多麽爱我，只有你 懂得我 就像被困住的野兽。,8492,2014年11月30日
1337634112,1477515090,青山只认白云俦-LYH,不要以为你放不下的人也放不下你。,6563,2018年12月25日
