4762792,3698727,水星夏天,生活不只是眼前的苟且，还有诗和远方,13.2万,2014年10月8日
123215002,22158569,钟慕贤,李健的存在证明了一件很残酷的事，这个世界上一种人，他就是比你有才就是比你聪明还他么长的比你帅。然后还那么低调……,12.3万,2016年2月24日
635145748,263784108,枕头梦醒,有人告诉我这首歌叫《包贝尔湖畔》，mmp！我说搜半天搜不到。,64127,2017年12月7日
4942798,39121052,McRedCat,有位诗人，他叫李健,55434,2014年10月16日
62718709,124504504,刘夏华丽,早 今天结婚 是个幸福的日子😊,46005,2016年1月18日
5534735,35949471,YolandaLin要欢喜,愿我能在你清晨薄雾般的眼神里，愿我常在你清澈安详的心湖底。,40263,2014年11月7日
5383623,39811246,Fonta,从刷贴吧，再到刷ins，推特，接客帝，从喜欢看小鲜肉的奇葩爱情，到喜欢一个人安静的听歌，看书爱过，恨过，青春过[呲牙，时间带走了我的幼稚，留下了我的成熟，小鲜肉终究变成了腊肠[呆],24689,2014年11月1日
72802582,30466663,灰鸽子zj,11岁男孩自弹自唱【贝加尔湖畔】我就听了三十遍！,16717,2016年2月21日
52510887,58484282,胖子萝卜蹲,刚才看完了大结局，心疼顾大人。虽说最终有情人未能成眷属，但是月牙的死和无心的失去记忆，对他俩来说终归还是得到了解脱;但是顾大人呢？他一个人活着,16281,2015年12月9日
6730854,39862302,吃个糖包子,生活不只是眼前的苟且，还有诗和远方。,9823,2014年12月6日
337132963,345664916,BabyFaceR-,生活不止眼前的苟且、还有明天后天的苟且！,9490,2017年3月23日
35256940,63674658,等不到天晴_,原来贝加尔湖是月牙形，知道后的我再看无心法师哭的泪奔,7490,2015年9月9日
1332450615,501705773,谁还没点情怀,如此抒情的歌曲，你让我笑的跟傻子似的,7367,2018年12月20日
1389725429,447272377,桂花-糖水,“等贝加尔湖畔的冰化了，我们带着孩子一起去钓鲑鱼。”“贝加尔的冰化了至少要两千多年。”“没关系，我们的孩子还有孩子，孩子的孩子还有孩子。”,7269,2019年2月13日
1543099795,482274986,泽黎先森,一首空灵悠扬的歌曲。俄罗斯风格的民谣曲风，将聆听者带入仙境般的湖畔美景，仿佛置身于其中的浪漫故事。那春风沉醉、绿草如茵、清澈又神秘的迷人风光和那两人中的篝火点燃了多少人对贝加尔湖的心驰神往。,5718,2019年7月2日
