5180085,33370052,洗澡橘子,备胎金曲+1,10.8万,2014年10月26日
14486675,52896248,叶氏天之助,在高中的一次舞台表演上，我为一个女孩演唱了这首歌，为了唱好这收歌，舍友都快成了专业的点评师了。而这首歌都成了宿舍的吹眠曲了。现在在听起这首歌时，让我想起的不是那个已经分手后，已有各自家庭的女孩子了，而是陪我一起走过人生最可爱最天真无知的那几个兄弟啊。希望大家都能过的好好的。,68390,2015年4月6日
7506738,42253083,文千千,云备胎的感受？,18762,2014年12月23日
4980153,15225208,帐号已注销,期待李圣杰翻唱李行亮的《愿得一人心》,14087,2014年10月18日
24829213,45615583,红袖添乱EVA,十几岁的时候被这种情歌传达了一种很错误的爱情观，以为单恋是件很凄美很高尚的事。把某个人美化成理想中的样子，然后沉浸在对他“痛苦的”暗恋中，自己感动着自己。长大了才知道，人家根本懒得发现“真正爱你的人独自守着伤悲”，你有多喜欢他关他屁事啊，人家又不喜欢你。,13476,2015年7月3日
593873451,89595566,DoD____________________ADA,毕业那天！我们室友6人在宿舍整了几箱啤酒！约定第二天谁先醒来谁就先走不要叫醒对方！我酒量最差，睡到中午才起！醒来时候大家都已经走了，桌上留着五个人留的纸条，兄弟们我先出发了，旅途漫漫，大家保重，大家努力创造未来吧，我们一年后再见我一个人最后嚎啕大哭…,11859,2017年10月23日
5629752,36048509,林夕生日,分手是我，痴心不舍是我，输给现实，朋友会说我傻，但是谁又不傻呢？何以琛不也就傻傻等着那个默笙七年，他说，因为她出现了，那么其他人也都变成了将就，而我不愿意将就。也就这样子，简简单单，,9472,2014年11月10日
5617043,17623457,我是搞不清楚了,曾经的我对你痴心绝对，可你从未珍惜过,7891,2014年11月9日
5575564,19910670,丿东施先生,和我同名 每次去ktv唱歌 朋友都帮我点好歌 渐渐的他的每首歌我都会唱了,4832,2014年11月8日
705371650,250707567,Style骚客,24号平安夜 自己过25号圣诞节 自己过26号狂欢夜 自己过31号跨年 自己过2018第一天 自己过14号情人节 自己过超级棒,4689,2018年2月14日
673237165,447947365,您若尚在场_,李圣杰的歌还是很有味道的，就是人不红！看完歌手第一期，他说在周杰伦地表巡回演唱会上被杰伦点名唱了一段歌，然后视频在全台湾有500多万播放量。他说，当歌手十几年，好像都比不上那短短的几分钟。看着，有种淡淡的心酸……愿他可以更好吧！,4492,2018年1月15日
677825944,50301269,____BLUE,今天在歌手又听李圣杰唱这首，突然想起高一音乐课唱了这首，唱到“也换不回你对我的坚决”的时候，台下一个女生悄悄擦眼泪、、一转眼七年过去了、、她的名字都记不得了、、,3077,2018年1月19日
1220594000,445962555,且行且珍惜Hch,郭亚楠我想你，找你很久很久了，从初中认识的所有同学中都问过你，但是都没有你的联系方式，就这样念了你很多年，如果你听这首歌的时候记得看下评论，我找你很辛苦。我是侯…,2246,2018年8月19日
670853313,352412772,合肥阿杜,“我出道18年，抵不过这神奇的一分钟”。苦笑的背后有多少心酸……好的声音永远值得被我们记住，记住李圣杰唱的每一分钟。,2019,2018年1月13日
1335867548,470177874,once丶againyou,呵呵呵，你是不会懂那种感情的,1297,2018年12月23日
