5034048,29759702,滑铁卢的黎明,我说，我要用一生学这首歌，然后唱给她听，问她愿意陪我吗？她说，她会陪我一起学,19.7万,2014年10月20日
8847194,41688294,那年的B哥,Chris Medina曾是星巴克服务员。2007年12月12日，他和他相恋8年的女孩订婚。订婚后两年，那个女孩车祸，脑部重创，康复后智力只有2岁，生活完全不能自理。但Chris不离不弃。 后来Chris参加了美国偶像，为了赚到更多钱让未婚妻过上好日子，但最后却止步24强被淘汰…,18.3万,2015年1月16日
11027939,52432014,清城无雪,有心思妻，妻已去。无意过年，年又来。,95560,2015年2月19日
5597971,36984380,黄金塔,女友在晚上用电脑发链接给我的，恋的昏天黑地的我们愉快的决定把它作为我们的主题曲。就这样，我安静地听着这首歌，她碎碎地向我讲述这首歌背后的故事。前女友。若干年前。,67762,2014年11月9日
5169855,6314509,阿藻icehhun,听着他嘶哑的嗓音类似于吼着唱出副歌部分的时候就不由自主的哭了，这个世界上有太多心声需要表达，需要诉说。唱歌其实真的不需要那么多技巧，即使破音，但是那份真挚的心声总是能代表一切。,53300,2014年10月26日
18151585,66670591,izefia2009,记得多年前用这首歌作为背景音乐，加上和女友拍的大头贴做了一个视频，打算一辈子珍藏，现在电脑坏了打不开了，她今年结婚了，新郎不是我，祝她幸福！,46672,2015年5月13日
38423345,82821895,Omar正态疯子,刚刚在宿舍放这首歌，美国室友说他们早就分手快两年了，这首歌也不是Chris自己写的，只是用这个故事参加《美国偶像》比赛而已。我还专门搜了这个女生的博客，果然她只剩一个人了，每天都在博客上更新一个被毁容的残疾人眼中的一草一木，显得非常平静。,30045,2015年9月30日
20081634,46695716,光明和磊落,他是星巴克服务员。2007年他和相恋8年的女孩订婚。两年后未婚妻车祸 脑部重创 智力只有2岁。但Chris不离不弃。后来他参加了美国偶像，为了赚到更多钱让未婚妻过上好日子，但最后却止步24强被淘汰…生活从未轻松，是我们在变强大。,22491,2015年5月30日
4823792,16403140,听歌要听词-,😭这歌的背景故事真的感动了,18407,2014年10月11日
41485963,82275489,侯渊明,每次看网易云音乐的评论，我这个单身狗就默默地心痛了好久，你们都有故事，而我就给你们一个个的点赞。,15120,2015年10月18日
14913508,31332754,威威威66666,今天我来到她的城市，吃饭，看电影，不到5个小时，她把我送上回去的车，我把事情告诉了朋友，朋友一通乱骂，而我终于决定下车去找她，在前往她学校的公交车上，循环这首歌，没想过歌词之间有什么关系，只是想听这种声音。我半路下车的时候，司机说，想那个送你那个小姑娘了？,11734,2015年4月11日
28587472,38682593,炸鸡块好吃嘛,庭有枇杷树，吾妻死之年手植也，今已亭亭如盖矣。,10113,2015年7月29日
17551871,60266884,verspreche,我一单身狗为毛一直推给我造成成吨伤害!!!,8573,2015年5月8日
28296524,61403762,万蛛Spiegel,因有人说他俩分手了，我特地跑去妹子的博客翻日志和评论。是的，妹子已经恢复了一些，可以打字、说话、出门。中间确实分了一次，大约是妹子觉得自己给他的压力负担太重之类的原因，但分手以后两人还是像情侣一样相处，心结打开后又复合了，截止我看的部分，他已拿戒指向妹子求婚。,6602,2015年7月27日
