1202645146,502190766,VicetoneMusic,🔥🚶🏻🔥,12.3万,2018年8月3日
1202375253,55535424,welphenEDM,两帅Vicetone新歌Walk Thru Fire上线！还是两帅独有的标志性音色！,49004,2018年8月3日
1202350319,321313017,是杰伦诶_,还记得2018.3.9way back的晚上吗，今天V神再次发力，壮大我猫厂,31971,2018年8月3日
1202632847,260406549,Sigrid_岩崎妮梓,你们能想象我一早上起来，发现v神，三哥，洁匪，小马丁，喀什米尔和 ILLENIUM都发新歌了的表情嘛！！！我现在还沉浸在727那天烟卷，教主，断眉和黄老板的新歌里呢，这是要我心脏炸裂嘛大爱v神！！新歌也超好听！！,19860,2018年8月3日
1202379580,122672262,闻泪声入,Vicetone的新单Walk Thru Fire上线啦！从七月15ins声明有新歌过去了半个多月，V神的拖延症是病入膏肓啦！Σ(っ °Д °;)っdrop浓浓的Nevada味，今晚是睡不着咯！٩(๑❛ᴗ❛๑)۶,15597,2018年8月3日
1250495122,598621239,AviciiTimBergIing,感觉电音最精髓的地方有三个，一是前奏，震撼的话肯定会继续听下去，第二个是人声，唱电音的歌手大多数都不是很火的大明星，但是嗓音很特殊，也赋予了电音独特的魅力，第三个是人声唱完的那一段间奏，我觉得这是电音歌曲的精髓，喜欢电音的人一听到就会摇头晃脑脚上打着节拍，不知道你们，是什么样的呢,15188,2018年9月20日
1272069376,569112378,该昵称_无法显示,歌名直译过来……穿越火线？？？,13210,2018年10月14日
1202387978,51580321,LKSHLY-EMI,这音色，这鼓，是V神啦,11488,2018年8月3日
1374512014,432285419,再给我一把亚索的时间,“你够资格吗？”“也许不够。”,11260,2019年1月31日
1202375617,31965118,斯内克_skz,V帅就是非要靠等到百大第一波投票过了才发单来证明咱们有多不屑那个破榜🙃,10040,2018年8月3日
1202415341,345715201,KSHMRaver,V神自从3月9号发完Wayback引起轰动，序属三夏，V God's fans Walk Through Fire！让我们一起狂欢！！56s开始，电子脉冲贯耳，V神之名铭心！EDM's legend never die！,4157,2018年8月3日
1202691867,581048937,Monstercat,漫长的等待过后，@Vicetone__Official 的新单终于到来！这又将是一首经典之作！,3287,2018年8月3日
1306839542,1354746665,baileybl,i like turtles,3240,2018年11月23日
