1297995767,1451839616,w司南喃喃喃,啊没想到这首不太成熟的作品能够得到这么多人的喜欢~我会继续加油哒~,16.8万,2018年11月12日
1313848494,1306744061,Daniellee--,你是否还记得 那年那月 天色渐晚秋日 夕阳 慵懒 温暖 细雨 微风 我淋着雨站在桥上 眺望望着桥下风光 你撑着油纸伞从桥下悠悠走过 抬起头 正好对上我四处张望的目光,63270,2018年11月30日
1551475556,1598816364,是水水哇,很干净很好听的声音，给人的画面是初生情意的少女通过歌声诉说心意，有种闲适的惬意，很美好的感觉，宝藏歌曲爱了爱了,60615,2019年7月10日
1565539069,448339602,Kikk酱,我见众生皆草木 唯你是青山,42195,2019年7月23日
1618402584,1373921155,GD1988818_,“这雨…下多久了？”“回小主，断断续续下了三日了。”“三日啊……那离他回来还有多少日？”“这个…奴婢…奴婢不知……”“唉……罢了，扶我回屋吧。这院子里的花儿，看了心烦。”,41249,2019年9月2日
1619244859,1385238100,清颜似墨染,墨染，去年就是因为这个名字喜欢上他的,29204,2019年9月4日
1623119403,1451839616,w司南喃喃喃,听歌不评论，司南两行泪,28520,2019年9月8日
1619301230,1401989341,欲欢痞子,北堂墨染他是我见过最无私的王爷 不争皇位 不争心爱女人 不争天下苍生 他要的只不过是 他爱的那个女人 能够平安顺遂 遇难成祥。,25265,2019年9月4日
1619409580,1644772219,燃雪成春,我野蛮生长没能成为自己的月亮能遇见你是银河赠我的糖天上有行云 人在芸阁里欸乃一声山水绿他们说青山是否妩媚 还须看青山是谁可我摇头我见众生皆草木 唯你灼灼是青山,15973,2019年9月4日
1616641153,1518788873,wrddfghjll_ywjkk,今天过后距离2020年就只有四个月了,15006,2019年8月31日
1558693439,607298761,咕咕咕咕孤寡,有人会做双声道吗？把伦桑和司南的合到一起的那种！,10096,2019年7月17日
1637518495,1451839616,w司南喃喃喃,新版本和旧版本为伦桑《烟雨行舟》版权代理商正版授权给鲸鱼向海公司发布的翻唱版本，由于有正版授权，为了区别于一般cover版本，故无需cover标识。付费下载后的收益均归鲸鱼向海公司，与演唱者无关。特此声明，望周知。,9130,2019年9月25日
1622706290,425276948,逐风转,“怎么雨还不停？”“少爷，这几天是梅雨季，估计短时间雨不会停了。”“那我若是回去晚了，娘会担心的。”“嘿嘿，少爷，你想的是院里的那位美娇娘而不是老夫人吧？”“……多嘴。”,8645,2019年9月8日
1617701271,539479584,有钱哥哥的情妹妹,如若真有歌里的江南，那里定然是有你的地方,8561,2019年9月2日
1615868351,578701162,路过你的世界就不遗憾,你说 繁华的城市里无从归家 江南的烟雨绕梦仍牵挂 城南溪下少年不觉已白发,6921,2019年8月31日
