1233899368,433351009,没有归途,最难得的不是遇见而是重逢。,12.2万,2018年8月31日
1234191307,40263400,陈硕子,如果当时的我们能少一些固执，是否会有更好的结局。,11.2万,2018年8月31日
1234148907,305476391,木易木易木易蕙泽,陈硕子很像早期的好妹妹或者宋冬野赵雷之类的。民谣这个东西很奇怪，只有穷的人和痴情的人才能唱好。一旦有了钱不论自己本身愿不愿意，味道都会变,72867,2018年8月31日
1236304662,341867232,我想要的想做的你比谁都了解,分手后展现出的一丁点念想 都是矫情,40154,2018年9月3日
1234702980,605716590,咕噜咕噜噜噜liu,希望以后我喜欢的人 不要再让我这么难过了,23798,2018年9月1日
1238334369,128206529,李俊达Alon,我不是你的心坎/尽管我做梦都想是我不知道自己还有没有心平气和的日子我不知道还有没有其他地方安放我自己的小桥流水,20545,2018年9月5日
1235012752,584913549,早已没了期望,曾经有一天，你想起一个人，让你对明天有所期待，却没有出现在你的明天里,20254,2018年9月1日
1234822465,313278085,我是你的琪琪-,曾看到一句特别扎心的话：“你还想他吗？”“我还有资格吗？”,15272,2018年9月1日
1236605560,367168768,李枕书,第一遍的时候听成了济南的夜里，突然心一惊，越听越觉得这首歌写的是我们自己。时间的确会模糊很多的东西，包括曾经漂洋过海的记忆和一个人的那座城市，只有爱会越来越清晰吧。,14042,2018年9月3日
1234752415,66131096,我我我我会烧菜-,整个世界心动了，你给的整个世界崩塌了，你给的,11959,2018年9月1日
1233951096,1506479383,博文Fighting,愿你走出半生 归来仍是少年 加油硕哥,9829,2018年8月31日
1234066472,579617291,-是小张同学,你有没有见过凌晨三点的酒吧 有人微醺起舞 有人醉倒在角落 有人假装清醒 躯体却早已醉在深夜 有人说 黑夜是孤独的调味品 这时无论尝什么味道 味道都比白天浓烈 不信你去喝一口酒 不信你去想一个人 醉在深夜的人们举起杯 笑得眼里全都是泪 喝醉以后全世界都是我的 就他妈你不是,8992,2018年8月31日
1235603813,1379605929,帐号已注销,都说失去以后才懂得珍惜，其实珍惜后的失去最痛。,8037,2018年9月2日
1234922853,551446018,阿波_erje,其实我也挺累的,6963,2018年9月1日
1332640086,72149561,大学生Vision,赵雷没有变哦，他即使上过歌手了之后出的歌都非常赞,3578,2018年12月20日
