5681538,1753315,蛋蛋酱,一百块都不给我，打我还要叫人来。把我骗来这么远，一百块都不给我。,16.6万,2014年11月11日
27635479,50321948,你二舅骑着驴不说话,别让弟弟妹妹用你的网易云音乐听歌，否则每日推荐里面tfboys不断。,12.6万,2015年7月23日
5759819,34234199,梦境里的白,我仍记得那年央视的科比集锦…,86739,2014年11月14日
7394125,1829475,everrr,华语好歌无数，但此类约等于0，一听到remember the name肾上腺素就上涌，想打球，想cs来场5v5，想斗牛飙舞，想为了一腔青春的热血做一切能做的事,48205,2014年12月20日
17956192,62454533,_春水煎茶c,dota每周top10，有次我是被秀的，难得上次视频，我忍了,31048,2015年5月11日
6045239,31459526,进击ed黑白菜,高二最爱的一首…现在都要大五了,26086,2014年11月20日
128451714,103170586,桃枝一,妈惹 网易不得了了 七点多刚在车上的收音机里听了这歌 后悔没听歌识曲保存一下 打开私人fm第一手就是这个 深深的恐惧！,18285,2016年3月11日
5300991,18911547,Snailwarrior,每次听rap 就想起黑人。,15225,2014年10月30日
50282275,102291296,蝴蝶刀_阿拓,科比今天宣布赛季结束后退役了20年,14309,2015年11月30日
141677392,120145172,音乐使徒,科比退役了 过来听一次 最后一次60分！！！！！！纪念 一个时代,11126,2016年4月14日
50246311,98102767,古德奈特先生,听这歌每一个画面都有科比，他转身过人，他突破暴扣，他张开双手翱翔斯台普斯，今天看见他将要退役的消息，人都傻了，也许以后还有比他更伟大的球星，但我的青春已经不在了,9313,2015年11月30日
141612049,105589187,帐号已注销,2016.4.14 如果老师们看到学生们擅自打开白板手机或电视请不要罚他们，如果老师们听到学生们的欢呼请不要生气，如果老师们看到学生们在哭，请不要惊吓，因为那天我们的青春就要离我们而去了，我们的青春，我们的篮球梦就要结束了，所以让我们送别我们的KOBE. BRYANT。谢谢各位老师主任校长的配合。,7203,2016年4月14日
50338984,30115153,任凭一蓑烟雨生,你知道凌晨四点的洛杉矶是什么样子吗？ 我知道,5633,2015年11月30日
444004288,129886319,Jaaylin,Q！Q！飞！车！我看看有多少人是0809年的老玩家🙌🙌🙌,5198,2017年6月19日
1332723703,547195197,224856,她（干）们（的）招（漂）你（亮）惹（我）你（喜）了（欢）,3772,2018年12月20日
