1437057455,6966840,法老pharaoh420,这首歌是我小学时候的真实故事，一直没有写出来是怕让大家对学习太没信心。,20.7万,2019年3月31日
1436930369,1322094752,ruuta,这么老还上学，这就是old school ？,13.6万,2019年3月31日
1437453341,480661740,正在恢复体力,法老你是不是和3bangz同居了,53923,2019年4月1日
1437189324,408014143,玛卡吧卡_,傻老。。。哦不是。。发雕的新歌真好听,34297,2019年3月31日
1436973151,347092639,MU1E,够沙雕配做我偶像,33872,2019年3月31日
1441513711,321302150,蔷薇铁锈桃子,法老加油，我是你表姐,24364,2019年4月5日
1437066232,120932670,忧伤的大地,好的呢法宝,22957,2019年3月31日
1437310547,245913594,活死人牛逼,@AR刘夫阳 听说你卖房给法老交学费?,19184,2019年3月31日
1541044468,560921528,颜杨__,第一遍：法老这首歌很一般啊第二遍：诶，听起来好像还可以第三遍：我是上！学！威龙！上学！威龙！,17251,2019年6月30日
1441389173,1591336493,RocBoi,3BangZ此时此刻捋了一下额头上的汗珠，在圈内的喜剧说唱王者地位遇到了前所未有的挑战,13078,2019年4月5日
1437215904,246638530,桔子在秋天,初，权谓听众曰：“孤昔尤善上学，不可不学！”众辞以网上多务。权曰：“孤岂欲卿饶舌为法老邪！但当即兴，抒见闻耳。卿言多务，孰若孤？孤从不读书，自以为大有所益。”众乃始乱free。及八贼过寻阳，与众论议，大惊曰：“卿今者饶舌，非复北方Kris！”,9637,2019年3月31日
1437129546,1417428361,空虚丶公子,原来法老真的是连续把闹钟调慢了8天，所以发歌都早了一天,9492,2019年3月31日
1437078069,280729344,喜欢溺爱更钟情于你,沙雕法老，哈哈哈，押韵,9147,2019年3月31日
