1452895262,102113052,陈壹千ac,保持纯真，简单就够,14.2万,2019年4月15日
1453032479,318837067,来人间捡句子,我爱你 但你让我的生活太糟心,91771,2019年4月15日
1452925112,1672672860,闹闹neysa_,“我向往：干净的圈子 规律的生活简单的爱情 中意的人不累人 不费神不刻意的余生”,91456,2019年4月15日
1453282717,328256396,叫我超超-,追……对于高三考生鸭追梦的过程才叫真实！！！,55131,2019年4月15日
1452902379,1353077626,帐号已注销,“想要穿白衬衣，想要变干净，想要让你想到我就联想起盛夏白瓷和碎冰碰壁，想你想我时，嗅到凌晨四点挂着露水的蔷薇花。”,40989,2019年4月15日
1508780848,473537595,是木子君呀,看到的一个很暖的评论："昨天他给我讲他小时候的故事讲到一半突然不讲了他说 你嫁给我吧让我妈妈给你讲",39115,2019年6月2日
1452928019,496464142,贩凶,月亮明明就是十几年前的月亮 它多委屈啊,29288,2019年4月15日
1453125303,1438276683,盼你温柔,“爱太熟悉 让人差点忘记你追世界 我追逐你背影”,25369,2019年4月15日
1452972958,448344976,春风又_,昨天晚上我失眠了在我数的两万三千七百五十二只羊里总觉得有一只是你扮的今天晚上我要去把你找来☺️,20485,2019年4月15日
1453548368,539462106,不再怀着期待,喜欢所有形态的月亮因为晚上一个人回家的时候看着月亮走路就会觉得是和月亮一起回家所以喜欢,10923,2019年4月15日
1548967207,373955885,装笔卖萌,女孩子输就输在她根本没想赢 她只想被爱,5329,2019年7月8日
1492764351,412342372,L-xiangyu,你再等等吧，我就要不喜欢你了,3168,2019年5月18日
