1477700049,376927708,王訫,别喷我的喂别给我打电话了 那都是王恩信逼着我说的,12.5万,2019年5月4日
1544795723,481963800,李飞呀_,分手.祝福你的话都是假的我倒是希望你四处碰壁回头看我.,94710,2019年7月4日
1481815342,1438276683,盼你温柔,你走以后 心也跟你走了后来 月明千里是你蒹葭思念是你物是人非还是你,89932,2019年5月7日
1477989479,414717710,王恩信,以前一直以为只是电影小说里的陈词滥调 直到后来才发现有些人真的错过就回不去了 望珍惜 别遗憾❤️,52653,2019年5月5日
1566572003,34155190,Agony,我就不大度，我就是不喜欢我喜欢的歌被更多人听，我就是不喜欢我喜欢的人过的幸福,38527,2019年7月23日
1518250458,414717710,王恩信,咋突然来了这么多人..看得我一愣一愣的,32320,2019年6月10日
1487655239,1428429117,无敌凶猛喵喵拳,还有 80个单词没有背会 明天第一节课要考 数学大题吭哧瘪肚算半天还是不对 历史的年份大事依旧迷迷糊糊 每科提高25分 才能上浙江理工美术类 可我现在满脑子都是李旭东 得了 晚安,31433,2019年5月13日
1530899386,567364135,犯煞,不出意外的话这辈子都见不到了,28569,2019年6月21日
1526726292,317239407,追风的人也有趣,电影《被偷走的那五年》，男主角的一个朋友的父亲去世，这位父亲答应了要参加儿子的毕业典礼，这位朋友无法面对失去父亲的现实，说出了父亲去世前跟他说过的一句话，安慰自己和当时的男主角。“我不需要出席你人生中每一个重要的时刻 只要在每一个重要的时刻 我知道你心里都有我 那我就无憾了。,24752,2019年6月17日
1649855675,1320508589,瑜瑜瑜Cc,你的后悔比不上我当时痛苦的万分之一，总不能你一回头我都在吧。,24037,2019年10月8日
1528756655,547260407,迷体,你会不会在多年后某个夜晚 突然惊醒 然后泪如涌泉 后悔当初没有好好爱我,18024,2019年6月19日
1528487152,1651753384,怕网恋,可能这世界让你长大的方式极端了些,17068,2019年6月19日
1477728999,414717710,王恩信,唯一一首不舍得删的歌 哎,13673,2019年5月4日
1580284984,568178380,想摸你的小肥脸,你离开以后 好多失眠的夜晚都关于你 无数次梦见你 欢乐的悲伤的 也在无数次醒来之后告诉自己这只是梦 想让时间停留在最美好的那段时光 如果有可能多想回到最初重新开始,8837,2019年8月3日
