1499619223,451937112,ChokeWhale,敢上首页的歌曲版权是绝对没有问题的网易爸爸多买版权 越做越好 爱云村.,22.9万,2019年5月25日
1499623150,290187246,葵兔汤包q,2016年第一次听道姑；2017年笙翻唱；2018年笙主动在她可以联系到的所有平台下架了当时的版本，然后我去了解了曲子背后的故事，并且从此以后主动去关注了许多相关问题；2019年，双笙被版权方特邀演唱，对我来实在是一个再圆满不过的结局。所以这首歌也算是见证了笙和我的一段成长，字数有点不够我回,16.4万,2019年5月25日
1502421656,1491461611,我在想谁阿,在吗，你唱歌像双笙,90999,2019年5月27日
1499719612,128049935,TheShipHasSailed,又想了一遍，你温柔的脸，在我忘记以前,81775,2019年5月25日
1499649596,117723916,只做梦不起床,如果之前的版本是非常惊艳，那么这个版本现在听来就有一种经历了时间的沉淀而有了愈发厚重的质感。我始终认为注重版权是一件非常重要的事情，也很开心会有如今的成果。我相信如果事先了解，没有人会选择无授权制作歌曲，所以也请大家认真听这一首拥有版权后，重新归来的优秀作品吧(๑´∀`๑),67367,2019年5月25日
1499620193,267822643,兰染_ran,看到歌名的一瞬，心颤了一下。涌起的情绪一言两语说不清楚，惊喜中带着不置信，随之而来的感动。现在打字手还在抖，直到熟悉的旋律伴着极富感情的嗓音传入耳朵，才有了真实感。欢迎回来呀，我们的道姑。下一次，一定不能再轻易心动了啊。,63811,2019年5月25日
1499624124,564540918,2oosn,难道看我失魂落魄你竟然心动,47583,2019年5月25日
1499608380,319416776,笛滴滴滴,时隔一年没想到能再次在网易云听到双笙唱的这首道姑！这一次带来了更多新的感觉，对于歌曲双笙又有了许多新的推敲吧！但不变的《道姑》的故事依旧在脑海里唱着。上一次道姑在哔哩的pv很快就破了一百万播放，一定有很多人和我一样都太爱太爱这首歌 太爱她的歌声中藏着的故事吧ू(ʚ̴̶̷́ .̠ ʚ̴̶̷̥̀ ू),33662,2019年5月25日
1499600379,337549572,椰噗哒,天呐！看到这个首页推荐给我吓了一跳！终于不用小心珍藏之前下载的这首歌让他在我的手机里几经辗转了哈哈哈哈哈哈哈，能获得原曲的版权真的好棒！这首歌最喜欢的就是双笙的版本，今天我也为那年长街春意正浓落泪了！！啊！妈妈，双笙好厉害，我好爱她！,26980,2019年5月25日
1500975276,266939711,小伙子你把路走窄了,山间遒劲苍翠是我，门下垂涎老狗是我。 夏晨南风是我，秋晚落叶是我。激流摆渡者是我，深晚守夜人是我。 脚下峦岩是我，头顶繁星是我。这世间万千烟火风情是我，这路口匆匆过路行人是我。 所有对你的不可遇求，缄口沉默，全都是我。🤒,17525,2019年5月26日
1499758390,511213919,零意im,诗经中有这么一句话，靡不有初，鲜克有终。其实只要过程竭尽所力，善终也是倒也无谓。,15879,2019年5月25日
1503359474,41662576,沉水香销梦半醒,lon唱的是恨 以冬唱的是淡然 ss唱的是名利双收 ,15786,2019年5月28日
1499619149,290187246,葵兔汤包q,我回复里说！！！140字限制了我的发挥！这个版本里也听出了之前没有过的一些感悟，一时间说不上来我再多品几遍，但无论如何！！我真的太喜欢这首曲子也太喜欢双笙的声音啦！！新版本太好听了嗲，我流下失而复得久别重逢重获至宝欣喜若狂的热泪😫😫,15334,2019年5月25日
1499753363,1503091121,和我打王者吗,当初喜欢的歌回来了，在一起听这首歌的人却再也不见了。,13937,2019年5月25日
