1538677008,400645340,elenaanele,冷酷又忧郁,10.5万,2019年6月28日
1678616127,358342573,Turquois-,夜晚真的太感性了 差点冲昏头脑说想你了,84766,2019年11月10日
1538934745,494310901,化为沧海,毋庸置疑，好的事情总会到来，而当它来晚时，也不失为一种惊喜。 — —《托斯卡纳艳阳下》,71138,2019年6月28日
1540468739,84588106,他说他已经锈了,第一次翻译 献给喜欢的Sasha,47298,2019年6月30日
1672065478,444173919,时至今天你仍是我的光芒,“我不是来救你的，我是来爱你的”,35112,2019年11月3日
1682601190,1819995645,evanescent__q,其实我偷偷存了你发的每一张照片，每一个视频，保存了每一句语音。我关注了你的各种社交软件ID，听过你喜欢的歌单。其实，我远比你想象的更加爱你，我忘不掉，我也不会说。最后的尊严是不再低头了哈哈哈…好像这辈子也只挽留过这一个人，以后也不会有了，我这么酷的人呀，怎么可能让这种事发生第二遍呢,20338,2019年11月16日
1538324237,482444984,RitaOraMusic,骚姆:与陌生人共舞萨沙:与你的灵魂共舞在夜里安抚无处安放的灵魂。,14435,2019年6月28日
1641557253,1300167121,与你同坠星夜i,如果晚几年遇见你，可能结果会不会一样吧，我有出息了，你也准备好了。[微笑],13609,2019年9月30日
1568535712,1436732962,仙猪_fairy,缠绵又旖旎,6305,2019年7月24日
2042897342,284444890,Rachel是个小破孩儿,以翔我们江湖再见，goodbye Godfrey，再见王沥川，愿安好人间天使🙏🙏🙏,5466,2019年12月9日
2048622993,1918554268,Godfrey是一个会走秀的篮球绅士,亲爱的Godfrey你所有的行李都收拾好了吗？明天就要远游了，这一走就是28年，走的时候千万不要回头，向着有光的地方走，放心做你的天使吧！👼Godfrey向着有光的地方飞，別回头。大家都爱你，也很想你，纵有千般不捨，还是希望你能抵达彼岸，所以別回头哦！🌈,3983,2019年12月14日
