1565552631,517725395,井胧-,表面非常开朗，内心却充满压抑，想早早结束一切，但又没有勇气。这首歌给我的感觉！,18.8万,2019年7月23日
1567907459,360591989,徐碍人,给我去地铁道里录！！！,13.6万,2019年7月24日
1567990743,126794283,云深不知处蓝汪机,怎么感觉还是地铁的那个有感觉,67394,2019年7月24日
1568753914,506987102,紫山先生,音效里开教堂模式，就有地铁的感觉了,59955,2019年7月25日
1568031863,1602075452,独栖1809,地铁道那个太有感觉了,35867,2019年7月24日
1568035321,395258929,Lin-see,尽情熬夜吧反正你想的那个人很可能已经睡了被子盖得很好，梦也很甜这个夜晚你除了收获到猝死的可能性以外没有任何东西留给你了,35094,2019年7月24日
1569147156,346290679,超爱周自珩,女孩子总是细节崩溃,20825,2019年7月25日
1568088966,1407747620,小攀哟,井胧老弟呀，我的宝藏男孩，最终还是大🔥了.停车场，地道，完美场合，加油！,19747,2019年7月24日
1586162472,517725395,井胧-,感谢版权方，让我成为这首歌的正式演唱者。,18663,2019年8月7日
1568103697,547247853,巧克力de豆,你年纪轻轻，你心地善良，你对爱真诚，你会遇见更好的，你也一定会出人头地的。,16264,2019年7月24日
1567965482,1319677710,ZhN_0821,鲸云音效开教堂混响,8077,2019年7月24日
1568248389,346573858,您的小朱先生,我有太多故事还没来得及跟你分享 没想到你就这样离开了。,7836,2019年7月24日
1567988234,446475513,Kwid,李雪在《走出剧情​​​​​​​​​》里定义心理健康的人：“我不再要求任何人为我的痛苦做出改变，我直接去为自己的幸福做事情。”,7250,2019年7月24日
1567936171,1562863001,思思今天快乐,从地铁道过来,6194,2019年7月24日
1580650828,1367107838,粉红小祺,你教会我什么是爱情又突然离开,4552,2019年8月3日
