1569741115,1363823908,跟我讲早安,“不删除，不聊天，没交集”,19.8万,2019年7月25日
1569701288,1557988824,沐恩nice,洛枳曾说‘’暗恋的确卑微我喜欢你我爱你可我也得对得起我自己‘’我想最最牛逼的暗恋就是为了他变成了更好的自己,70171,2019年7月25日
1579519463,502454121,可惜海棠无香,你不会为了我注册网易云听不到这首歌你也看不到我所有的评论不会因为这个名字想到我就像这个评论在这两千多里面根本不值一提,47152,2019年8月2日
1569264659,374533578,Selina于于于,这首歌，仅对那个喜欢过的男孩可见,35876,2019年7月25日
1574720936,345922833,醉萌江湖的毕哥,这是一首想分享给你的歌又不想分享给你的一首歌因为暗恋是一个人的事,30425,2019年7月29日
1569305069,1357313041,枞桁-,我想去拥抱你即使间隔春秋山河阻拦风雨交加路遥马远我都可以跨越重重艰险去找你唯独你不爱我我连迈起脚尖的勇气都没有我连失去你也没有资格,24458,2019年7月25日
1569602603,1482371728,猴西官方认证女友,双向暗恋是两个人的事了吧呵 我在说什么.........,17650,2019年7月25日
1569677710,119471877,小颖是可爱鬼,羡慕与你同行的每个身影我和你始终隔着安全距离💔,16085,2019年7月25日
1570239868,372121064,只为了让生活继续,愿你此生都过的清澈明亮不言不由衷 不口是心非没有疾病没有烦恼 没有牵挂有所追求 不辜负梦想不深陷过去 懂得活在当下有人真心待你 诚信做你听众像个孩子无忧无虑有个人全心全意顾及你理解你懂你遇见你时我花光了所有的运气所以没有运气再去陪伴你了挫折迷茫累了也别怕最后 别再活在我梦里,12911,2019年7月26日
1569322487,1503091121,和我打王者吗,等人是会上瘾的，因为等着等着，你会发现，如果你不等了，不是放弃了对方，而是背叛了自己。,8562,2019年7月25日
1572505958,451347138,4yqpsk3i,动情一败涂地,8406,2019年7月28日
1569452203,536022115,林白生,可是你看不到我的心意,7009,2019年7月25日
1572822336,1363823908,跟我讲早安,心动覆水难收，动情一败涂地，难过铺天盖地,6363,2019年7月28日
1572932459,1465723851,小晕红潮_O0,字多的就输了,6330,2019年7月28日
1571482562,1565043299,温柔暴击-L,就是这样。,6000,2019年7月27日
