2048766372,1592670745,一玟鸭鸭鸭鸭,谢谢你们喜欢我,18.7万,2019年12月14日
2047862307,402401521,浅莫离_,这里不是来自红人馆旁边也没有迷人的宝贝.,13.3万,2019年12月13日
2049368501,1936867635,1晚风yo,其实我喜欢字很漂亮的男生，或者是会打篮球的男生，又或者是会数学题的男生，还有声音好听的男生。可是如果是你的话，什么都不会也可以,90680,2019年12月15日
2051632669,593056651,帐号已注销,真的很喜欢那种甜甜的男孩子你不找他他就主动找你 生怕你不见了你生气他就一直哄着你你饿了他就给你做饭 你不想动他就喂你把你喜欢的都摆在你面前把身边女孩子都撇干净反正就是想把最好的都给你,40841,2019年12月16日
2047693963,286804718,对彩彩心动,我做好最坏的的打算就是等你回来,34880,2019年12月13日
2048841203,631227245,生为冰,我们并肩看了一场烟火 你没有看我 我没有看天空,27014,2019年12月14日
2049659856,1326303060,TiMi-AiNi,运用了拟人手法，形象的写出了冰棍此时内心中紧张担忧的心理活动，可见其笔锋之高超，文采之绝妙。厉害厉害,20778,2019年12月15日
2061832199,1555172104,长安没有下雪,我偷偷许个愿哈：他的温柔不能给其它女孩子,14753,2019年12月26日
2051788791,249264934,树洞先生NAME,洗洗睡吧，那叫舔狗,9079,2019年12月17日
2049359792,1927048316,原谅我不爱说话-,希望说过与这句话类似的女孩，都是真心的,6083,2019年12月15日
2048625172,286804718,对彩彩心动,我能坐你旁边吗,4834,2019年12月14日
