2062017986,417806867,十豆彡睡醒了,你们找到要一起跨年的人了吗？,10.6万,2019年12月26日
2062028334,334831709,CAIIXNA4I,玫瑰在离开小王子的时候说：我当然爱你 没有让你感受到 是我的不对,10.5万,2019年12月26日
2062455912,83085519,Peanut-s1,小王子还说：可是 我毕竟是太年轻了 不知道该如何爱她,68215,2019年12月27日
2064520248,1452517499,彬的自然卷,温柔的人总是很自卑吧,60545,2019年12月28日
2063767525,579412866,妈妈老催我起床,“后来这个笨手笨脚的小孩子还是选择了自己把剩下的路走完。”,48971,2019年12月28日
2062195900,347256737,她的水彩笔,“奔向你的时候 途经的一切事物都觉得很可爱”,42601,2019年12月26日
2064073978,288563327,那你有没有想我喔,不是双向的奔赴毫无意义,41382,2019年12月28日
2063948985,1532641551,喝热水吗你,“我要把对你的喜欢放一放了，你先等等我，等我的成绩追上你，等一百六十八天后，我再告诉你我对你的这份挂念好不好”,33840,2019年12月28日
2062125690,1328555812,养一只月亮可不可以呀,宇航员在浩瀚宇宙数星星 我透过窗子对月亮许愿今晚能够梦到你,24222,2019年12月26日
2062121574,546121400,秋落170720,你确定这就是爱吗真的爱我吗手牵着手漫步斜阳就当作浪漫两个人眺望远方以为爱的晴朗当我回头望却已泪湿了眼眶当夕阳变成星光当爱情换了方向你一如过往对爱太紧张但未来又会怎样未知的明天总让我彷徨谁给我力量我不怕你爱不爱我只害怕你以为爱我抓紧我不算拥有你总学不会放手我不怕你,21411,2019年12月26日
2063729025,2005436838,冰淇零1随缘,我本就不是一个主动的人 灵魂虽然有趣 可不爱表达 还死犟 也慢热 遇到懂我的人很幸运 遇不到也正常,15048,2019年12月28日
2062512564,478268688,芒果藏起来,你口口声声说你爱我 很爱我 最爱的也是我 可是却一边做着伤害我的事情 让我痛不欲生 你确定这就是爱吗？真的爱我吗？,14901,2019年12月27日
2062110692,1916977223,---小呂,你确定这就是爱吗真的爱我吗手牵着手漫步斜阳就当作浪漫两个人眺望远方以为爱的晴朗当我回头望 却已泪湿了眼眶当夕阳变成星光当爱情换了方向你一如过往对爱太紧张但未来又会怎样未知的明天总让我彷徨谁给我力量我不怕你爱不爱我只害怕你以为爱我抓紧我不算拥有你总学不会放手,5006,2019年12月26日
2064689397,111821579,你是我的温澜如风,自卑的人为什么那么温柔，内向的人为什么那么安静。,4702,2019年12月28日
