8505906,45256142,拾趣zero,我既担忧这曲子不够火又畏惧它太被人熟知。,13980,2015年1月10日
3683185,15324116,飞-Vera,虽然眼皮有点打架，但还是想听。记起了老师你的话：“晚上不管还有多少作业，要睡了就好好睡了。”谢谢你，不能定性的岁月与记忆。好的坏的，都值得我拥有，所以不去和得失计较。加油，tomorrow!,5705,2014年8月6日
5466631,29484519,老年橙子,我去，原来这都是国人的音乐，不推荐我都不知道,4806,2014年11月4日
8404609,3635049,叫我阿丑就行,我还以为很少有人听石进的曲子呢，原来同喜好的朋友这么多~~,4282,2015年1月8日
7359865,17802909,素素心语99,岁月更迭毫不犹豫，亦如花开花落。弹指间时光已成记忆，定格在光阴的相册里，泛起浅淡温暖的光泽。在你许多杳无音信日子里，我走着自己的生活轨迹，追逐着自己的幸福。而总是会在安稳舒缓的时光里想起你，都会被期间写满记忆的章节，感动的无以复加。,3579,2014年12月20日
8655309,5762733,平淡过完这一生吧,我只想做个安静的程序猿,2638,2015年1月12日
8156865,32781300,ISSCC1990,我觉得夜的钢琴曲系列都有种，不激昂，但就是沁人心脾的感觉,2373,2015年1月4日
6411633,42927192,Zzz_Eric,音乐之所以让我感动因为他承载了回不去的曾经,1856,2014年11月28日
2468438,289022,大风过后再,岁月并不如诗，也不如歌。诗与歌的意义在于每个字，并不需要它们组合成词或成句。,1354,2014年4月15日
274270791,107027837,Nixuerel,毕业前一年的夏天，和妹妹一起去了上海，下了高铁，就发觉外面下着不大却冻人的雨，给前往宾馆的我一种秋天的错觉。迈入主楼的那一刻，一股暖意袭来，当时长江三角钢琴旁坐着的女生一袭蓝色礼服。这种和谐的反差催人眼眶湿润。以为永远不会知道女生的名字，甚至这首曲。,973,2016年12月27日
17529415,57549586,单细胞喵喵,瀑布的水逆流而上， 蒲公英种子从远处飘回，聚成伞的模样， 太阳从西边升起，落向东方。 子弹退回枪膛， 运动员回到起跑线上， 我交回录取通知书，忘了十年寒窗。 厨房里飘来饭菜的香， 你把我的卷子签好名字， 关掉电视，帮我把书包背上。 你还在我身旁。,810,2015年5月7日
30424533,70730953,琴曲指尖凝,网易最宝贵的财富是，高素质的听众和高素质的评论,777,2015年8月10日
11751764,36099428,catslave,我真的很想和你在大雪纷飞的天空下散步，因为一不小心，我们就白了头。哈哈哈骗你的其实没有下雪也没有你,519,2015年3月2日
273753384,52979951,吖鱼Eu,夜一共31首，刚好一个月31天。而45678这五首连续最好听。恰似女生来姨妈的5天...最让人产生最多情绪...暂且这么以为吧,393,2016年12月26日
273995168,330178027,账号被注销一生,昨天突发奇想，想圆儿时的梦，晚上就收到礼物～钢琴,246,2016年12月27日
274270791,107027837,Nixuerel,毕业前一年的夏天，和妹妹一起去了上海，下了高铁，就发觉外面下着不大却冻人的雨，给前往宾馆的我一种秋天的错觉。迈入主楼的那一刻，一股暖意袭来，当时长江三角钢琴旁坐着的女生一袭蓝色礼服。这种和谐的反差催人眼眶湿润。以为永远不会知道女生的名字，甚至这首曲。,973,2016年12月27日
273995168,330178027,账号被注销一生,昨天突发奇想，想圆儿时的梦，晚上就收到礼物～钢琴,246,2016年12月27日
273852391,338235692,Ether_U,底噪好大 没人听出来么,118,2016年12月26日
273753384,52979951,吖鱼Eu,夜一共31首，刚好一个月31天。而45678这五首连续最好听。恰似女生来姨妈的5天...最让人产生最多情绪...暂且这么以为吧,393,2016年12月26日
273787256,98604136,沛塔,随泪流走的，是苦痛。蕴含眼中的，是幸福。我没有哭，只是听这曲，回忆细沙，我忍不住泪流。,116,2016年12月26日
273716490,330178027,账号被注销一生,突然想学钢琴，圆一下儿时的梦,145,2016年12月26日
273547895,322688213,Alexand3r,網易雲音樂是個有感情的player，日推很有愛，沒想到最後是你更懂我。你把我引向更孤單的路，而我卻心甘情願。一入網易深似海，從此歌詞是路人。,74,2016年12月26日
273562058,93857467,开心开心Kumo智,四和五连着播放。,73,2016年12月26日
273455651,318183491,行不跟名_我姓张,夜的钢琴曲每一首都是一种心情。总会有一首曲，刺穿你的伪装直达你心里最敏感的地方。,54,2016年12月26日
273454427,121095080,松原吴彦祖-,我家住在小巷尾，我从那里来，做旧梦、许旧愿，去到那未知的世界，去颠沛、去流离。是城南，是旧事，也是忠诚的唯真唯善唯美，温暖自己照亮前路，不忧不惧不怕，不负微光。,78,2016年12月26日
273197757,343665949,大懒妹i,跟五差不多啊,23,2016年12月26日
273218325,318454636,目纹-MOON,愿无岁月可回头,42,2016年12月26日
273201299,318454636,目纹-MOON,我来添加评论，希望这首歌能让我睡着……,33,2016年12月26日
273093789,344199808,过气网红的垂死挣扎丶,我要学钢琴,32,2016年12月26日
273182373,284915497,GENaaaaaaaa,哇，好好听,23,2016年12月26日
273179297,340253108,我也就一百来斤,石进的钢琴曲一直很好听,31,2016年12月25日
273105302,354369148,张霍,好，我等你！😂😂😂😂,24,2016年12月25日
273014498,360870955,隋玉学长_Gmy,🤔,17,2016年12月25日
272956764,381031834,大月氏n_n,你的老师真好😊,34,2016年12月25日
272967836,350495473,旧城凉aa,“纯音乐，请欣赏”,27,2016年12月25日
