6795259,33068350,青甜i,有没有人喜欢四,1617,2014年12月7日
8556043,42843406,添加至购物车,化外山间岁月皆看老，落雪无声天地掩尘嚣,995,2015年1月10日
15460838,26469921,李念遠,風霜冷冽他眉目時光雕琢他風骨浮世南柯一夢冷暖都藏住,715,2015年4月17日
13642154,7810348,千颂伊i,恍若隔世，我好像牵着你的手在漫天大雪中散步，然后一不小心就白了头，可惜睁开眼睛的时候，发现一切都是梦境，世界没有银装素裹，我们也没有在一起。,653,2015年3月27日
16040927,47499341,一页扁舟2,听着这歌曲感觉全世界都可以被原谅，往事历历在目，油然而生的伤感似乎要夺腔而出。整个人都呆了。,526,2015年4月23日
19134067,61720732,音乐与美食不可辜负,站在纯阳的论剑峰顶看着雪，单曲循环沧海映雪歌，感觉天地都安静下来，仿佛尘世再也与己无关。,448,2015年5月22日
14343847,44910048,夏揖山,一敞竹门相拥满怀风，一碗青色满蓬蓬于手。,318,2015年4月5日
11832961,15614458,糯_米团团,这么多首，最喜欢八了,294,2015年3月3日
141148722,61518418,相见恨晚哦,今天竟然遇到了前男友骑着电动车带着他的新女友，下车后两个人牵着手进了超市。等他们走远，我发现他电动车没上锁。。。唉！他还是和以前一样粗心大意，万一车子被偷了怎么办？于是，我在附近买了一把锁帮他锁上了。,226,2016年4月13日
17017343,65876819,樱花下落的秒速,琴键敲下，每一次都落在心里的最深处，听着听着，心里浮现好多画面，你现在好么？现在又是怎样？吃饭能按时么？睡觉还是会不老实么？回忆当初，恍若隔世，远方的你，我想你了，你也会这样的想起我么？对你的思念，断断续续的挥散不去，缠绕心头,210,2015年5月2日
42203266,94519620,I_am_stan_shall_we,有没有人，把一到三十一完完整整的听完了?,185,2015年10月22日
273809324,52979951,吖鱼Eu,夜一共31首，刚好一个月31天。而45678这五首连续最好听。恰似女生来姨妈的5天...最让人产生最多情绪...暂且这么以为吧,173,2016年12月26日
15579772,40385577,我冥思苦想,小兔子乖乖，把门儿开开…,167,2015年4月18日
43377015,53314737,易之难,我走过山时，山不说话，我路过海时，海不说话，小毛驴滴滴答答，倚天剑伴我走天涯。大家都说我因为爱着杨过大侠，才在峨嵋山上出了家，其实我只是爱上了峨嵋山上的云和霞，像极了十六岁那年的烟花。,118,2015年10月28日
149364945,256788384,止息退却_,无人与我把酒分 无人告我夜已深无人与我立黄昏 无人问我粥可温无人与我捻熄灯 无人共我书半生,69,2016年5月3日
273809324,52979951,吖鱼Eu,夜一共31首，刚好一个月31天。而45678这五首连续最好听。恰似女生来姨妈的5天...最让人产生最多情绪...暂且这么以为吧,173,2016年12月26日
273633235,328632331,许半仙怕是个傻der,喜欢五,20,2016年12月26日
273619003,322688213,Alexand3r,網易雲音樂是個有感情的player，日推很有愛，沒想到最後是你更懂我。你把我引向更孤單的路，而我卻心甘情願。一入網易深似海，從此歌詞是路人。,24,2016年12月26日
273589625,295304873,到底是哪个占用了我的名字,天道勘破敢问一句悟不悟,20,2016年12月26日
273340075,89653123,十沅梨美,喜欢四,8,2016年12月26日
273144416,310939398,女儿红是七两,,5,2016年12月25日
273025966,269911479,咿呀呦歪,如初恋般美好，可犹如昙花一现转瞬即逝,8,2016年12月25日
272583810,286736334,好windy,毁曲。。,9,2016年12月25日
272450248,291413877,都会好的吧c,我也最喜欢5,7,2016年12月25日
272258823,270037225,云端上的露珠,我喜欢四,7,2016年12月24日
272221927,383838702,1997-0923,就让所谓的美好存在某个地方，过往能够常常回首，记忆能够常常回想，也许就好。,4,2016年12月24日
272110892,313060383,五月花号-,春江花月夜,6,2016年12月24日
272087595,133012045,子夜经年,是沧海映雪歌吗,15,2016年12月24日
272137012,86194166,Semiverse,落月摇情满江树,5,2016年12月24日
271848599,115124371,咱们好好的啊,最喜欢5 当然8也不错,7,2016年12月24日
270857780,363926256,-嘻嘻嘻哈-,年少的喜欢，是一缕阳光，带给你无尽的温暖；年少的喜欢，是一阵清风，迎面而来，悄然离去；年少的喜欢，是一片花瓣，即使零落成泥，也曾在空中留下了美丽的弧线。天空还是那片天空，你们却不是当年的你们。用心走好每一段路，开心的，不开心的。你要找的人，在路的尽头等你。,18,2016年12月22日
270831264,262942431,仪式感__,今年22岁，东北辽宁人，家乡的企业腐败令人发指， 北漂做IT2年了，我一个人什么事儿都可以承受来，横冲直撞从不缴械。计划在沈阳买房，我要亲手把父母攒了半辈子的钱送给喝人血的房地产。中国用100年的时间发展别人的300年，老百姓就要用一辈子干三辈子的事儿，这样是对的吗？我不否认，也不确认,20,2016年12月22日
270571416,328386083,瓶木木,最喜欢八，以前无意听到了带歌词的八，可惜找不到了。,6,2016年12月22日
270583081,278136696,帐号已注销,用的夜钢八作曲,3,2016年12月22日
270515343,304410016,帐号已注销,四到九我都喜欢,0,2016年12月22日
