6665522,8927328,lishijie同学,可能是她一直在找砖头吧,11.3万,2014年12月4日
4830481,9681639,小平克阿生,每次听完都很有恋爱的感觉 醒来发现 尼玛还是单身,63691,2014年10月11日
7885750,548345,蛋蛋是圆D,相识10年，结婚3年，儿子半岁，就是爱你，爱你们,45776,2014年12月30日
37489469,81760594,麋鹿迷le路,假如一个女孩经常提起一个男孩的名字 无论是表扬还是谩骂 潜台词只有一个 她爱他,43689,2015年9月24日
31374732,71231913,刘磊Kevin,“无论我们最后生疏到什么样子，但曾经对你的好都是真的。”,34434,2015年8月17日
461053057,70569988,_没什么大不了我有我奥妙,希望有一天你会不经意的听到这首歌，第一个想到的人会是我。 ⭐️🐳,28458,2017年7月4日
7762579,35566556,Sunshine丶苏沐晨,以前老唱给我喜欢的妹子听。然后我们在一起了。结果11天就分手了。还是在情人节分手的。我之后就一直没谈过恋爱了。现在又听到，真是百感交集。。,26150,2014年12月27日
632483448,563882691,落霞与孤影,英语老师的情书:l love three things in this world.Sun，Moon and You.Sun for morning，Moon fornight，and You forever.它惊艳的中文翻译版:浮世三千，吾爱有三。日、月与卿。日为朝，月为暮，卿为朝朝暮暮。,23119,2017年12月4日
124896058,49376493,kc小志,这一年周杰伦的《十一月的肖邦》王力宏《盖世英雄》潘玮柏《高手》林俊杰《编号89757》陶喆《太平盛世》，绝对的华语乐坛巅峰！,23094,2016年2月29日
22187404,61325846,时间快给我答案,我一定会把你追回来，然后跟你求婚，你这辈子只能跟我结婚，做我的新娘，做我孩子他妈。我这辈子注定只会爱你！因为，等待雨是伞一生的宿命！！！,20617,2015年6月15日
42467101,87921226,GRAY与我i,婚礼上姐夫对姐姐唱着这首歌 后面大屏幕上是姐夫为姐姐做的视频 纪录着姐姐从小到大的点点滴滴 姐姐感动的流泪 在场的人大概都会很感动这一刻姐姐很幸福 希望以后也要一直幸福下去,18050,2015年10月23日
8185126,594018,allenmei,同桌，我喜欢你。,14814,2015年1月5日
55479585,113933545,宇宙第一好看小仙女,我们寝室六个人 五个人有男朋友 无意听别人说我的男朋友是全寝室最好的男朋友 一瞬间我却很想哭 想起那些任性那些发脾气那些欺负他的时候 真的好心疼他 他那么好 我应该要好好对他 心好暖,13413,2015年12月21日
632225864,582124773,被青枫吹痛的毛毛虫,高中喜欢了一个女孩三年 曾经在最可能的时候我没能把握住机会 我只有160 她还比我高 或许是我没有自信 现在都读大学了 她单身 我单身 我要去追她了 云友们 为自己喜欢的人 不要放弃,12516,2017年12月4日
46085975,18003779,Mc-小宝贝儿,昨天上课脑子一发热就给她发了一条短信说今天的太阳很好，我们正式交往吧。她答应了。单身了5年，碰到对的人花了2星期在一起。,10122,2015年11月11日
