5136541,37454621,桔子娟,I heard that you're settled down That you found a boy and you're married nowI heard that your dreams came trueGuess he gave you things I didn't give to you 已闻君，诸事安康。遇佳人，不久婚嫁。已闻君，得偿所想。料得是，卿识君望。,21.6万,2014年10月25日
63530065,63699739,我越来越像贝壳,打了好长一段话 删了,15.6万,2016年1月20日
13887219,44543034,木讷的密斯郭,读大二的时候，口语课间班上有个男生在教室放了这首歌，外教是个50多岁的单身美国老头，平常特别活泼开朗，听着这首歌竟偷偷在抹泪，其实每个人心理都有那个ta吧。,83506,2015年3月30日
5001536,34158760,吱吱半粒米,毋须烦恼，终有弱水替沧海。,58568,2014年10月19日
5805341,30701093,accountdeactivated_,我想我永远不能和你说出心底话了 我有多喜欢你 但是怯懦和骄傲让我无法说出口 我真的好想和你在一起 不是以兄弟的身份 或许我这辈子 只能当霸王别姬中的那个程蝶衣了 someone like you 像你的他 ,47997,2014年11月14日
63656878,90541241,愿君诸事安好,那次和你在奶茶店，我拿出手机放出了这首歌。我说这歌叫有一个人喜欢你，你大笑起来:什么鬼，明明叫像你一样的人！我没说话，其实你不知道我说的是我喜欢你。,41240,2016年1月21日
44083105,76583837,大熊没有哆啦A梦-----,如果在15岁遇到你我就可以给你一段奋不顾身的爱情如果在25岁遇到你我就可以给你一段稳固踏实的婚姻可我们偏偏相遇在20岁没那么冲动，亦不够成熟所以无疾而终,37547,2015年10月31日
72137846,38975916,苦瓜师太,突然想找你聊天，打开窗口，突然发现上次的结尾是我，欲言又止。最想的是你，最不想打扰的也是你。我自知没有任何立场不敢过多的问候你。每个人都独一无二，更何况在我的城市里再也找不到第二个你。我想我会成为更好的人，因为你，但，不是为了你。,30971,2016年2月19日
6293031,242233,沙咲,年纪越大越会明白，少年时曾说过的话，不管多么情真意切，最后也终流于天真，但是有什么关系呢，那不代表它们就是谎言。我是真心希望，如你所言，在我之后，你再没有不能失去的东西。而我再爱上的人，也无一人像你一分。只愿你平安喜乐，愿我们今生，天涯永不再相见。,28958,2014年11月26日
5527078,41372933,number68,过了那么多年了，我们情散了，遇到了很多人。可是啊，不自觉的发现所有交往过的人都有你的影子。其实在心里，你总是影响着我，如果不是我一直的风格习惯，那么就是你还在我心里，如此简单而已,23910,2014年11月6日
123611119,102308562,thereisnobodydancingtonight,我是来看故事的...我丑没故事,22290,2016年2月25日
5195814,32565124,MichaelBuble,光阴常无踪，词穷不敢道荏苒。情堪隽永，也善心潮掀狂澜。,20631,2014年10月27日
5550383,32288962,孜然君不爱孜然了,本来在写作业的，听了后，作业什么的都让开,17774,2014年11月7日
5528319,30009998,帐号已注销,如果不是这首歌，我可能会是另外一个我,15273,2014年11月6日
53227330,97939867,雄oo,每次听着这歌时候，都会潸然泪下，22岁，遇见自己的第一段感情，那时天真的以为会永远走下去，到后面成为熟悉的陌生人，删除所有通讯方式，不在联系，听到你找到自己的喜欢的人，并为他付出自己的一切时，心痛还是依旧，在后来没有了任何消息，3年过后，经过以前的地方，只剩下当时的怀念，物是人非。,12750,2015年12月12日
