7151044,44886935,西贝王京不是我,为什么会觉得现在这年纪，喜欢听这种歌是一件很不好意思的事，噗~~~,22.7万,2014年12月15日
60526220,121596156,Russell_tovey_,好了好了 整个网易云都知道你有ipod了,18万,2016年1月10日
128835395,45848129,长大的林俊杰,王司徒：摘下一颗苹果 送给心爱的诸葛,77004,2016年3月12日
5481093,31959183,哇光头,唐马儒：有点甜,59541,2014年11月5日
171372376,245905261,葫芦娃哇哇,bug是啥意思,58187,2016年6月20日
6991396,34673604,充电电饭煲,考研狗 看书看的吐血。。。半夜两点半听首歌缓解下。。 看算法题看的跟吃屎一样,56371,2014年12月12日
19133329,35678944,adjective,曾经喜欢过的女孩在晚会上唱过，这首歌永远保存在我的ipod里。,53315,2015年5月22日
145481983,97860094,TurboCharge_,汪苏泷，徐良，许嵩，这仨还是初一认识的，当时没手机没电脑，但是却想听素颜，现在一转眼就高三了里高考还有40多天，现在听他们的歌满满都是回忆，嫌弃青涩的初中，现在听虽然歌词有些非，但是歌的确很好听，一边笑别人还听这个歌，一边自己听。,45599,2016年4月24日
6194619,43065336,壹粒橙籽-,是你让我看见干沽沙漠开出花一朵,28028,2014年11月23日
179983465,267104148,七月与安生dy,有木有人是因为微微一笑很倾城来听这首歌的,19075,2016年7月8日
641218208,350849406,是大猛呀,那时候听汪苏泷歌有种恋爱感觉，听许嵩歌有种分手感觉，听杰伦歌有种穿越感觉。现在发现了，那都是青春的感觉。,14547,2017年12月14日
127319546,69609292,NileRiver,今天正式退休了，回到家，看着电脑屏幕，再也不需要伏案工作到凌晨，再也不用处理邮件。听到这首歌，想到40年前上大学的时候，那可是1975年呀。想起那时候的同学，早已没了联系，不知道他们怎么样。祝他们健康长寿吧,14502,2016年3月8日
1198845890,111049939,梦梦梦梦帐冷衾寒,晚上吻了她，她害羞用毯子盖着脸。这么可爱的姑娘，以后就是她了。一辈子。,11768,2018年7月31日
5626281,34330470,然兮兮,I like.真心很甜,11202,2014年11月9日
629551252,578869330,ZiTangGuanZi,2018还有一个月就到了，这半年都很颓，上了一个不太喜欢的大学，突然觉得大学四年都不会恋爱了，在这男女比例如此悬殊的师范院校，我不愿敷衍自己，一定要把最好的自己留给如这首歌一般甜蜜的爱情。,7569,2017年12月1日
