6443082,31174613,YuHeisenberg,过年时我弟弟天天在家唱白发送走黑发，被我爸一顿臭骂,10.2万,2014年11月28日
196466849,124068169,_豆瓣酱不甜,陈奕迅有林夕，周杰伦有方文山，而许嵩只有许嵩啊,54390,2016年8月9日
6952285,30047996,墨上卿安,那年初二，现在大一。,32014,2014年12月11日
6949319,30047996,墨上卿安,许嵩和他的音乐都是我一生不可磨灭的记忆。,21112,2014年12月11日
56782636,114373669,定风波笑棠,音乐鬼才，词曲都是自己写的多，我96年的，谁说自己的初中时代没有他，不是么。,18945,2015年12月27日
147846004,97313166,复活失败,那时候用的是翻盖手机，一个月30M流量都用不完,14176,2016年4月30日
9905413,34042050,网络舆论员,天龙八部2啊,12088,2015年2月2日
42933402,84954842,千帐暖,沙场无情，刀剑无眼，唯有君王一纸封赏告慰满地森森白骨。多少将领战功赫赫，名垂青史，可一场战争几十万人的性命，能被历史记住的，仅一人而已。一将功成万骨枯，中国历朝多少将领，那是多少无辜而又年轻的生命铸成的一曲唱响千年的悲歌。醉卧沙场君莫笑，古来征战几人回。莫话封侯，历史最是无情。,11466,2015年10月26日
3604338,18553499,e1ever1,难以想象既谱曲有赋词还要吟唱。。。满满的回忆,9962,2014年7月31日
139396939,122277167,猫乔安,天龙 还想起当年在大理普天同庆举行别人的婚礼 大家都跟在婚轿子后面捡红包的时候 认识的武当小男生 每次打水牢都替我挡怪喝下十碗孟婆汤 总是吃到最丑的变身药丸和我一起逛街 舍的给我买最贵的烟花 坐在洱海陪我钓一下午的鱼如今也不知去向何处想说 虽然你可能是人妖 我也爱你,9619,2016年4月8日
8168752,45057225,独龙转地鼠,一将成，万骨枯，唱到这句顿时思维穿越到无间道曾志伟,6901,2015年1月4日
68398217,75909200,李不拍照,昨天安徽卫视许嵩现场唱了一首庐州月，竟发现比以前唱功好的太多太多，高一听许嵩现在大学都已经毕业了。。。现在在听都是满满的回忆,5945,2016年2月6日
1307148857,1493814260,水果罐头球,《半城烟沙》：2分05秒：只盼归田卸甲 还能捧回你沏的茶。《绝代风华》：2分05秒：你莞尔沏来春涧草茶。我嵩哥的小心机。,5129,2018年11月23日
15505915,53093443,而是事实,因为词曲是他自己的，所以更多的是他的想法思考，也更能产生共鸣，而杰伦的中国风，好听，却难以让人与其产生一种共鸣，因为歌词所述不是他想的，而文山的歌词很多也是言之无物。,4225,2015年4月18日
169400890,121496054,血落倾城,最后一句真是绝了，无法想象竟然能写出这样意美境更美的句子，转世燕还故榻，为你衔来二月的花,3866,2016年6月16日
