15092744,7314913,城池,好好的一个庐州非要改名成合肥,18.6万,2015年4月13日
5638895,7180798,留给中国队的时间不多啦,那年带着半个月的零花钱淘了个便宜MP3，512MB的TF卡已经很牛逼的那年，每次去数码店总要挑好久才下满的歌。如今应急买的手机内置32gb，无损的音质却也听不出那年嘈杂中歌声里的感觉。那年我戴着耳机，透过书本的上沿，偷偷看的是她扎的马尾辫，而今头枕着背包，陪伴我的只有车窗外的雨滴,83160,2014年11月10日
34983347,82149476,节操满满的LC,叫合肥月这首歌就没法火了。,76089,2015年9月7日
5628956,37271900,我恨你如鲸向海,初三喜欢许嵩，现在大三了,51189,2014年11月9日
47984813,70009999,_不及雨,初三的时候老师规定早上迟到的同学要表演节目，然后我就故意迟到了，只为在班上唱一首《庐州月》,43986,2015年11月19日
34271124,83883941,迷乱的短发,OPPO里传来了一曲离殇,36372,2015年9月2日
127173874,103343009,慢慢慢_赵,这词写的极为牛逼，所有尾子押ang韵...我没在别的任何歌里见过这么自然地押韵,34830,2016年3月7日
139069933,44326616,zzy08,庐州被改成了合肥，兰陵被改为了枣庄,21809,2016年4月8日
4080964,28244617,志宇轩,许嵩的声音文气，很轻俊，听起来感觉很轻松，是吧！？,20864,2014年9月1日
41422764,98617891,坐在纸箱上想起疯了的朋友们,当年听这首歌，只是惊叹许嵩高超的才华，所有歌词最后一个字都压着一个“ang”的韵，如今我经历了这么多，才发现这首歌所表达的远远不止恋人之间的感情。泸州的月缺了又圆，月光一直洒在那座桥上，一切都没有变，只是人间早已物是人非，太多的殇，难诉衷肠，叹一句当时只道是寻常，,16153,2015年10月18日
4871902,28545475,ToumaKazusa2007,月下的你不复当年模样,11413,2014年10月13日
59446208,41182105,SYXSV,我终于理解了为什么有人说你唱的难听，无非就是不喜欢你的嗓音，而我恰好喜欢你的声音，便成了你的歌迷。而网易云音乐热搜的有些歌我听了也觉得难听，不同的是我不会评论难听,11141,2016年1月6日
1334778985,380613134,你好-里昂,石家庄赵子龙说什么了,10693,2018年12月22日
1333592723,1542421304,愿你永是幸福的千纸鹤,你可以上网搜一下具体的庐州府与合肥的关系，合肥这个名字从未改过、也不是新取的，其历史比庐州这个名字还要悠久，二者概念不同概念要仔细分清。,8484,2018年12月21日
5569684,36902393,在红色天空飞翔,高一偷偷塞在耳朵里的耳机，单曲循环,6874,2014年11月8日
