128563571,81405590,人生本该圆满,果然听许嵩歌的都已经上大学了,13.1万,2016年3月12日
72499998,62203441,令和最后的昭和男儿,为什么你女朋友不认识你妹妹。。。。。。。,81810,2016年2月20日
147821135,30370615,FuJiangChuan,我记得之前中学 我问朋友这是什么歌 朋友说是 多余的妹妹 我居然搜索了半天,55984,2016年4月30日
5881382,39182940,BehumbleU,想起了初三的那年冬天，新买的mp3里一遍又一遍地重复这首歌，和老妈一起窝在暖气旁边看她织毛衣的情形，现在大三了，已然。,35037,2014年11月17日
18582315,10708852,youw3,她只是我的妹妹，妹妹的姿色很有韵味。。。 感觉会被打,32657,2015年5月17日
13421588,50912494,Pseudoed,把剧情用歌词说唱的出来的歌很少的,31464,2015年3月25日
1332976669,1480718711,一切都太晚9,许嵩：来来来，你来写，你来唱,24820,2018年12月21日
12654283,44773318,米酒加dia糖,许嵩真的永远的会在一个年纪留下永远难以抹去的痕迹,19951,2015年3月15日
3881978,33589561,木_槿,很喜欢开始的电话声音,18995,2014年8月19日
150274572,55166014,封阱,那时候的触屏机是用指甲去点屏幕的,15685,2016年5月5日
11011688,36369922,用户36369922,现在静静听许嵩，还是那么好，那么有感情，记得以前怕人说的，怎么还喜欢网络歌手，但现在大二，觉得听许嵩歌真的很好，,13547,2015年2月18日
125161259,35142578,彭小菜km,听歌最神奇的就是，当某个熟悉的旋律再次响起来的时候，突然就会回到当初听这首歌的某一瞬间。🌠,13045,2016年3月1日
10944693,32766808,hi-otaku幻想真实,妹控专属歌曲…,9963,2015年2月17日
1333287002,267419659,zjmzjm-zz,所以为什么他女朋友旁边还站一个？,8139,2018年12月21日
596333408,300368349,你也要快乐喔,ooook 入冬了想给你买一顶帽子，怕眼光不行所以叫着紧跟潮流的哥哥和我一起，和哥哥说说笑笑 缓释最近糟糕心绪，在下一个转角却和你相遇，他只是我的哥哥，哥哥说绿色别有风味。,7838,2017年10月26日
