6282783,40195289,年轻的记忆,高一听的歌，现在都大三了，时间好快,12.6万,2014年11月25日
175421346,30563889,Gorlomi,周杰伦的中国风是宫廷的，有传统的气息；许嵩的中国风是江南的，有梅雨的味道。,11.2万,2016年6月28日
130378127,249016332,树下蜗牛壳,半城烟沙半城血，清明雨上客怎眠。千百度里寻伊人，不见当年庐州月。,69991,2016年3月16日
8221143,44457852,等烟雨天青青,初一知道的许嵩，然后就一直听了下来，不知不觉已经大一了，忽然感觉时间过得太快了，，，，那年的我喜欢和她一起坐在操场的台阶上听着这首歌，现在的她还好么？,41938,2015年1月5日
25111492,64347737,lyc秋千坠,记得初二时在考场拼命背书为接下来的考试，听到别人在放《清明雨上》，激动了一下，随后又很失落。当时那么喜欢的歌手别人也在听着，像一杯好酒被别人偷喝了一半，为了骗自己兑上水，却失了原来的味道。再者，总觉得，这样的歌只适合一个人静静听，在那么宽敞的地方放，总觉得被破坏了。,32181,2015年7月5日
6719809,33494239,我的名字十二字不信你数数,你总说毕业遥遥无期 转眼却各奔东西.................,27979,2014年12月5日
324885361,99056634,福州小法师,十年了，想当年在安医上学的时候，你也没和我上下铺，但是也睡在我对面的下铺，有时候你在寝室哼着没有没有名字的歌曲，大家都在想着你以后可以去唱歌，有时候寝室去逍遥津玩，你也忙着去写歌，结果这么多年过去了，你果然去唱歌了，而我也按部就班的成为了一名医生，也许这就是人各有志吧，523。,23318,2017年3月7日
68472951,46116398,杜大官人,“庭有枇杷树，吾妻死之年所手植也，今已亭亭如盖矣”,18906,2016年2月6日
6768669,35601787,煮壶时光品良辰,传唱许嵩歌，谁知歌里愁？,15071,2014年12月6日
14278677,8909250,女侠七七可能不是流氓,又是一年清明。现在大二。当然不会忘记初中有多疯狂的迷恋他的音乐和他这个人。那时候听清明雨上会脑补如果有MV就该是黑白画面，正装许嵩站在小雨中在墓碑上放一朵白菊。晚上做的梦就不太好了，梦里墓碑上是我的照片……初中同学应该记得吧,11130,2015年4月4日
1079834615,646051498,酥酥的酱,为何是清明雨上而非雨下？ 雨上是有你的天堂，雨下独留我彷徨,9707,2018年4月9日
1074987037,368684044,新长征路上的-摇滚,那年刚听这歌的时候我奶奶外婆还健在，如今她们都已驾鹤西去，最大的遗憾是因为驻守在祖国的西南边陲二位最疼我的老人离世时我都在执行任务，我都没能赶会去见最后一面，送上最后一程。奶奶，外婆，又是清明节了，我再也吃不到你们做的清明果，喝不到你们采的清明茶了，你们在那边还好吗？,9595,2018年4月5日
5646923,35791549,蛋挞皮衣,我的许嵩许嵩许嵩。喜欢你 本来与你就无关 何须在乎更多其他的声音,8110,2014年11月10日
1191705401,246769513,__似海__,离人愁没法比，因此别在这里提，这是对作者的起码尊重谢谢。,3993,2018年7月25日
1076205873,287040845,烟花三月下庐州,每天听一百遍许嵩 也挽不回排名从第一落到30名的事实 不过也觉得这样很好 少了些风口浪尖 不过他真的值得更靠前一点,3532,2018年4月6日
