162361836,281300727,韩威1013,80后嫌弃，00后不懂，我猜大家都是90后,10.2万,2016年5月30日
4977587,37314450,温柔__小太阳,每次听这首歌，真的又回到了八年前，我还在上初中，是个屌丝，因为一个女生，我听到爱上这首歌，成了许嵩的粉丝，上高一时，音乐老师没节课都放这首歌，每次都会感动;上了大学，我不再对许嵩狂热，可这首歌给我带来的东西，永远难以忘怀，城府是我唯一会喜欢一辈子的歌，直到我挂!,53306,2014年10月18日
151348598,70429753,1stning,以前叫城府，现在叫套路,31062,2016年5月8日
7028308,11415193,一碗凉白水,每次点开一首歌的评论，都会在最上面看到一段真诚狂热的文字，明白了耳中的每一首歌都代表了一段独一无二的回忆，感动得不行。谢谢你们，祝福我们每一个人。,27493,2014年12月12日
5984773,32899880,ACCLIMATIONDISCERNEXPEDITEPRRM,前奏太美，和多余的解释一样，一听前奏，无法按下暂停。,18591,2014年11月19日
7978636,45164202,豆豆只是喝醉,嵩哥是我整个青春的记忆。。。,14295,2015年1月1日
151376039,110648852,去_远方,还有一种就是你这样的装逼总结文,12751,2016年5月8日
6384831,39543550,你哥哥哥,20秒任性的前奏响起，也是醉了,9923,2014年11月27日
8516376,34664564,看着小野长大,初中听这首歌的时候，还不知道这个歌手的名字，用同学的小小的MP3现在再听，只能说许嵩真的是个人才，陪我们这些年。,8804,2015年1月10日
7981063,42428036,夏夏的人生观,看着大家的感想都挺多，看来嵩哥给每人都留下了些许回忆,6101,2014年12月31日
10158404,40248244,若舟,带上假面也好如果不会疼，怎么可能呢,5141,2015年2月6日
134053817,89639113,SilenceBoymini,许嵩我同学 他真的很有才华,4562,2016年3月25日
7294540,41797736,-Magari,以前只是单纯的觉得旋律很棒，几年过去每年都有一个新的理解,4058,2014年12月18日
1333346257,1567016279,情迷网易云,02了解下？,2288,2018年12月21日
644933818,555633287,迷雾鸡毛秀,不知道现在怎么了，总是做梦梦到以前，今天做梦梦到初中喜欢的人，那个时候因为没有告别就转学了，没想到现在依然会觉得遗憾，在梦里梦到了他~梦醒了，我发了疯似得想要找到你的联系方式，可是时隔太久，于是我听着曾经你最喜欢听的歌，希望你能看到，想知道你现在过得怎么样YHW❤,1947,2017年12月18日
