17613142,62559591,朊城知燕剑,那年一个人坐了20多小时火车专门跑去西湖看一眼断桥，全是人，没有雪。,12.2万,2015年5月8日
5162769,32718832,一面仰望,高一在班里面教同学们唱断桥残雪，那一年，整个年级知道许嵩的一大半知道我，现在也随风偏远。,54462,2014年10月26日
65251677,102038666,回忆怎么浅,把一个笑话当真的你，才是最大的笑话,53076,2016年1月26日
8068169,41838222,观测者z,许嵩贯穿了我的初中时光，说不出喜欢还是不喜欢，是一种独特的青涩的感觉。,32349,2015年1月2日
28870003,19243474,fanchaoo,如果几年前有网易云音乐，这里的评论会不会破万。,30959,2015年7月31日
141106831,111974108,老婆要瘦成闪电劈了我,我老婆以前玩天龙八部，断桥残雪那个区的，后来到我那个区玩认识，熟悉，见面，毕业，工作，五年后我们结婚了，现在儿子一岁多,25843,2016年4月13日
69349570,131794278,a看到我请叫我去写作业a,觉得许嵩才是真正的才子，那么多歌都是他自己制作的,20848,2016年2月10日
6713895,33494239,我的名字十二字不信你数数,你总说毕业遥遥无期 可转眼间各奔东西...........,17914,2014年12月5日
717329804,122488582,-是小七呀,“好想变成雪啊，这样就可以落在先生的肩上了……”“若是先生撑了伞呢？”“那就落在先生的红伞上，静载一路的月光。”“若是先生将雪拂去……”“那就任他拂去，能在他的手掌上停留一刻，便足矣。”,13246,2018年2月25日
57033863,76495978,凌安酱,不知为啥突然想翻出vae早期的歌来听，前奏刚一出就想哭了。初中时诺亚舟里放的最多的就是断桥残雪。就好像把自己的青春那些年从坟地里刨出来鞭尸，无数个早读晚自习，无数个和月考、53、小纸条、“xx喜欢xxx你知道吗”相伴的日夜又回到眼前。时间过得可真快啊，转眼很多年就过去了,12425,2015年12月28日
6512155,16108828,物极必反是定律,我是来看评论的,10427,2014年11月30日
124567092,86797289,杳杳山色,评论可以被命名为《回忆录》,9510,2016年2月28日
8058302,31422682,JJ民,我想起那天夕阳下的奔跑，那是我逝去的青春。回不去了！,8217,2015年1月2日
509110455,511690573,酒歌哥哥,和女朋友在一起一年多 ，因为大学异地分开了一段时间，还好她回来了，我做了一天一夜的火车来到我们认识的城市待了两天两夜，中午送女朋友回家的路上私家车司机车上放的这首歌我一个大男生哭成个泪人，两个人都红了眼 还有几天她就去广州了 预科一年大学四年 ，嗯，熬过异地我要和你结婚！刘嘉蕊。,7015,2017年8月14日
7814821,29353800,wanggiya-ilha,那年冬天，混蛋的前任，不堪回首的感情。听到还是会想起当时很傻很天真的自己。妈蛋。这么好的歌非和那些混蛋记忆连在一起。即使我已经忘了他。再也不爱也不喜欢。,6005,2014年12月29日
