131168734,45877394,正在努力的安康,今天知道自己得了绝症，幸运自己现在心态很好哈哈哈我才24岁啊,27.1万,2016年3月18日
12214320,47584337,张少1915,09年冬，年末的时候，失去了工作也身无分文，别人都忙着回家过年，一个人流浪在千里异乡街头，除夕大雪，躲在别人回家过年关闭的店铺卷帘门前。接到妈妈的电话，骗她说车票难买，在公司里过年，和同事正吃火锅包饺子。挂了电话，看着空荡荡的街道，远处的鞭炮，清冷的雪，听这首歌，泪水慢慢出来。,14.8万,2015年3月9日
5498169,31315671,速写素喵,高四听的，怕是一辈子忘不记,82138,2014年11月6日
137615855,29461403,深安罗,大四那年 听着这首歌在游戏里完成了一次五杀 我兴奋的扭头炫耀的时候才发现整个寝室只剩下自己了 总以为毕业遥遥无期 然而转眼已各奔东西,58384,2016年4月4日
39059970,65870528,JacquieZ,我第一次听蓝莲花，是在高考考场。和众考生一样，早早来到考点，在紧闭的大门前守着，手里攥着书本，想做最后的复习。广播里放着音乐，当时的我却不知道歌名。高考后疯了一样寻找，最终在半年后找到。按下播放键的一刹，郁热的空气，忐忑的心情，那个18岁的夏天铺面而来。,48148,2015年10月4日
5151185,38227913,不知不觉的一瞬间,老许是一位让人尊敬的歌手！,39982,2014年10月25日
66029247,128569806,Sakura丶益达,去年暑假的时候踏上了骑行川藏线的路，318国道，成都到拉萨，全长2115公里，最高海拔5018米，一路骑行，高反、泥石流、落石、山体滑坡、藏民闹事，天葬，大渡河，米拉雪山，感谢自己在以后都不会后悔的年纪踏上了这条路，感谢那个勇敢追随内心的自己，岁月蹉跎，人生海海，我们只是时间长河里的一道光,32398,2016年1月29日
4960431,3585557,咖啡瘾者,朋友，坚定地相信未来吧，相信不屈不挠的努力， 相信战胜死亡的年轻，相信未来、热爱生命。,29316,2014年10月17日
4669030,3119544,思恋是一种饼,画室里面一放这首歌我就来劲了。一晃那可是十年前的事情了。,25369,2014年10月3日
6333782,34466149,Smile__power,为第一份工作加油！,17181,2014年11月26日
629492465,394308100,丿橡皮擦丶丶,今年27岁，如果到我三十岁的时候还没有人和我结婚的话，我就用自己的积蓄买辆车，然后在车里放着许巍的歌，去自己想去的地方，爱情没有了，不能连自由也没有了。,15833,2017年12月1日
6371120,31824244,帐号已注销,没有什么能够阻挡 我对自由的向往。多美好,15563,2014年11月27日
1407470514,1762606702,林初严_s,一个男人最难熬的状态就是眼里操心着父母脑子里想着事业心里装着个姑娘胸膛中盛着远方可是最后失望于父母辜负了姑娘看不见远方💔,12287,2019年3月2日
1334750955,560875468,胡来和妄为_,今天冬至，身为外卖小哥，今天不知道送了多少份饺子，再坚持一会，很快就要下班了。媳妇包好饺子了在家没吃还在等我。想一想就很幸福。,11552,2018年12月22日
1332363427,283870624,布尔什维克党人,治愈了吗？,10073,2018年12月20日
