8094707,44107800,那就叫我杨中医吧,老师：“Boy的复数形式是什么？”学生：“Gay。”,22.1万,2015年1月3日
15817433,43447500,Christopher-Salisbury,在一个广告牌上看见大大的翻译。。。叫我美逼,12.3万,2015年4月21日
5770589,40320364,手机用户9200,MV才是亮点好么。,71995,2014年11月14日
6529354,44922954,半影城池,记得当初我基友大半夜突然叫我去看这首歌的mv。。说她看到结尾那里立刻觉得必须让我和另外一个菇凉看。果然我俩不负她所望。。于是我们友情更深厚了#论腐女们的友情是如何建立的#,58685,2014年12月1日
6301799,376618,Aska_,蹲妹不蹲着不会唱歌,42553,2014年11月25日
150080604,249234442,辣夏贝儿,我勾引你那么久，你tm最后竟然想上我的鼓手😂,35661,2016年5月5日
7137750,18590405,MartinGarrix,是“约吗”的意思,30653,2014年12月15日
6193594,31325803,享阅,mv好评 谁看谁知道,25812,2014年11月23日
6136521,42414272,莎莎是个好姑娘-我爱她,那么帅竟然是gay啊啊啊不可忍受,24951,2014年11月22日
26419857,49387007,Tao_0,一则Youtube上的评论：Hey you just fucked meThat's pretty crazyYou got me pregnantAnd here's the baby,21614,2015年7月15日
142362514,251506059,荆州吴彦詛,闺蜜的小床说上就上，爱情的巨轮说沉就沉，好好的直男说弯就弯，友谊的小船说翻就翻,19029,2016年4月16日
67922462,109409800,loveMaroon,蹲妹不是那种多漂亮的类型，但是就是喜欢你唱歌时的那份自信，那份甜，每次听到call me maybe的时候，你叫我打电话给你，那你倒是给我你的电话号码啊,9861,2016年2月4日
254514621,120591880,害情,那种长得帅 大长腿 锁骨明显 有肌肉 手很骨感还细长 成绩好又体贴的男生 你觉得...他会喜欢女生吗,9265,2016年11月27日
1335580421,270889049,鬥魚阿澈496750,男上加男呗?,6430,2018年12月23日
