41991738,63339046,4everFantasy,是不是可以翻译为。。。良辰,15.4万,2015年10月21日
6281758,26254846,素人不腥,明天大合唱就要唱这首歌了，好紧张😂,89677,2014年11月25日
6396423,38997031,一只想流浪的猫_,肚皮舞老师每次上课必跳，老师身材很好，也很帅，跳舞也特别妖艳。看的我直流口水,69671,2014年11月27日
172893237,283824690,Nero_1_2,今天高考查分，紧张得要死。早晨一醒来，看到每日推荐的第一首就是这首，是不是意味着好运呢🍀,62831,2016年6月23日
6222220,615024,威廉王,因为这个mm所有专辑的封面都是蹲着的有木有,36223,2014年11月24日
64487096,124971538,是你南来的风,第一次听这个歌的时候是因为奥利奥广告 然后就跑去网上搜 以前经常做这样的事 无意听到了好听的歌就会自己去搜 搜好久 搜到了好兴奋 觉得好有意义😂😂😂,29215,2016年1月24日
635966684,270732405,你想太多了l,上高中每周一歌的时候我在讲台上唱了这首歌，恰巧被班主任英语老师听见了，班主任直接对着班上同学说:xx同学英语高考保证能打140分，当时我就脸红了，高考的时候英语141,25248,2017年12月8日
16850556,14212292,景然有旭带着丝凌乱,小长假不能出去玩，闷在家里，听着这首歌，你们感受到我有多怨念了吗...,23451,2015年5月1日
53613096,84225440,乌鸦新二,那个花了800的哥们，被女票喷死还算好的，我花了两千，女票直接变前任了→_→,19513,2015年12月14日
166623133,287898009,格兰芬多小蜘蛛,高考结束希望每个人都是good time,19268,2016年6月9日
169920798,248369560,just一生,还记得第一次听到调子是在奥利奥的广告里，哇哦哇哦～奥利奥,11794,2016年6月17日
666120759,586757259,过期柠檬水,听着这个熟悉的旋律，想起了以前，还是一个惬意的夏日，我的手机里习惯地放着这首歌，他向我表了白，一切都是那么美好。现在再也回不去了。不知道云村里的各位有没有这种感觉，当你一直循环着某首歌，当有一天再次听到这个旋律时，会回忆起那段时光，所有的场景都历历在目，一种奇妙的感觉会油然而生。,7546,2018年1月8日
1334122241,1659563265,坏男孩努力中,我个人认为哈，你上去跳好点,3195,2018年12月22日
1536380489,1810938175,LoveTroyeatime,祝我明天的地生中考一切顺利叭和下星期的期末考美好如约而至good luck ！good time！,2365,2019年6月26日
1332648931,1389131006,啊憋啊憋,帅？！,1921,2018年12月20日
