6505833,391738,巡游天神,这是事实吧？网易虽然做的晚，但是做的真的要比他们好,10.1万,2014年11月30日
5866862,17347857,番茄鲁鲁,ohohohoheheheheh那一段太中毒了…,42994,2014年11月16日
17822241,40601561,搞不懂的第四个千代,ooooo刷左边大牙，eeeee刷前门牙，再ooooo刷右边大牙，重复一遍就刷好了,35875,2015年5月10日
8971925,45583751,紫麋鹿,他们说不要看MV我偏去看了,22006,2015年1月18日
30731070,58099808,海洋之灾2,我以前是个哑巴，本已经习惯了这种没有交流的世界，一次偶然我听到这首歌，我声带不自觉有了共鸣和振动，现在、、、、还不错，我变成了口吃,15411,2015年8月12日
6660784,33494239,我的名字十二字不信你数数,能告诉我为啥听歌时前途还是一片光明，看了MV那个过程惊涛骇浪啊 整个人都不好了.........,15028,2014年12月4日
6609560,33309889,忘川弎途,总觉得旋律很熟悉。。说不上来像哪首歌。。,12765,2014年12月2日
8860298,10187625,Morse_Leo,好好听歌，千万别去看MV,10964,2015年1月16日
174090172,111513754,帐号已注销,可以可以 这波解释很网易,10549,2016年6月25日
66413478,83378444,小安有点难,在别的播放器里找歌，就像女朋友一样难找，自从有了网易云感觉全世界就我一个男的,8398,2016年1月30日
6563426,32802203,果冻老师,哦哦哦哦哦哦哦 哎哎哎哎哎哎，一库一库我不要脸,7350,2014年12月2日
189238122,289101532,吃多要食消食片,网易日推给我一种错觉，就是其实世界上大部分的歌都合我胃口…,6849,2016年7月27日
27201633,60928606,莫失莫忘poi,大家跟着我念Oh oh oh oh oh ey ey ey ey ey oh oh oh oh woah，你会发现会瘦脸哦，不谢,4477,2015年7月20日
15053336,2755961,-----____________, 彻底的 开口跪 .....,2060,2015年4月13日
