126980673,97658732,youyuwanan,他说求婚的时候要唱这首歌给我，结果他还没学会我就嫁给他了,13.4万,2016年3月7日
126437799,33623316,superfluous,一直暗恋的男生那天放了这个歌，让后特别认真的问我知道歌名吗，我就说啦，他回了一句too。让后我就只记住了他的回答和他的笑容,91345,2016年3月5日
123983690,92733037,clarence_lee,我向女神推荐这首歌，女神说了声好听，然后就推荐给她男朋友了…,46010,2016年2月27日
129328984,126430795,-ROOPRETELCHAM,从高三刚解放的大一过得浑浑噩噩，刷B站，逛微博，翻墙上推特，去N站刷再生，无论上下课，最终成绩也不忍直视。大二了戒了微博，减少了不必要的花在社交网络的时间，我能做的只是做好每天的自己，一步一步向十年后梦想中的那个我走来。,26090,2016年3月14日
14021556,883329,帐号已注销,开头我还以为在玩CSGO躲猫猫呢。,25548,2015年4月1日
10953861,39239344,MuIcing,前几年，从他演唱会出来一路就哼的这首歌，晃晃悠悠的呼出的都是11月的白气。觉得自己很小众好高冷，现在，好像大家都听过这首歌的感觉。有点恍惚的奇怪~,19384,2015年2月17日
126302428,122816597,陈末沉默沉没,(，，•́ . •̀，，)那次听到一个男生弹着吉他唱这首歌送给他女盆友…旁边还有他的基友拍着鼓…尼玛心都快化了,17637,2016年3月5日
126620675,114513275,我了个去why,你说，给女神推荐这首歌，你就能和她在一起，然后，我给女神推荐这首歌，然后女神就推荐给她男朋友了,14613,2016年3月6日
126780863,68164070,酥皮烦下雨-,高中上课时偷偷听这首歌，然后看到了窗外沾着阳光的梧桐叶,13074,2016年3月6日
127554218,86621942,回忆哆啦没有A梦,下雨天☔，网易云音乐和被窝最配,9778,2016年3月9日
391247338,492117083,简言yixi,这个世界有什么是不能过期的呢 秋刀鱼会过期 黄桃罐头会过期 纸杯会过期 连保鲜膜也会过期 但至少它们都曾真实的美好生活过 分开的时候记得轻声说一声 很高兴遇见你 在你我都鲜活的年纪,9053,2017年5月24日
138872131,66498418,Jeremy4Young,火车上邻座的女孩儿靠在我肩上睡着了，像只小猫一样蜷成一团，任长发铺在我的肩上。很奇妙的感觉，我静静坐着，一动不动，感受着这一切。谢谢你，让我假装有了两个小时的女朋友。,5557,2016年4月7日
601491047,509299014,Purposetour1706,初三上半学期因和老师顶嘴打老师而被开除，那时候老师说我，我以后的前途没有了，但我觉得，并不是只有学习一条路可以走，所以，去了技校，三年在本地两年在外地，今天军训，希望老铁们给我个面子，我想在五年后回来再看看评论有没有沉，有谁给我了力量，谢谢你，陌生人❤️,4393,2017年10月31日
8922804,29330164,臆丿,五月听ours翻饮品主题杂志看到wsingdancesteal封面 介绍说他是酒吧驻唱 这首排名第一的歌在近郊一边看夕阳脸越来越红一边听 感觉在没有你的时候 我可以好好爱自己 这是我喜欢妳唯一方式,4034,2015年1月17日
1343907154,494556662,面码酱的Mr安,这有什么，离了重结,3823,2019年1月1日
