7033551,9041338,漉吃花CHiHUA,为什么他的歌都这么的 好 听!,9667,2014年12月13日
6414462,38689827,还是呆猫,高中时一个大雨天，好不容易挤上公交车，车突然响起了这首歌，整个车厢瞬间安静。静静地停完这首歌。,7070,2014年11月28日
8837113,31313955,中峰,每当听到好歌，就习惯性的点开评论看看，因为这里有你我他的能引起共鸣的故事，回忆是抹不去的，沉寂在心底，偶尔让我们有些感叹。。。,4900,2015年1月16日
7709436,44090485,帐号已注销,周传雄的歌给我一种伤感又微甜的味道……,4768,2014年12月27日
7231305,8737092,来杯焦糖玛奇朵少冰加豆奶,转眼已经大三了,4021,2014年12月17日
133102423,69589616,一隻小白羊,周传雄是被严重低估埋没的全能型音乐唱作人…每一首歌好有味道，现在诚心做音乐的音乐人不多了，请记住情歌教父-周传雄！值得收藏…对我来说他的歌都是金曲…,3998,2016年3月23日
155460606,83075904,弗拉基米尔-伊利奇-乌里扬诺夫,初中时候学校喇叭放了这首歌，同桌当时就天天哼着这首歌但是只有放学的时候才能听到，于是她就每天放学之后在教室里面看着缓缓落幕的夕阳听着歌脸上洋溢着开心的笑容，直到后来我攒了好久的钱拖我在广州工地干活的表哥买了一个二手随身听我记得她感动的都要哭出来，后来她的婚礼，我坐在边缘听着这首歌,2933,2016年5月16日
5073378,10594431,__Speaker,多年前的早晨在昌平街道的一家花店听到这熟悉的节奏，内心的激动现在还能感受到,1724,2014年10月22日
11111669,49787028,瘾_子,我偶尔放了这首歌，我上铺突然爱上了，签名昵称空间都是这首歌的歌词,1435,2015年2月20日
7293949,29353800,wanggiya-ilha,会想起初一的夏天。阳光般灿烂的少年。温暖的风。腼腆羞涩的自己。满眼的绿。遇见你，阳光盛开的夏季。终于你有了她。少年不再。,1208,2014年12月18日
23303069,62902486,鱼线柿子菌,收拾东西时 翻到一份mp3歌单 纸都泛黄了~ 那还是读初中时 找同学帮忙下载的 挨个搜来听一下 真心酸 转眼大学都毕业了 ————每首下面留个言，致那年的自己,1167,2015年6月23日
6657260,30177742,星天夜,听这首歌，突然想隔帘听雪~你的城开始飘雪，我的城烟雨霏霏。待眼睛里都装满苍茫，可以给我一场雪的浪漫吗~,858,2014年12月3日
653251043,101763770,月见草-Mtrla,有人说当你一个人熬过了所有的苦，也就没那么想和谁在一起了，或许是这样吧，没有人渴望孤独，也没有人愿意明明孤独的像条狗却说一个人真好,653,2017年12月27日
614217698,34598789,隔岸的风景,大学室友，大一军训的时候，唱的这首蓝色土耳其，当时他的开场词是：“大家好，我是22方队的jxf.给大家带来一首蓝色土耳其。这个桥段被我们调侃了四年，导致他四年来都会回避去唱这首歌，直到大四毕业前的前一夜，他又唱了这首，和四年前一样熟悉的声音，一个在开始，一个在结束。,645,2017年11月14日
562382687,452796955,多鱼的余啊,你在《黄昏》时分打开《记事本》在《关不上的窗》前嘘叹《寂寞沙洲冷》，某个瞬间《我的心太乱》你避免不了，但你祈祷在遥远《蓝色土耳其》流淌着一片属于你的《男人海洋》你说《弱水三千》你只取一瓢，于是《微凉的记忆》里你默守着《冬天的秘密》你总说……,381,2017年9月20日
1610641785,504085563,此昵称尚未被注消,好听好听好听,28,2019年8月26日
1610599278,258391774,莫斯科的天空,我家的🐕,14,2019年8月26日
1610530637,1697883876,花小痴1,冯提莫是谁？,10,2019年8月26日
1610474670,497185641,卡哇伊丶初,初中时候的恋爱都是很执着的,6,2019年8月26日
1610452981,436542956,妈妈说名字太长了有傻子会跟着念,看他的歌单好像很多都没有版权了，可能这也是一个原因吧,2,2019年8月26日
1610402215,1293573391,君君的马,没有伴奏的旋律陪我独行 部分的爱情记忆已失去,5,2019年8月26日
1610390414,80632042,大基本功先生,黄昏中的青花盛开，没法忘记土耳其、柬埔寨沿途的风景。我难过的是我心太乱、末班车迟迟不来、弱水三千没有我的份、孤单大街上的我形单影只、灵魂无处安放、心门如同关不上的窗，寂寞沙洲我该思念谁。20190826,14,2019年8月26日
1610351525,488205622,Sunyu9786,再听这首歌已经是多年以后的今天了，人生短暂，愿你们活的精彩，,8,2019年8月26日
1610318166,1929582306,晚安没有后文_,妙极了,0,2019年8月26日
1610217973,1767858309,HUI----------,大一元旦晚会时她唱了这首歌，后来的夏天我们在一起，又分开。她不知道我的游戏昵称叫阳光盛开夏季，她也不知道我背后里跟朋友提了多少遍她。游戏名字改了，也不玩了，但这首歌却一直没忘记过…一切安好,5,2019年8月26日
