8688685,32891665,蜉朽,买了两瓶酱油回家路上听这歌 就好像自己拎了俩手榴弹去拯救地球…,21945,2015年1月13日
31556793,34775890,Chrolli,为了你动摇了信仰 为了你背叛了天堂 为了你留在了炼狱 为了你用光了神力 即使羽翼不再丰满 我还能拿起霰弹枪 即使世界与你为敌 我也愿意站在背后 守护你的执着与坚毅 只因我是Castiel 而你，是Dean,12061,2015年8月18日
44650465,47443753,会潜水的喷火龙,很多人和我一样，在B站认识很多很多很好听的歌，恕我斗胆一句，同时是网易云的用户和B站的绅士的，肯定不是坏人。,5809,2015年11月3日
22515086,59497949,小鸽子的咕咕粉,很喜欢卡酱，从剧过来的表示很感谢有人剪了，从而让我知道了这么棒的乐队。并无意冒犯所谓的原音乐党。我相信大家只想表达对这首歌的喜爱之情罢了。别开战火。好好听歌,3515,2015年6月17日
15060136,2755961,-----____________, 大气 不失 节奏，摇滚 不失 旋律， 封面+1， 非常别致。 ,2898,2015年4月13日
29234997,35907757,Chris丿P,这首歌超级适合SPN里面失去力量的cass啊，简直是量身定做 ，然后baby指的是Dean( ¯﹃¯ ),2893,2015年8月2日
156249814,46605971,7urn,angle with a shotgun人家翻译的是身负双翼，全副武装，而我这水平翻译出来就是天使装备了把霰弹枪😂😂😂,2847,2016年5月18日
279673149,393265062,拾光的我,一直没找到 是b站的一个视频的bgm,2770,2017年1月4日
21911782,3633256,帐号已注销,中考这两天一直在循环这首歌....Cass与我同在,2192,2015年6月13日
22524012,59497949,小鸽子的咕咕粉,人形卡酱天使心。,1452,2015年6月17日
26169130,50026989,LongDu-,Shoot肖根一生推。,1419,2015年7月13日
46268293,72560062,渡鸦123456789,听见了耶路撒冷传来的遥远钟声，教徒的礼拜声厚重刺耳，远方城墙上的炊烟燃起，白袍刺客走向山坡，看着十字军红衣遍野，千军万马冲锋踏起黄沙飞扬。袖箭探出了獠牙,1299,2015年11月12日
29378633,59155416,IceRanda,Cass角色歌无误☆根本听不腻！！,941,2015年8月3日
15794914,60351182,-Sazanami-,cas角色歌！！！,531,2015年4月20日
279283507,388189048,burningwreckage,我真不知道怎么说了，气势有了，编曲又超级耐听，唱功无敌高低音转换随性，歌词又不失内涵。,384,2017年1月3日
279673149,393265062,拾光的我,一直没找到 是b站的一个视频的bgm,2770,2017年1月4日
279554795,130758202,Maziel,嗯，为了家族事业,423,2017年1月4日
279510043,19806709,凌云窟中火麒麟,吸血鬼那谁和丁丁才是真正的一对…,242,2017年1月3日
279419562,308007930,清水-茶斋,12首歌，只可以听这一首也是醉了,234,2017年1月3日
279283507,388189048,burningwreckage,我真不知道怎么说了，气势有了，编曲又超级耐听，唱功无敌高低音转换随性，歌词又不失内涵。,384,2017年1月3日
279256051,52574971,唱个摇滚去采访,哎，同感，想说的都说了，可惜没有战斗权利了已经。。对啦听英文歌的话大家互粉吧,184,2017年1月3日
279248682,137513279,贝伦希德Brunhild,真是个实诚的好孩子，送你一个小萝莉好不好呀？,113,2017年1月3日
279222353,132558328,木卿世界第一帅,∠( ᐛ 」∠)＿明明我那么实诚,70,2017年1月3日
279175387,137513279,贝伦希德Brunhild,这样骗云友真的好么？？？😂😂,66,2017年1月3日
279160242,279556736,Dubbit,有境界,86,2017年1月3日
279012357,311730669,抛瓦树下你和我,谢谢,48,2017年1月3日
278972502,132558328,木卿世界第一帅,是的,50,2017年1月3日
278982161,353869052,Y游戏X,B站过来的。。。,113,2017年1月3日
278951112,314479579,满天散落千本樱,萝莉耶，萝莉耶,67,2017年1月3日
278826736,111773280,帐号已注销,战斗,34,2017年1月3日
278814075,372283084,吾滴个龟龟,炫迈不是口香糖吗？,55,2017年1月2日
278739866,372283084,吾滴个龟龟,喜欢前奏,35,2017年1月2日
278703896,343752814,l五河梨斗l,听着歌，我知道我拯救不了世界 世界也不是我能拯救 但我深信我拯救的了我自己和那些处于困境的人 愿天使祝福他们,64,2017年1月2日
278543816,18985048,敦了兔,突然发现这首歌挺适合我的，来自某玩路霸玩多了想玩天使的守望先锋玩家,106,2017年1月2日
278607221,274506921,片熱,自我翻译 天使与一只雪糕 ,43,2017年1月2日
