5934936,7040746,symphony9,封面的ps痕迹一点也不明显,18.1万,2014年11月18日
158531876,118535300,抖腿仙王,说网易是好公司的人一定没玩过网易游戏,69083,2016年5月23日
68041622,56303068,门外只我一个,觉得下一秒开口是小冤家，你干嘛，像个傻瓜。,62796,2016年2月5日
208897393,78031804,老刀疤子,嗯，你要好好读书，努力赚钱，将来这个女孩结婚的时候，你才可以多出点份子钱。,54815,2016年9月2日
124648761,131018558,阿土喜欢花花,高三喜欢一个女孩，她的笑容就像double rainbow，久久难以忘怀。喜欢用手把她的秀发拽下一根，看她气急败坏的样子，我乐不可乎，似乎这样才是我家女人该有的样子。她喜欢在走廊读书，每天我都提前在走廊读书，等待我的灰姑娘登场，看着她认真可爱地读书，冬日的暖阳洒在她身上，美哉！,31714,2016年2月29日
5989974,42180229,你笑了那么久,那你可能疯了好一阵子了,28779,2014年11月19日
149878812,53583601,ChemistryInBrain,还有四分钟就要步入成年人的行列了…就选这首歌陪我走完这段时间吧,24281,2016年5月4日
251104114,119879605,黄大富贵,再遇到她已经是高考以后，望着她身上的素衣与背后的青灯古佛，悠悠的禅香萦绕她左右，她喜欢在佛堂诵经，每天我都提前在殿内礼佛，等待我的小师太出现，看着她认真可爱地诵经，我不禁想到：当初要是没拽光她头发该多好！,20502,2016年11月21日
162892337,132503686,继续逃亡2,鼓起勇气去给女神表白，她说她有喜欢的人了，心里一种感觉涌出来，我想变得更好，不是去追某人，而是让她们来追我——一个高三的差生，刚刚知道了我的第三次模拟测试分数排到了班上第一,19134,2016年5月31日
5702863,41244421,有一颗雷钻,我的闹铃怪不得好熟悉,7694,2014年11月12日
1333036892,432310671,0-0云胡不喜,封面是真随意，歌是真好听,5709,2018年12月21日
5696161,42020391,阿叨叨,真的 敢不敢来一首不是我以前喜欢并且背过歌词的歌啊hhhhhhh 觉得这首的旋律上口也很轻快ww,4853,2014年11月12日
129111634,1059692,eseedo,每次听到这首歌，我都会想到乔布斯时代的苹果，一个时代已经彻底过去了。2008年，帮主从一个大大的信封中掏出macbook air，瞬间惊艳全场。如今，再也体会不到这种惊喜了，没有任何一家科技公司再带给我类似的感受，包括现在的苹果。,4613,2016年3月13日
1335243100,1610816008,执淙,特意回去看了封面。。。哈哈哈,4185,2018年12月23日
1334147926,523312,邕城阿宁,说网易不是好公司的绝对没玩过其他厂商的游戏,3563,2018年12月22日
