25984485,55463147,北辰雨霖铃,当时她脸瞬间就红了，特别特别红，全班同学都在起哄：“在一起，在一起！”她就回头对他们说：“哎呀！你们干嘛呐？！”她特别害羞，我说：“你要是不回答我我就当你默认了啊？”她还是娇羞着，接过了我的玫瑰，我特别兴奋！就这样成功了！哈哈哈，7月11日，真的是我一生中最幸福的日子啦！,12.8万,2015年7月11日
5528690,37877727,天天天盟,这首是陶喆作的曲，应该算老外翻唱我们的,60871,2014年11月6日
5744802,35076940,liangjiabao2222,每当我们听到英文歌和中文歌一样的时候，我们第一感觉就是中文翻唱的英文。。,35999,2014年11月13日
10622150,52111261,急往迟返,《东邪西毒》里有段台词：“以前我认为那句话很重要，因为我相信有些事说出来就是一生一世。现在想想，说不说也没有什么区别。有些事情是会变的，我一直以为自己赢了，直到有一天我看着镜子才知道我输了。在我最美好的时间里，我最喜欢的人不在我身边，如果能重新开始该有多好。”,34567,2015年2月12日
10438518,33657208,花之篝火,世界上只有两个播放器 网易云音乐和其它,33383,2015年2月10日
149436043,249688227,10倍的可乐,谈恋爱已经3年了，和女票也算是青梅竹马吧，以前她都是大大咧咧的，像个假小子，不过在我引导下慢慢穿裙子，化淡妆，超级美的，哈哈哈哈哈！钰宝，要是你能看到这条评论，我就娶你好不好，看不到也没事，因为我还是会娶你的😘,21294,2016年5月3日
20662962,51158123,用户51158123,公交车上来两个初中生，他们聊天声音很轻，之间的距离也保持在刚好不会碰到彼此。男孩一直害羞低着头不看旁边的女生，女孩一直笑笑的听男生说话，他们一直偷偷瞟着对方。我突然心里柔软得想要笑着落泪，那样青涩又美好的时光，就像小时候偷喝了蜜糖，踩在云端，甜在心里，却再也回不来,20699,2015年6月3日
20430906,44976008,BokMan,千万不要在三种情况下听网易云音乐：睡觉、看书、洗衣服,15974,2015年6月2日
5623520,939143,Redk,没人觉得封面像贝克汉姆么,9882,2014年11月9日
5664912,42008373,Yeah-Sir,2009年末，Stewart Mac通过金牌大风在中港台三地发行专辑《I Love You 我爱你》。其中首波主打曲I Love You是翻唱金牌大风旗下R&B天王陶喆的《爱很简单》。~~但是我还是喜欢英文版~~,9549,2014年11月11日
36807877,79734888,栾云竹,看评论多了就会发现这样一个规律，凡是华语歌手翻唱外文歌曲的首先迎来的是抄袭无耻的谩骂，然后再被讨论如何毁掉了一首经典曲目。外国歌手翻唱华语歌手作品时大多数人又会说，哎呦我还是认为翻唱的比原唱有味噢。我最后总结了下，好歌都是外国人写的，即使是中国人写的也应该是让外国人唱的。,8439,2015年9月19日
5947467,880557,丨一米阳光丨,陶喆，看看两专辑时间就知道了,6126,2014年11月18日
130119499,51424810,迈克尔_唐僧,五岁的时候，你可以为捕捉一只蝴蝶，而跑到一公里外的田野；十岁的时候，你可以为一个冰淇凌，跑遍大街小巷的商店；十七岁的时候，你可以为喜欢的人，一个人去陌生的城市；二十七岁的时候，你可以只为了生活，而随便就找个人，过一辈子。你说，你越来越懒了，懒得去爱啦,5151,2016年3月16日
557501513,302612657,一只卡皮丘,那个，那个谁，我喜欢你啊！,877,2017年9月15日
435034731,253068263,Sagapo_Y,“我觉得Stewart Mac的一首歌很好听。” “什么歌？” “I Love You。”,700,2017年6月10日
557501513,302612657,一只卡皮丘,那个，那个谁，我喜欢你啊！,877,2017年9月15日
557470339,370789839,Pluto-620,陕西的么,214,2017年9月15日
557464482,581834908,冰岛笑靥,爱情有好多表达形式 最动人的表达好像还是那句不加任何修饰的 我爱你,170,2017年9月15日
557463211,408297206,yzdddd,爱很简单于1993年由陶喆创作，创作时的Demo是英文词，创作之初陶喆并不是要留给自己唱，但丢给很多歌手都不要，最后陶喆1997年正式发表在自己第一张专辑，2003年在自己的乐之路精选集中再次出版。爱很简单先后被张学友，梁静茹等多位艺人翻唱，后来它的英文版本i love you才又被王若琳和老外拿来翻唱,315,2017年9月15日
557462074,476418592,精致的猪猪女孩_猪,昨天军训完，今天分班进行自我介绍：大家好，我叫赛德尼玛•屈黑,208,2017年9月15日
557459086,589025106,你走吧我不回头,我爱你 只是你不知道,90,2017年9月15日
557430481,514526831,啧啧啧真香,真羡慕你们这些有故事的人啊,100,2017年9月15日
557395667,263844728,纯黑丶墨水,2年过去了，你们还在一起吗？,160,2017年9月15日
557371958,370690994,你的世界人海茫茫,为什么,42,2017年9月15日
557370421,470431163,众珄,愿天下有情人终成姐妹,73,2017年9月15日
557367212,310413588,优雅的叶子灬,到底是谁改编谁的，有知道的不,31,2017年9月15日
557367019,341788476,南唐楚白,评论里不是甜蜜恋爱进行时就是心酸恋爱过去时，我这种单身狗被私人电台日推都不知道该说什么…,44,2017年9月15日
557353597,69885967,-清哥哥520,+1祝福,20,2017年9月15日
557349716,288256861,Hateuum,i love you,37,2017年9月15日
557348418,539126914,帐号已注销,你要一辈子幸福哦，加油呀！你说我不好太烂又穷...嗯...多好的女孩子...可我没能给你好多东西...所以...你幸福就好,59,2017年9月15日
557344471,539126914,帐号已注销,我爱你..你爱上别人，你说他可以给你穿上婚纱.可以一辈子..没事..我祝福你。最后一句我爱你,76,2017年9月15日
557352190,539126914,帐号已注销,满满的眼泪,35,2017年9月15日
557350299,539126914,帐号已注销,五个月前为了她这首歌，那时候呀，我们天天打电话到凌晨...直到你爱上了别人,36,2017年9月15日
557339604,539126914,帐号已注销,五个月前，我给她这首歌..那时候呀🇧🇷🇧🇷,34,2017年9月15日
557336434,491230892,淅淅沥沥的溜溜,唉╯﹏╰沧桑,3,2017年9月15日
