11004320,44237680,林扣星,封面给我一种纪念碑谷的感觉,24.6万,2015年2月18日
60447302,69873781,yyyyyyyyc-,记得有次在火车上听这首歌，刚听到“this is my kingdom come”这句的时候火车缓缓开动了，当时真觉得我要乘坐这趟列车征服天下,18.4万,2016年1月9日
5830519,127643,颜强,人人心中都充满着demons，是热情，也是愤怒，能创造，也可能毁灭,85771,2014年11月15日
136282484,130095388,Shalltear--bloodfallen,天上梦龙，地上共和，Coldplay用宇宙表白，falloutboy坦克开翻,67687,2016年3月31日
140761556,56225548,qinchuanares-ares,这首歌是写给一个叫Tyler Robinson的小朋友，他16岁的时候被诊断有横纹肌肉瘤，在18岁时去世。我觉得这首歌词很好地展现出了癌症患者心中的挣扎，要把身体里的魔鬼抑制在内心最深处，要展现给这个世界积极的笑容，不论在何时何地。,63330,2016年4月12日
5263242,9144067,回笼觉教主,泯灭了人爱的天性，必然导致兽性的泛滥。,45420,2014年10月28日
596600770,411257074,奏Tachibana,小时候总觉得箱子里锁着的是怪兽，心里面住的超人；后来才知道，原来人心里住着的才是怪兽，锁在箱子里的，才是超人。,37630,2017年10月26日
14867493,55097497,龙蟠,绝望缠绕着身体，恶魔寄居我的灵魂，欢迎来到欲望国度，小心进入这双眼，我是多么的爱你，捏住囚禁于心，不再让你离开。,32617,2015年4月11日
1115732890,132834186,梦开始的那个地方,有一个6岁小男孩，他得了白血病。他特别爱篮球，特别是爵士队。在球队知道了这件事后，他们与小男孩签了一个一天的短合同，让这个小男孩打了一次爵士队的队内赛，成为了爵士队的一名球员。球员们配合的被他过掉，最后队友举起他让他扣了篮，得到了两分。这就是我喜欢NBA的原因。That’s why we play！,26978,2018年5月13日
5337619,19610217,rCaTy,这鼓声听着像破音,17085,2014年10月31日
619865936,420408232,狗年摸狗头凡事不用愁,不怕恶魔吃人就怕你先沦陷。,12249,2017年11月20日
1429516898,262629975,永远17岁-,刚刚听了monster，然后打开每日推荐看见了这首歌！！！monster里面有条评论，是一个男生幻想他唱demons后，有个女生能唱monster给他,11092,2019年3月24日
1085961764,302265845,听-这季忧伤,前天，是2018年4月13日，美国联合英国跟法国对叙利亚实施了精确打击，同样是以当年伊拉克战争的理由，炮弹照亮叙利亚的天空，为这个千疮百孔的国家和人民带来无尽的伤痛，他们却义正言辞，愿历史会记住这一切，愿那些无辜的生命终都能被善待！,9718,2018年4月15日
1451520671,624272870,抢救无效__,李咏抗癌17个月，得癌的时间可能更久，这个过程一丝风声没有走漏，之前在美国被拍到，还被骂捞够就走，现在知道了，不卖惨不叫苦不解释不搞重病消费，悄悄抗争，慢慢退去，渐渐被遗忘，一句话也没有，再来竟是去世，都不允许留给世界 最后的姿态 是挣扎，这挺酷的，也挺让人难受的。真的意外了。,9494,2019年4月14日
1221110119,132386043,WALKER_44182,火车上不是严禁易燃易爆品吗，你怎么能把梦龙这么易燃的东西带上去呢,9480,2018年8月19日
