25391145,60200344,我是小宝不是女汉子,你的爱 像是备胎弄的咖啡 ,14.3万,2015年7月7日
163475863,995093,小An,“Dear John”成为一个大众词汇是在第二次世界大战的时候。男人们应征入伍，留下了他们的妻子或女朋友。由于常年在外征战，他们的情人纷纷移情别恋，另寻他人。这样的绝交信往往以“Dear John”来称呼绝交对象。信的开头一般也是固定的：“我已经找到了我的另一半，但不是你。”,73110,2016年6月2日
24351070,55037952,雪是冰的泪_ukjj,眼泪是真的，心酸是真的，想和你在一起一辈子也是真的。愿孤单的人不必逞强，愿逞强的身边永远有个肩膀，愿肩膀可以接住你的欢喜哀伤，愿有情人永生执手相望。愿你爱的人，最后都能成为你的爱人。,45379,2015年6月30日
251871479,333006902,东方第一帅d,比莉，1952年1月27日出生于中国台湾。1975年，她在美国巡演4年，是华语歌手在美国开巡回演唱会第一人。1991年，迈克·杰克逊到台湾举行个人演唱会，邀请她当嘉宾！别问我怎么知道的 度娘！送我上去 看看多少人听过她的歌！,34781,2016年11月23日
11474611,40180498,胡剑飞JeffreyHu,网易一定要和Songtaste合作，Songtaste上面好歌太多了,20094,2015年2月26日
203881131,115018853,一盏桃花酒,年纪越大越会明白，少年时曾说过的话，不管多么情真意切，最后也终流于天真，但是有什么关系呢，那不代表它们就是谎言。我是真心希望，如你所言，在我之后，你再没有不能失去的东西。而我再爱上的人，也无一人像你一分。只愿你平安喜乐，愿我们今生，天涯永不再相见。,15927,2016年8月23日
21563026,35384675,盧_春蕾,你的爱会将我灌醉 太过清醒怎么陶醉,13974,2015年6月10日
9011097,17253708,帐号已注销,难以置信，网易上有好多songtaste上特推的歌曲！大爱谢谢网易！这些歌曲资源太少了！,11429,2015年1月19日
224305407,279871224,Faelllll,实则大多数人像你这样活着，成功与岁数无关，有人四十岁成功有人五十岁成功还有人七十岁才成功，他们成功的前提是三十岁时没有放弃。加油,10285,2016年10月4日
41383871,76400353,Jeven1994,眼泪是真的，心酸是真的，想和你在一起一辈子也是真的。愿孤单的人不必逞强，愿逞强的身边永远有个肩膀，愿肩膀可以接住你的欢喜哀伤，愿有情人永生执手相望。愿你爱的人，最后都能成为你的爱人。,9063,2015年10月18日
617095235,546525575,也把风醉_,2017年11月17日22点04分，22岁的我一个人坐在电脑前听着网易云，拿着不到1000的工资，没有房没有车，更不敢去喜欢一个人，看不到希望，背负了很多，但是我还是对生活充满希望！加油！每一个人,6348,2017年11月17日
464967895,123581487,鱼呃,是一个男孩子最爱听的歌 那天下午，烈日炎炎，我们在亲吻缠绵后，你坐在窗户边靠着椅子放着这首歌，两个人抽着烟听着歌，那一刻我听到心里的声音是永远。明天就要离开西安了，昨晚做梦梦见你就坐在我们宿舍楼下的小亭子，我问你那句想你是不是在说我 你说别走。“你的爱将我灌醉，我没有所谓”lyf,5456,2017年7月8日
1352016935,86019271,宁静的夏天i天空中繁星点点,爱的区别在于，你给妈妈发信息，她没回，你觉得没什么，因为你确定她爱你。你给对象发信息，她没回，你会心慌，因为你不确定TA爱你,5239,2019年1月9日
