6261372,11239818,偶尔鬼话连篇,2K史上最佳配乐之一,10.4万,2014年11月25日
142823515,44157079,李非洲,明晚凌晨4点，老科按下闹钟来到车库里的球场，发现自己已经退役了，不用再打任何一场比赛。于是回到床上，却发现自己怎么也睡不着了。前夜的仪式太过盛大，他忙着微笑鼓励所有人。夜深人静，他可以认真擦眼泪了。。。,95992,2016年4月17日
139573467,75415595,看论文看到头掉,叙狙击手一把SVD守城，杀敌220人后牺牲。Kobane城保卫战，只身一人，一把SVD狙击枪，坚守一座城一年时间，击毙IS武装分子220人，在去年四月的战斗中就义。这个站在世界反恐最前线的库尔德男人叫Musa，以为是前几天的事情，一查才发现英雄已去一载。,65133,2016年4月9日
34431272,43273586,獨眼金木,今天反法西斯70周年，多亏了那些老兵，学生党各种职业的工作党才可以放假。之所以这次这么隆重的阅兵，是因为下一个十年不一定可以再见到那些曾经为新中国而献身的老兵们了………感谢老兵……,27530,2015年9月3日
50315676,97122206,帐号已注销,就算再有一个科比，我也没了青春去追寻,21164,2015年11月30日
5922078,32952220,旧梦里的橘子汽水,经典的2k10,20353,2014年11月17日
630030629,293726698,一块老起司,上海 一个人 16岁 ，中考失利上了中专， 但是我不想再这么平庸下去， 我要去做我想做的事， 我想打好球， 目标是能在全中国的街球领域留下影响力 管那些人怎么说呢， 也不顾家里人反对了 ，我要打好篮球! 打出名堂! 成长需要时间 经历痛处 这绝非易事 每个人亦是如此❤,13367,2017年12月2日
6033629,32399294,江河故人,前奏一起 立马红心转身 i want you！！！,10490,2014年11月19日
50356849,19111509,YuciFer,十一月最后一天，你宣布退役了，看着你依然能投出关键的三分。美好的日子说没就没了，还有66场，66次的回眸。从此NBA再无美如画。,8145,2015年11月30日
640158566,47118167,癫爱,这首歌的本意是愿世界和平。今天正好也是国家公祭日，动乱残破的年代，那些不该逝去的冤魂，祭奠，愿世界没有战争。,7444,2017年12月13日
10389398,18469911,光芒与希望,@云音乐小秘书 翻译一下，多么正能量的歌。,4460,2015年2月9日
127721625,33311583,Windows98呀,第一次听是因为一个公益广告。每一件小事都蕴藏着巨大的能量，有时候我连向陌生人主动微笑的勇气都没有，但内心是及其渴望我们有个互动的眼神，而不是冷漠的对视。 i m waiting for， praying for， for the people to say,4214,2016年3月9日
1351696213,388930650,尼古拉斯丶赵四哥,如果不是媒体，is会去围剿他吗，一个狙击手生前决不能被敌人知道位置,3975,2019年1月9日
1352075004,1310773104,ouky1712,看成 库里的球场,3909,2019年1月9日
