7703562,41976294,被上帝咬过的苹果,香港没有乐坛，只有娱乐圈。——黄家驹,9063,2014年12月27日
16211329,2621461,S_____wf,知道周杰伦有多牛逼了吧？,7131,2015年4月24日
4836713,14206712,boilingCappuccinoooooooo,伤心太平洋的原版 终于明白什么叫做“一个中岛美雪养活了整整一代港台音乐圈了” 通往幸福的路，一条是实现所有的愿望，一条是舍弃所有的愿望比翻唱有深意,4111,2014年10月11日
6219209,30900982,紫烟聆雨,我都不懂你们说的可耻是什么意思，伤心太平洋中本来就写了作曲中岛美雪，你们自己不看怪歌手没告诉你们，什么逻辑这是，本来就像写论文引用要写明白出处是一样的，有什么可喷的,2787,2014年11月24日
19741003,59248557,Saber_fans,中岛美雪是一个值得尊敬的音乐人，不要因为国籍而反对一个人的贡献，她确实创作了很多很好的旋律,2319,2015年5月27日
9524973,37507970,无奈我心要变难辨,我爱日本,1561,2015年1月27日
41907642,36546707,徐勐衎,同意黄家驹的说法——鲁迅,1445,2015年10月21日
41175430,33459414,极品家丁111,国人擅填词？那个伤心太平洋写的什么玩意，通篇下来跟太平洋啥关系？简直不知所云…,944,2015年10月16日
6573542,3666114,人间好时节,中文翻译：是梦的话请醒来吧，啊，何时才能醒来 即使你说不去做梦的话该多好 但是在醒来之前的那阵子 看到的一切我都想将它们称之为幸福 你所在的城市就在窗的对面 就像星星一样的遥远 到达幸福的路有两 一条就是愿望完美实现 到达幸福的路有两条 另一条是把所谓的愿望给抛舍掉,915,2014年12月2日
4684462,2438749,利物浦歌迷,港台果然受日本影响很深啊,754,2014年10月4日
64225144,72657158,MississbMei,翻唱没有什么，但是问题是每当有人把当年港台歌曲奉为圭臬视为经典无可取代的时候却又对日本歌坛嗤之以鼻的时候就能够体会有一些评论的感情了，其实很多人并不知道是翻唱的,553,2016年1月23日
30040397,49232334,维吉尔VV,怪不得说周杰伦打破了华语乐坛停滞不前的局面～搞了半天周杰伦之前港台就没有什么好的原创流行音乐！！！,531,2015年8月7日
6579418,3666114,人间好时节,没办法啊没办法啊，哪条路都是奢侈啊 没办法啊没办法啊，以后怎麼办好啊 好想变得幸福啊 ！旅途中的，啊，在避雪的车站里 在想为什麼会下雪 你没有来，你没有追来 “这是理所当然的”，我微微笑了起来 只要走快几步，就不会太远 我仍然能看到这个比雪更小的梦,479,2014年12月2日
134717605,11833510,飞天无痕,中岛美雪，亚洲的音乐在日本…………,372,2016年3月27日
1338247015,1311329344,指间的飞扬啊,我没说过。——黄家驹,190,2018年12月26日
1535999576,600503204,我怎么生活的如此糟糕,每次听大师的歌都会想起我妈妈，声音差不多，我妈妈在的时候喜欢听邓丽君，她要是知道中岛大师的话，应该也会喜欢的。,17,2019年6月25日
1535878551,71376202,用大牲吉,强烈谴责！😠,2,2019年6月25日
1535658434,552735346,Causer717,通往幸福的路有两条 一条是得到你 一条是放弃你。我要选择后者了,10,2019年6月25日
1535120069,1572094289,倚楼阁听红尘,实话说周杰伦是很厉害但是总在别的歌下面这么评论是不是有点不尊敬别人而且发的太多反而让人反感。,1,2019年6月25日
1535034652,1589388038,中二病少年___,真实,1,2019年6月25日
1534930471,1881906510,君欢丶丶,黄家驹了解一下，谢谢,0,2019年6月25日
1534945030,1881906510,君欢丶丶,就是家驹讲的，所以他的歌都是原创，在中国却火不起来，他就去日本发展了,0,2019年6月25日
1534578527,600547022,剑魔灬丿,我发现中岛美雪的歌很多都能下载,5,2019年6月24日
1534379091,1306173250,浮华洛梦丶,我说的都是对的----鲁迅[西西奸笑],0,2019年6月24日
1534133044,1385292576,北外滩扬子鳄,同一个曲子和旋律配不同的词就能变成口水歌和抒情歌,4,2019年6月24日
1534040140,375607140,用户375607140,听着有一种说不出的感受，有一种淡淡的无奈，伤感！虽然听不懂,2,2019年6月24日
1534028042,1645104355,唯有热爱能抵我岁月漫长,知道为什么家驹这么牛逼了吧！,2,2019年6月24日
1533938220,1889773230,迷路的小小飞,如果没有历史，你是否会爱上那个地方！,4,2019年6月24日
1533261450,283862718,跟个花卷似的,我也爱日本省,0,2019年6月23日
1533188233,1455939820,拒绝180513,说的对！,1,2019年6月23日
1533175563,504324532,i九条,只有雪姨能诠释这首歌.,4,2019年6月23日
1533148710,104368437,清政,伤心太平洋也挺好听的，但是这个原曲感觉明显不一样，感觉很多日本的曲子都有一种淡淡的忧伤，这种忧伤可能和日本的地理位置有关系吧，一个四面都是海的国家，一种对自然的敬畏与恐惧形成了日本独有的文化风格！,4,2019年6月23日
1533006755,78015487,独钓寒江烟雨,内地崔健唐朝黑豹，魔岩三杰。,1,2019年6月23日
1532968321,78015487,独钓寒江烟雨,黄霑，胡伟立，顾嘉辉,1,2019年6月23日
1532944527,365243098,月琅_,这些人是连原唱翻唱作曲编曲都分不清的人你跟他们争是真的讲不通道理,1,2019年6月23日
