5197170,18869125,量子橙汁FG,听这个写作业比较快。。,16.6万,2014年10月27日
69632959,73324961,红豆芋圆大仙儿,那么多人想用在婚礼上，难道不觉得这曲子更适合当婚礼现场抢婚的背景音乐吗,13.9万,2016年2月11日
62344278,110201608,如果真的有那一天,能想象我搓袜子搓出节奏感的样子吗,90471,2016年1月16日
5344121,30378950,BruceTheMighty,记得以前上学的时候在多伦多queen's park地铁站每周五都会有一个卖艺的小提琴师，当时傻站着听他演奏这首曲子听到入迷，今天终于偶然找到原版了,75073,2014年10月31日
137518604,132105987,上墙的咸鱼,我葬礼要放这个也许会复活,69076,2016年4月3日
60209614,48353,网易CEO丁磊,云音乐朋友们非常喜欢的一首曲子,53183,2016年1月9日
5760293,7322825,je7vis,抄作业听这首歌，抄出了Passion,47815,2014年11月13日
5005524,28595121,安筱雨,准备婚礼用它作为舞会伴奏，点燃下半场,37055,2014年10月19日
178522956,270819781,LPL可以三连冠的,朋友以前是网管，一天有几个混混来网吧找麻烦，朋友灵机一动把网弄断，网吧所有人瞬间站了起来，那场面那气势，瞬间把混混都吓跑了。 每次朋友说到这里都激动地想从轮椅上爬起来。,36990,2016年7月5日
5179155,33839079,迷宫焰火,我在布拉格的广场跳着轻快的舞步，闭着眼想象着明天。鸽子，微笑，河流，古堡。,30562,2014年10月26日
134421915,253942829,第三丶人称,我正在刷牙的时候，耳机响起了这首歌，然后我的手，不听使唤的的控制不住，像曲里的小提琴一样来回的越刷越快，高潮的部分简直了，我需要不停的往嘴里喝水才能保持我的牙齿湿润不被摩擦起火，等这首歌听完的时候，嘴里剩下一堆的牙刷毛，手里也只剩下一根塑料棒棒了。千万不要在刷牙的时听这首歌,25422,2016年3月26日
656918374,292109681,Hanayboa,情不自禁的脑补了一下歌词：你，不仅长得丑，你天天喜欢秀，你骚话一大堆，而且你没有女朋友。你穷，还天天肝游戏，没有点上进心，长得丑就要多读书。到过年，你走到亲戚家，工作找到了吗？考试有几分啊？看别人家小孩，你拿什么比啊，我花了多少钱，送你去补习班。,21910,2017年12月31日
4936917,26372610,北落爱吃鱼,我结婚要放这个，不对，拉这个~找谱子开始学~,18459,2014年10月16日
5139125,39730836,妖咔,有力的节奏点燃了这个金色的世界，人和花同时盛开。,13192,2014年10月24日
392030200,104902001,婉渊,听着听着浮现出一个9岁的年幼女孩在街边流浪和舞蹈；长大后她会变成曼妙性感、追求自由的吉普赛人；一生都在追逐不可述说的纯善又肮脏的安宁。眼泪和大笑，鄙视和被不耻，最终是宽容和放下。紫色激情的蹉跎，有过浓浓的璀璨，也接受暗淡无光后被遗忘。,11853,2017年5月24日
