67234357,388835,kominnheim,我听懂了一句mother fucker,12.8万,2016年2月2日
70614257,20454877,留住捉紧,开头是Baby squirrel you's a sexy motherfucker.小松鼠，你就是个性感的混蛋,56746,2016年2月14日
9736644,37861344,迷之跌倒,听到Treasure就想做个骚动作，这是病吗,31473,2015年1月30日
9761010,16026634,PeterPursuing,第一句是不是有个“motherfucker” →_→,21061,2015年1月30日
212348232,58596142,帐号已注销,歌名 《缺心眼儿》,12923,2016年9月10日
62111342,43595334,AWU_3r,火星哥就是地球人的treasure！！,8916,2016年1月15日
51390675,48926777,vInCent哇,脑海里都是里里过地铁的画面,7685,2015年12月5日
243535246,122043643,无肉不欢yz,忽然发现都没有一个可以随时艾特的人了。。。不知道自己渐渐封闭圈子是否正确。没人懂我 也不需要。,5443,2016年11月8日
1049101871,452181073,八指沐辰,今天出门看到一对中学生在街上手牵手，不禁想起了中学时代的自己。当年的我，也是在街上看着一对中学生在街上手牵手。,5381,2018年3月10日
476712116,383275024,时不知鲑i,网易是真特么神了！！昨天在健身房动感单车的教练放了这首歌，今天就给我日推了！我现在严重怀疑网易在监视着我的一举一动！！！,4046,2017年7月19日
504564389,339555557,Justinpaper,这首歌是我搜婚礼专用曲来得 开口第一句真的适合吗,2749,2017年8月10日
241311957,132638094,长河故人,听个网易云像逛淘宝似的，还得看评论,2521,2016年11月5日
1352149829,1369350081,GGGloomy_Star,你以为我们多少人听得懂其他的,2081,2019年1月9日
620440066,376882230,ydrnars,给米油给米油给米油，谈顺贝贝。 啊嘎她 油问楼 商楼 八桥烧。 幺儿玩的否，法里斯，忽悠 赛斯泪滴。 巴球旺口旺 黑拉 娃辣逼 桑木昂丝 。哦喔喔喔 阿罗内九龙，楼位 霸气 反手饭（反手饭）哦喔喔喔。 欧哥冷哥累，胸油位耶 卖楼卖（卖楼卖） 全杀，待民四 玩球啊……,2054,2017年11月21日
1328756477,411367271,Starry_Hyun,我的一个学姐为了纪念她与她男票在一起的日子，穿上熊本熊，给了她男票一个大的惊喜，大街上对着她男友跳舞，用的就是这歌，我是旁边拿音响的[多多捂脸],1430,2018年12月16日
