10882474,49781916,绿色穹鲸,我认为这是火星哥最美的一首歌,11.6万,2015年2月16日
28372626,66178264,wait4uuu,火星哥的歌里最喜欢的一首。给他听，然后又听他唱给别人。心碎。你为别人唱一首痴情歌，全场只有我哭。,66339,2015年7月28日
60256226,72217181,蝉鸣的夏季灬,当年高中英语老师告诉我，这歌名翻译做：月夜诉幽情。,54373,2016年1月9日
7908411,15802533,A-nnna,他的歌有毒，每次听完能哼一整天，醉了,29190,2014年12月30日
26766007,73095202,罐头G,喜欢好久了没有烂大街我很开心,22065,2015年7月17日
22930580,32276341,数不完的咩,任何东西 只要够深 都是一把刀。,20545,2015年6月20日
124699023,124411941,与U7壶,故事里的女主角得了病死了男主角无法接受，一直在逃避把自己锁在曾经他们一起住的屋子里哭泣 嘶吼 就这样一天又一天邻居都以为他疯了 突然有一天他拿着吉他当屋顶唱起了这首歌，然后带着他的歌声去找他心爱的女孩了。,18007,2016年2月29日
1341887698,308758326,小綿羊-lamb,Talking to the Moon我寄愁心与明月Try to get to You随风直到夜郎西,16934,2018年12月30日
14216626,3829931,tenwindmills,火星哥属于开口醉系列,9860,2015年4月3日
130328040,39070082,小狐狸的葡萄,第一次听到这首歌，我就想到了你，怀念和你彻夜聊天，怀念你在顶楼为我放烟火，帮我捂住耳朵，叫我专心看烟火，那晚漫天都有星星，还有很明的月亮，这个场景我会记到下辈子吧。有时，我会想，这么多美好让我独自怀念，你却永远活在了20岁，我很难过,9517,2016年3月16日
22445298,44165063,洗铁路的老阿姨,这首歌真的晚上停不下来 情绪从歌里溢出来,7677,2015年6月17日
1307748308,103951637,说不出心情的心心心,前几天是我妈祭日，也是我生日，忽然听到这首歌……没有眼泪，叹了很长一口气，听着这首歌，脑子一片空白的发呆了很久……,7563,2018年11月24日
1429305034,269058812,赵相儒,今天大学英语老师给我们上了节情感课，她说：“人不能太深情的活着，不能总是追缅过去。她说她在大学时期喜欢一个男生藏在心里整整4年，她为他哭过2次。一次是毕业的时候，各奔东西。一次是他结婚的时候，新娘是个跟她很相似的人。她说人生总是充斥着遗憾，有时候哭过了，泪干了，也就没所谓了。”,6684,2019年3月24日
58572764,44890363,DaphneMao,U are the Mars， why talking to the moon?,5276,2016年1月3日
571648619,360197863,祖安励志师,我如果撑不住了 我要活在你未来所有爱人的眼睛里 我要你不管快乐 难过 喜悦看见的都是我 就算你死 我也要你最后一眼 看见的是我,4232,2017年10月1日
