4895053,2426519,呵哈哈啊呵,洗澡必备神曲～,11.9万,2014年10月15日
5215207,9947609,奔跑的丸仔,反正人家求婚唱的歌，我都觉得特别适合在搓澡的时候放。,11.1万,2014年10月30日
6222350,42990861,畸形狂阁下,搓澡的人都在评论里找到知音了,83579,2014年11月24日
64356910,98281037,Frantina,高中的时候放学的铃声和这首特像，我就跟着唱，结果同桌(我暗恋他)的他突然跟着我一起来了句marry you，当时我就不淡定了，泥煤这是对唱啊，还marry呢，如今，我们的婚礼上放的就是这首歌，幸福也就是这样吧,62096,2016年1月23日
5735093,27414990,马晓溪,火星哥的情歌真的是。。。满满的想嫁人的心情啊,35681,2014年11月13日
24004559,70765505,zoey_wilde,全美同性婚姻法案通过😃,32224,2015年6月28日
126183299,40402976,我是小小小小晨,今天被求婚啦 啦啦啦啦啦,26107,2016年3月4日
132669617,106494093,放浪生命,看到评论 我就震惊了。。。我怎么就没想到搓澡放这首歌,18655,2016年3月22日
28959010,75803051,爱吃鬼爱吃,做我后排的男生，这首歌唱了一年，可是原谅我英语不好，当时没懂😂😂后来高考表白，可惜我早以把他当做蓝颜看，因为怕失去所以才不选择做男朋友。如今高考结束看歌词才反应是自己明白太晚😂我还一直以为他只是单纯喜欢这首歌，还让他半夜发语音唱给我听，真是罪过了。有些人错过就是错过了～～,10022,2015年7月31日
131774211,99152235,JAYou-X,听完marry me 再听marry you，打开窗户，喊几嗓子：汪汪,8296,2016年3月20日
53944369,85477024,波斯语音乐欣赏,“这个夜晚，让我们做些可爱的蠢事吧？”第一次和女朋友开房时我这么跟她说。于是，我们硬生生斗了一晚的地主。,5558,2015年12月15日
1138140372,90536950,Dirick-Relson,“我喜欢的人 身材一定要好 脸一定要可爱 皮肤一定要白 手一定要好看”可是当我第一眼看到她的时候“去TM的标准 就是她了”,4692,2018年6月4日
1475798357,515291974,权志龙de小女友,带着一群同学回家玩，老妈在厨房作饭，我挤过去贼嘻嘻的说“老妈，这些女生里有一个是你未来儿媳妇，你猜猜是哪一个啊？” 老妈头都没回说：“是那个穿白裙子的吧”“哟！妈您真神了！您怎么知道的？” .. 老妈叹了口气，“这些人里啊，我就看她不顺眼。”,2149,2019年5月3日
1372630949,1748281304,badguys-,身负50k外债 97崽的我 很感谢女朋友陪我一路走来 度过了最难熬的时光 每天四点半起床去帮爸爸拿货 得更努力的付出才对的起家人对的起女朋友 当然我不是炫耀我负债50k有多么骄傲 只是这些让我得到和明白 女朋友是多么好 自己是需要多么努力才能marry you啊 加油各位崽崽们 ,2013,2019年1月29日
48227002,56197880,石星洋,从07年初三相识，如今都已大学毕业，一路走来坎坎坷坷，吵吵闹闹，哭哭笑笑的，我也不是当年那个瘦瘦的青涩少年，不过你还是当初我上课一直偷看的女孩，元旦就要结婚了，感谢一路有你！结婚时就用这首歌了,2007,2015年11月20日
