21444483,31228219,向前走的果樽,但哪有一路走来都是顺丰的，还有圆通、中通、申通、韵达呀,17.5万,2015年6月9日
5352228,38130332,怀氧,每次一上物理和化学课 老师刚进来我们班就开始唱“又是你的面孔……”,65058,2014年10月31日
57700393,57428505,纪念_galois,我一定要上北大,59138,2015年12月30日
24035245,34357025,江城子出列,高三那年在四楼的阳台上刷牙，看着天还没亮时柏油路没有车辆的空旷，路灯断续地亮零星的学生走过。那时候没什么感慨就是觉得每一个明天都是有目的的，日子在就走下去总会有什么等待。但好像不是这样。现在很累，连续的熬夜仓皇的备考。很怀念那个五点五十清醒的自己。这首歌是那时的起床铃声。,53892,2015年6月28日
7219814,37486223,Adua-holzer,我们班的班歌，以25票压倒性胜利,35199,2014年12月17日
134427747,35340493,瑾瓈,从走艺考这条路往返在城市的路上，到现在每天熬夜刷题背书，早晨起来看着英语单词，课间依旧奋笔疾书，学校和家两点一线，陪着自己的只有每天的咖啡，做不完的文综试卷，算不完数学圆锥曲线，但也坚定的走下去“谁说我们一定要走别人的路，谁说辉煌背会没有痛苦” 距高考还有72天，嗯，加油,23690,2016年3月26日
5598692,37450161,钟南林,听完后眼都酸了，接着看书。,23233,2014年11月9日
50022382,15850329,放心好了我不是什么好人,时间好快，高三听的，妈的都大三了,20851,2015年11月29日
5478952,40874978,小小七_____,高三的时光，每次午睡起来听到的就是这首歌。总有几个人靠在栏杆上慵懒地聆听着，其中有一个就是我。,19430,2014年11月5日
34065229,9654882,心中始终有个梦未实现,考研的日子，每天独自背着书去教室看书，周而复始，孤独的背影下埋藏的是大大的梦想，不管怎么样，再苦再累，也一定要坚持下去，没有谁的成功是偶然的，每段辉煌背后都有你不为所知甚至辛酸的奋斗史。,12673,2015年9月1日
6460400,11415193,一碗凉白水,但哪有一路走来都是顺风的,10893,2014年11月29日
5837502,41085670,老子是你爷,每次一上物理老师刚进来我们班就开始唱“又是你的面孔……”,7913,2014年11月15日
5402638,39774495,小鹏1003,每个人的心中都有一个想念的面孔,7437,2014年11月2日
1325782377,556426744,GEM阿木良,“大三了，你有何打算”“准备考研”“现在多大了”“满21”“呵呵，毕业都老了”😊请问毕业26岁，你26岁的年纪人老珠黄皱纹爬满了脸吗，还是过早结婚生子26岁时心理已经中老年化？考研多么励志光明的一件事在小丑眼里显得格外低俗可笑。云村善良陌生人，祝福我考研成功。,7344,2018年12月13日
6192810,44074999,Charon_禾火,这几天帮两个朋友一起实现愿望，这种感觉真的是太赞了！这也是价值的一大体现吧，很欣慰能给为别人点一盏灯开一条路，很感激很激动，开心～,5351,2014年11月23日
