6421150,32515522,时之刻痕,世界是中文的，也是英文的，但终归是拼音的,14.9万,2014年11月28日
22716785,36667022,HeyYolie-,这是乌克兰语乌克兰同学让我帮大家纠正,93555,2015年6月19日
41831259,94914670,尙尙尙尙尙尙,你听说过凤凰传奇嘛。。,80939,2015年10月20日
66866847,127064714,kaleidoskopisch,网易云音乐真的以为我精通各国语言,65584,2016年2月1日
130277210,88047824,湖伊娜美丶,这首歌是我高中班里最文艺的女生推荐给我的。她现在定居在欧洲，跟一个诗人相爱着。,62051,2016年3月16日
128024814,109100381,八駴,男：滴沥哒哔咯拉不嘎 南希斯道 格拉布嘎告 米谁牙了 当 撒 四目古 够龙因乃馕四都人 南 蛮 南半恰氧南撒不兰求 撒 托 波 由四诺布鲁莎娃 布鲁莎外鲁比 鲁比李琦卧龙力气古南你但 石南布哈哪单李星闹有石材是腾南斯乃单 南鲁努少爷 那啥吧Mia is伴山路望舒 南子巴拉喂班斯哦苏你 雅鹿苏比啦,36140,2016年3月10日
142518427,120721548,Perseverance___,嫁给我，我是网易云音乐程序员,28432,2016年4月16日
7483745,44806328,嚼者,我不会再做忧愁的俘虏， 我不会让悲伤把我追赶， 我不会再为你哭泣。 永别了，永别了， 亲爱的，亲爱的。 逝去的永远不会回来， 你也找不到我眼中的温柔。 幸福一去不复返。 你孤单，我孤单， 亲爱的，亲爱的。 副歌： 不会两次踏入同一条河 不要哀求我。 你和我找不到幸福，,20864,2014年12月22日
6044732,34839072,雨这么大,高二时喜欢的一首歌，如今大四了。。。,14804,2014年11月20日
45969437,73000744,玩王者的女人绝不认输,男票要有网易一半懂我我也就知足了 ,12961,2015年11月10日
7288843,16038520,NS_宁,对这首歌完全没有抵抗力，虽然直到不知道都意思，也刻意不去查，但是每次听到时都觉得特别温暖，很励志的感觉，音乐无国界，明天继续加油！,9746,2014年12月18日
132235985,123611256,春的云,我ccccccccc这首歌哥找了5年 今天第一首推荐给我！！！！！,9561,2016年3月21日
5280281,378131,LHZSC,LUBOV 是 любов 爱 的 意思，确实不是这首歌的名字～ 不过好东西总会发光哈～,7065,2014年10月29日
50041473,107941967,toxiczxzx,我是俄语专业的我说我咋听了半天一句不懂吓死我了…原来是乌克兰语,6194,2015年11月29日
617429832,279868472,Juvenility丶,歌词包含辩证法的观点：人不能两次踏入同一条河流强调绝对运动同时没有否认相对静止,2639,2017年11月18日
