127074754,127669850,用户127669850,把第一句倒过来 华晨宇吹风,11.6万,2016年3月7日
144570313,104252461,帐号已注销,想起高中同学，她最喜欢小时代了，可惜电影只出了第一部后她就意外去世，再也无法看到结局……还记得她去世那天下了那年的第一场雪……大雪求你别抹去，我们在一起的痕迹……,67156,2016年4月22日
212512789,305668145,喜欢海但是更喜欢浪,还记得 最后一节语文课 老师说:“拿出一张纸默写” 全班一片撕纸声 老师说:“错一个一百遍，少一个两百遍” 全班一片抱怨声 “老师，默什么啊？” “全班同学名字” 时光不老 我们不散,45777,2016年9月10日
4539276,37476787,鹤林玉露x,原曲是日本的《风车》，河图的《寒衣调》也用过,28816,2014年9月28日
67796204,73233772,被忽悠的人,如果没有小时代的故事，如何来诠释这首歌的故事，这首歌就是小时代的缩影，真希望大家可以以客观的角度去看待事情，而不是以有色眼睛否定一切,16996,2016年2月4日
4883416,17791452,綺愿_,喜欢郁可唯版的,14874,2014年10月14日
1128979050,586349613,以勒--,翻填一段❤️ 风铃声坠下抛掷一地的残霞你低头浅吻我伤疤旧梦斟满脸颊 星斗掠繁花剥离轻佻的梦话他别上衣襟的牵挂在南柯下发芽 笙歌残留在雨季尾随着涟漪沉睡去台前听细碎心语再听不见你的呼吸,14163,2018年5月26日
164025172,277037561,mino于怀,不管小时代被多少人骂，它都陪我走过了那段青葱岁月。最后一部大屏幕上写再见啦，再见。我也对我的幼稚与懵懂说再见啦，再见。,11135,2016年6月3日
66533104,40600217,yyywsy,郁可唯演绎得很好，歌也好听，和电影有什么关系？就算翻唱也很完美。,8370,2016年1月31日
39005357,69009502,白非鸣,关键是这歌是改编而且没标明出处，又不是翻唱，居然那个为这首歌辩驳的评论能获得1000多赞我也是伙惊呆,7295,2015年10月4日
1343269208,1439321953,江燈夜火眠,她还活着，在你的记忆里，你的梦里，你的心里。即使雪抹去了你们在一起的痕迹，但一定抹不去她在你心里的痕迹，是吧？加油，陌生人。,6169,2018年12月31日
130037315,66522852,名字需要那么长才有人看见我,18岁觉得她是我的唯一；19岁觉得她一定是我的妻；20岁觉得自己完全离不开她；21岁觉得...既然不在一起了，就连朋友都不要做，却疯狂找她一切的痕迹；22岁觉得如果我还是18岁，我会更爱你,5473,2016年3月15日
1332477871,1324143048,凌沐兮_,你是魔鬼嘛,4934,2018年12月20日
22535430,42523650,卡尔西法bulubulu,时间把万物煮成雨水，浇灌了它们覆盖旧时的灿烂。,4828,2015年6月17日
