4902557,262112,人生如戏戏如人生,不要以年龄衡量阅历，有的人活一辈子都不明白自己活得什么,23442,2014年10月14日
5618957,19729359,独乐桥,年少莫听李宗盛,12469,2014年11月9日
17445724,66822165,萌性大和尚,零点54分，再听山丘。几年来发生了很多事。妻子的母亲前年得了子宫癌，大家一起坚持了2年多，现在情况越来越不乐观，妻子的爸爸又查出肺部有囊肿，前天朋友的妈妈去世了，也是13年得的病……该来的总要面对，可是真的担心妻子会无法承受，希望能一起携手越过这道山丘。,9425,2015年5月7日
11321601,1118357,洪師傅不給撩的凝視,方文山的词，是鸡尾酒，炫目新奇；林夕的词，是可乐，一如既往的过瘾；李宗盛则是黄酒，入口涩，不经意的一口一教诲，一口一教训，而不用多久，后劲就会逼的你痛哭流涕,7483,2015年2月24日
5020272,28622421,沉默不是大多数,还是没人能写得过李宗盛,6841,2014年10月20日
11963731,778645,sdlee1625,在便利店遇到一对年轻父子，小孩听到店内放的《山丘》就问涓滴是什么意思，他爸回答说是指水一点一点的流淌，还教他杜甫一句诗“重露成涓滴，稀星乍有无”。（转载,6271,2015年3月5日
5067497,17966991,沉默的黑泽明,这首歌能听三十年,6075,2014年10月22日
5067296,37432396,猥笑的羊,越过山丘，才发现无人等候。,3671,2014年10月22日
19219875,52625190,soukilee,越過山丘，發現還有一丘，喋喋不休，無人肯聽我嘶吼。20歲越過山丘，伊人正在等候。喋喋不休，聽他千邊的溫柔。30歲越過山丘，回頭牽兒之手。喋喋不休，他一去不再回頭。40歲越過山丘，才發現無人等候。喋喋不休，再也喚不了溫柔。50歲越過山丘，每次都氣喘如牛。喋喋不休，只有老伴回你老頭。,3104,2015年5月23日
21140914,64053297,喝水冒泡泡,在便利店遇到一对年轻父子，小孩听到店内放的《山丘》就问涓滴是什么意思，他爸回答说是指水一点一点的流淌，还教他杜甫一句诗“重露成涓滴，稀星乍有无”。,2485,2015年6月7日
4970244,39689859,安安和郑小北,好像还没年轻过就这么老了，一切归于平淡,1863,2014年10月17日
18683936,15435315,lina你走吧,多希望有一天突然惊醒，发现自己在高三的一节课上睡着了，现在经历的一切都是一场梦，桌上满是你的口水。你告诉同桌，说做了个好长的梦。同桌骂你白痴，叫你好好听课。你看着窗外的球场，一切都那么熟悉，一切还充满希望...,1713,2015年5月18日
39723020,2709009,HenryCao,越过山丘 才发现无人等候……,1490,2015年10月8日
39067914,41967240,别唱伤心的歌,第一次听是时政老师放的，老师说上课前先听一首歌，就在那个教室，老师边放边拍手，突然感觉想哭，也不知道为什么，一时半会也没有缓过神来。,1487,2015年10月4日
21134077,51101061,迦辣,两个半小时后就要走入高考考场了。。。不知道来这里转什么,1139,2015年6月7日
41089341,64725015,Forrest_Gu,谁知道为什么会下架…,5929,2015年10月16日
40969525,3880748,逍遥叹服,竟然下架了,2137,2015年10月15日
39723020,2709009,HenryCao,越过山丘 才发现无人等候……,1490,2015年10月8日
39109877,81995602,交换想念_,唏嘘相见恨晚,941,2015年10月5日
39067914,41967240,别唱伤心的歌,第一次听是时政老师放的，老师说上课前先听一首歌，就在那个教室，老师边放边拍手，突然感觉想哭，也不知道为什么，一时半会也没有缓过神来。,1487,2015年10月4日
37493279,66822165,萌性大和尚,谢谢,512,2015年9月24日
37462184,63099226,Baiyel,加油！！！越过山丘！！！,844,2015年9月24日
37470132,91550127,Dehlnostu,梦里梦到了 脑子里绕的都是它,391,2015年9月24日
37453060,88598315,帐号已注销,才20多岁就觉得老了，果然不能听这种歌，但还是手贱下载加喜欢了,700,2015年9月24日
37457054,7093969,__Insomniac__,这位兄弟说的很对、不过最后的引用是“凡有井水饮处、皆能歌柳词”、另外李宗盛的阅历可不是原回复你说的只有那么一点、歌词写的平易近人是很有柳永风范、“接地气”也不失为一种回归、,508,2015年9月24日
37482027,55777610,____W____,一曲两词，我还是喜欢兄妹，兄妹的mv也很有意思,227,2015年9月24日
37385929,35193271,旺仔__大馒头,早上起床听一遍 现在快睡觉了听一遍 两遍 不能再多了。,204,2015年9月24日
37399849,74292481,celloak,下载下来听了快一周了（已没救）,186,2015年9月24日
37373969,35193271,旺仔__大馒头,有一种歌是永远不会下载到本地音乐的 怕上瘾。,418,2015年9月24日
37379910,74292481,celloak,听哭,142,2015年9月24日
37410755,75877138,璨殊,半夜想个书想到失眠。。,156,2015年9月24日
37404746,66188813,菏泽的鱼,越过了山丘，丢了你，也丢了自己,228,2015年9月24日
37415051,6758237,大偏执狂,为何记不得上一次是谁给的拥抱 在什么时候,261,2015年9月23日
37381717,50927351,Stan-9704,让人轻轻地唱着，淡淡地记着。,155,2015年9月23日
37408492,93193573,回不去的单纯岁月,为什么,90,2015年9月23日
