44788383,65934503,跃离梦中,好多回忆也跟着下架了,30876,2015年11月4日
46769054,51203333,-蜜桃奶珍-,好想你 你已经离开我三年了 今天是你去世三周年的日子 我好想你 记得这是你最喜欢的一首歌 你整天嚷着让我唱给你听 可是再也没有机会了 初恋最美好的日子♥♥♥ 记得我永远爱你😔😔,24896,2015年11月14日
44523188,45249728,霍小米,说评论少的是因为原版不是这首。。原版被合作方要求下架了。。,11480,2015年11月3日
165979385,254784369,浪花白天空蓝,上次五月天开演唱会，台下面有个男生向女生表白，信说：“像你这种情况是要加钱的”,11213,2016年6月7日
136421662,59548028,Capricornus_藝術,我今年172岁，我一百年洗一次澡，我会飞，我爱你，我杀过很多人，我从来不哭，这几件事里只有一件是真的。,9906,2016年4月1日
45072405,99084270,Adolie,为什么原版会下架让五迷多伤心,7475,2015年11月5日
53675332,99060026,瓜子奎,下午敲代码工作时突然听到这首歌，眼泪止不住流下来，大男人好丢人，好心疼,7090,2015年12月14日
203845104,284163304,帐号已注销,记得那是一个上午， 我们正在上语文课，窗户在教室的左边，窗外的阳光照进来，热且刺眼，我看着她极力用本子当着阳光，我就站了起来， 老师问我怎么了？我说有点困，站着听课好一点， 那可是上午第二节课，怎么会困呢。。 只不过想用自己的身体挡住阳光，让她在我的影子里能够舒服一些。,6332,2016年8月23日
48521347,95639501,天上的星星亿万颗只因有你,泳抱,6236,2015年11月22日
71323015,50925445,乔玊凡,古人为什么会发明鞭炮?因为他们最怕空气突然安静…古人为什么不发明手机?因为他们最怕朋友突然的关心…人为什么要健忘?因为最怕突然翻滚绞痛着不平息…考试为什么手机要关静音?因为最怕突然听到你的消息…现代人为什么发明了定位系统?因为突然好想你，你会在哪里…,5116,2016年2月17日
135231454,126230305,-月球非法居民,《东邪西毒》里有段台词：“以前我认为那句话很重要，因为我相信有些事说出来就是一生一世。现在想想，说不说也没有什么区别。有些事情是会变的，我一直以为自己赢了，直到有一天我看着镜子才知道我输了。在我最美好的时间里，我最喜欢的人不在我身边，如果能重新开始该有多好。”,4496,2016年3月29日
48091608,44566765,帐号已注销,突然想听这首歌却发现不是原来那首。,3876,2015年11月20日
312534454,44737935,骑着毛驴赶大集_,如果你认识日照职业技术学院会计班的刘兰云，请告诉她，我喜欢她！我一直在努力赚钱，等我买了车买了房消除了她爸妈的偏见我一定会去娶她！如果评论被淹没，就当我是个傻瓜。,3324,2017年2月18日
64557054,64862398,从前有一朵小花,昨天晚上去ktv平时嘻嘻哈哈的班长唱着这首歌，声嘶力竭，最后灌了一罐啤酒捂着脸倒在了沙发上。他也是个有故事的人,1026,2016年1月24日
144043736,267811245,_污病系稚女,好像单身很久了，渐渐的习惯了一个人，直到现在连和朋友说说话逛街都觉得累，开始变得很懒，懒得表达情绪，好像觉得可能这辈子就会这么自己一个人过去了，不知道为什么听到这首歌还是那么想哭。,590,2016年4月20日
601864768,258371035,落地一个原谅绿,高三不管哪节课都会困不叫我我能睡一天,78,2017年11月1日
601862154,130330589,C同学1024,说实话 第二节课还真是我最困的时候。难道这就是我没有女朋友的原因吗？！,58,2017年11月1日
601832970,379699032,偶遇十八相遇十九,每每听到这首歌都心疼流泪怀念最初的每美好，多想再爱你可惜你不在,13,2017年11月1日
601819572,432189251,Lemon_treeFM373,在一起四年，因为蛮大的误会分了。后来朋友聚一起唱K，几乎是含着泪唱了这首歌，他当时没什么反应，后来我实在是招架不住借口去了厕所，哭完一出来就看他靠着墙侧头看我，没力气的我低头刚准备走过他身边，他一下把我拉进怀里吻了我，边吻边哭。复合后好像更幸福了，珍惜。,230,2017年11月1日
601790909,472491943,捉影1710,在一起两年半 分手八个月 我还是学不会忘记你 宝宝 咱们重新开始好不好,23,2017年10月31日
601771677,262948168,l-l-MOON,干嘛学我,14,2017年10月31日
601774366,530769889,衣冠丿小禽兽,因为你 唱了这首歌。让我误以为你对我有意思。 后来我发现。原来只是我想多了。想多了。。。。,24,2017年10月31日
601718377,602135121,秋水无痕170926,一生会遇到很多人，不追忆过去，只着眼当下，着眼身边的人，好好珍惜陪在你身边的人。不然总会重蹈覆辙，因为日子再向前过，过去永远回不去的。,7,2017年10月31日
601651632,250417809,帐号已注销,最怕回忆突然翻滚绞痛着不平息。,12,2017年10月31日
601657313,58439279,容乙,快去听（为什么删我评论）,6,2017年10月31日
601664231,58439279,容乙,有,6,2017年10月31日
601646846,58439279,容乙,虾米,5,2017年10月31日
601653436,58439279,容乙,说了虾米评论就不能发表？,3,2017年10月31日
601654216,377240748,努力热爱这个世界,杀了很多人 还敢出来,14,2017年10月31日
601643423,388790563,梦里东安,拥抱是我第一首会弹的吉他曲,5,2017年10月31日
601641313,267155407,肖易燃,阿👼,2,2017年10月31日
601536764,65755119,Yaronversano,Valar Morghulis,1,2017年10月31日
601502419,386909876,张先生的女儿-,我在18路的公交车上，终点站是日职，我想跳下车找到她然后大声告诉她有个人喜欢你蛮久了欸，我想大声说hi陌生人祝你们幸福呢。但我没有，我在中途下了车，因为在天桥边我看到一个抱着吉他的人，我想过去听首歌,16,2017年10月31日
601485982,266579655,葵小七,突然好想你，一直很想你，你在哪，叫啥，你再不出现，我可真要出家了呀😂,1,2017年10月31日
601471699,375567022,Derams梦,本来已经把你放在最心底，你突然的出现，打破了这原有的平静。,3,2017年10月31日
