5850047,487043,进击的隔壁老张,她是网易秘书。,18万,2014年11月16日
9315901,46440288,许许许多多多,斑马斑马，你自带二维码,13.1万,2015年1月24日
58253252,52015280,Stardu2t017,[转] 动物界的冷知识：斑马独自一匹的时候是无法入睡的。 看过这个冷知识 是不是这首歌曲蒙上了一层更加悲伤的情绪呢 从斑马斑马你不要睡着了到斑马斑马你睡吧睡吧低沉且悲伤的诉说着一个流浪歌手无奈与绝望。斑马能够睡着 是她已经找到了可以让她安心睡下的那个人而那个人却不是我,81708,2016年1月1日
5302604,35750959,华丽丽的上演,斑马斑马，你这武汉姑娘，热情主动，夺走我第一次，两个多月的厮守，给我太多快乐，教会我太多太多。每每听起这首歌，思绪都会飞到华师那个清冷阴郁的中午，和你走在博雅园旁边窄窄的路上，把这首歌单曲循环，心里五味杂陈。三月一别，至今未再相见，但听此曲，不禁泪流，人总是要到失去才懂得珍惜。,56712,2014年10月30日
72644950,136809764,Jax蒋,民谣听起来好穷啊，穷得只剩下灵魂。,56118,2016年2月21日
24721775,19731308,茶七七,你欠我一个叫林菲的孩子还有带书房的小家。说好了要带我回湛江的，你还没给大家介绍林家的媳妇，我还没尝过你妈妈做的菜。你说过会带我去吃湛江大排档的羊肉煲，要带我去看你最爱的那片海，要买情侣装穿。我们还没有去澳门。你不是说过会等我毕业然后结婚的吗。你欠我那么多，怎么可以不兑现就离开。,50601,2015年7月3日
128803591,77078333,千代休,今天在地铁里看见一个女的。二十多岁吧 自从她坐在我的边上她就一直在照镜子抹粉补妆一路上一直在补妆梳头 我当时真的很讨厌她周围的人也都用异样的眼光打探她。过了一会她从包里拿出一张请帖里面有对新婚夫妇的照片。她看了好一会才放下 拿起手机摁亮屏幕 是她和一个男的合照,35800,2016年3月12日
372327393,110989066,多情绅士自作,斑马死了，安河桥塌了，董小姐跑了，莉莉安上船了，宋冬野进去了。,35644,2017年5月3日
122999795,53946435,用户25817886,希望网易推出一个榜单，关于每首歌评论总数排名的榜单，一直很好奇前50首到底是什么歌，想看的亮,24971,2016年2月23日
372294184,434387221,老枪875,小时候刮奖刮出“谢”字还不扔，非要把“谢谢惠顾”都刮的干干净净才舍得放手，和后来太多的事一模一样。,23970,2017年5月3日
4736107,31388400,我是大樹丶,突然发现好多人的粉丝都只有一个人 好想知道 那个关注你的人 对你来说 是怎样的一个存在？,22081,2014年10月7日
5938889,5922555,嗷嗷的嗷嗷虎,世界如此广阔，人类却走进了悲伤的墙角。,21578,2014年11月18日
52714739,94874271,盐须菜,我认识一个女孩，才17岁，就被家里人逼婚，不得不嫁人。她以前是一个很阳光的小女生，笑声能传出几百米远那种。这之后天天呆家里面一个人抹泪，有过一次自杀未遂。我不能改变她的命运，我只能祝福她。小希，一定要幸福。,21056,2015年12月10日
73328674,44108640,靳查理,后来 李志结婚 马頔在情人节秀出了和女朋友的亲吻照 宋冬野也求婚成功 那些我们年少时心中孤独的代表 曾为一个女孩歌唱的人们也都找到了幸福和归宿 我想啊 我们都终究会遇见那个对的人 希望他们幸福 你也是,15577,2016年2月23日
641109417,545083109,溫絨絨,一个人为了男友来到新疆今天发烧 38°多咳嗽的血丝都有给他发讯息 他没能回我 也没来接我蹲在门诊门口 哭了半小时很俗的一句话：原来，我做了这么多，感动的只是我自己罢了 明天回台州我要很幸福！！,15379,2017年12月14日
1241860146,1352720828,船--,民谣属于深夜,2795,2018年9月9日
1241827122,1290178311,哆啦三毛,是那个一直把自己喜欢的歌发给我听的人,847,2018年9月9日
1241829657,395650612,嗯-Leo,宁愿一个人，也不想去要一个脱缰的野马,582,2018年9月9日
1241798135,291117063,LIANGLIANGYUYUHUI,干杯,500,2018年9月9日
1241787020,551559804,本无天分_3,人说:林深时见鹿 梦蓝时见鲸 梦醒时见你可实际:林深时雾起梦蓝时浪涌梦醒时连续不见鹿，不见鲸，又何苦见你。,631,2018年9月9日
1241782749,255816176,胖胖王先生,今天我喝完所有的酒，告诉自己生活还很美好，祝你幸福……,278,2018年9月9日
1241784717,1308374189,卑微盼,一个人抽烟 一个人喝酒🍺😔😔,263,2018年9月9日
1241760943,69250068,686089,楼下抽烟 天已经冷了,226,2018年9月9日
1241735196,542352309,Cilew-,记得小学时候 我们打打闹闹 到最后 却连一张毕业合照都没有 小学以前八十多个人 到了初中 只剩下了不到十个人 到最后 越来越少了 还是想起……,264,2018年9月9日
1241707123,126244693,不必多说话,感动自己，比感动别人更可贵,124,2018年9月9日
1241698415,1454029909,Nancy180511,再见了，青春， 我不想见到你了，见到你，我心如刀绞🤐,141,2018年9月9日
1241713794,31585560,闲者-不贤,可你还是去了,140,2018年9月9日
1241730520,31585560,闲者-不贤,还是没学会,76,2018年9月9日
1241701125,31585560,闲者-不贤,一样,96,2018年9月9日
1241707931,31585560,闲者-不贤,能感动了自己也不算没有任何收获,62,2018年9月9日
1241682412,506258467,自渡清欢,明明是知道是谢谢惠顾，还要把剩下的刮干净，才扔,75,2018年9月9日
1241693680,1343800326,conductor1801,没错,63,2018年9月9日
1241680590,504417494,就好像离开的那天都没说再见,我不知道一个人能走多远 我不知道你过得好不好 也许你已经开始新的生活 我们也许今生不会再见面 希望你离开我会过得很好 不会让你觉得离开我是个错误 而我 也要一个人生活下去 去寻找我自己的幸福,72,2018年9月9日
1241545329,338886237,穆昜2033,耳机双声道谜之emmm,52,2018年9月9日
1241555647,556513133,听歌别抽烟-,翻了好久的评论竟然看到了安阳 很出乎意料,54,2018年9月9日
