21656658,40985240,这个包子不太冷,一个女神级的同学听了这首歌，说这歌就是装文艺。我说，你一定是爱情里被爱的那个。,67177,2015年6月11日
6498894,30294973,xxccarina,聋子听见哑巴说瞎子看见了爱情。,37550,2014年11月30日
6524258,34313533,袁了个晨,以前我不知道关忆北是个人名，后来我才理解，人人都是如此啊，所谓用余生去思念北方不是某个地方，而是某个人。可是我们偏偏要说是那个地方。,26057,2014年12月1日
18483620,36703268,Freepopper,4.老板微微眯了眯眼睛，低着头说，棉拖我就不给你扯了，来一双吧。不知为何，我想起了韩寒的《一座城池》。“人字拖还有吗，来一双，怎么样都行。”"有！给你留着呢。"老板从杂乱的货架上拿出一双看起来旧旧的人字拖，我认得，是扯断的那双，不过修好了。"就它了。"我说。风好像有点大，老板在揉眼。,18751,2015年5月16日
18484667,36703268,Freepopper,1.焦躁的人群装饰着浮躁的生活，我来买一双人字拖。老板一直吹嘘人字拖怎么牢固让我用力扯，我愉快地试了一下确实扯不断。老板得意地拿过我手中的人字拖，说:"呐！小伙子你不用力怎么行！我扯给你看，呐，要这样。"于是啪的一声人字拖断了。当时风很大，吹乱了老板凌乱的头发。他说，生活很困难的。,17922,2015年5月16日
18486600,36703268,Freepopper,2.我愣愣的看着老板，他用手拢了拢油腻的长发，眼睛出神的盯着远方，说，年轻人，你走吧，我不能卖给你人字拖了。我说没关系的老板，怎么会突然的断了呢，肯定是意外，我再挑一双好了。老板收回了瞭望远方的眼神，对我凄凉一笑：“人字拖坏起来没有征兆的，和女人变了心一样。”,16247,2015年5月16日
18480671,36703268,Freepopper,3.后来，我晃了一整个夏天，都没有找到满意的人字拖，然后秋天就来了。秋天也就那样，我们开始遮掩，就像我们渴望暴露些什么一样.又见老板时他斜靠在摊位旁摸着胡渣说小伙子你还没找到满意的人字拖吧！不要惦记了，不要怕忘记了，不会的，但是你要在记住它的同时，开始自己新的生活。,15147,2015年5月16日
30947589,2145020,我很可爱了,不要和文艺青年睡觉，否则你将会出现在他的歌里、诗里、短篇里，他们喜欢把你根本不在意的事情 描述的凄美动听，普通的文艺青年还好，要是运气不好碰到道行深的，他将告诉你——你的名字解释了他的一生。,14997,2015年8月13日
57206594,89859282,眸托一望,你的名字解释了我十六年的生涯，最后你的名字刻在石碑上你的肉体埋在杭州的墓园里时我们依然没能在一起，我甚至都没机会说出我喜欢你…我只记得我在北方听到你出车祸后躺在床上半天都爬不起来，13年我坐在你的墓前带了我曾经答应要和你一起喝的德国啤酒和你最喜欢的蓝色妖姬，从此我的一生里再也没南方,13858,2015年12月28日
71519771,66426247,小鳥遊优美,宋胖子今晚求婚成功了。新娘不是关忆北或是董小姐更无关莉莉安，她们都太他妈理想了，与现实太远。难忘音乐节，朋友是铁粉，嗨的非常，我淡定的在草地上撸串，直到一首关忆北，我冲到台前。祝胖子幸福 一辈子。,11506,2016年2月18日
150316616,52927543,黄群芳-,评论都是痴情郎，现实皆是负心汉,9274,2016年5月5日
6338541,42893671,侯不丹啊,碎了满天的往事如烟 与世无争 最爱这一句的调,8056,2014年11月26日
6201715,32419334,空镜头901,每当听见这样的民谣总是会牵唤出很多的回忆，那些真实所见和臆造的想象，都是关于一个时代的质感。很难去进行描述是怎样的触觉，从什刹海的结冰的湖面，鼓楼东大街老旧的唱片服装杂货铺，还是东四十条灰色僵冷的建筑中有那么一抹孤郁的朱红。,7822,2014年11月24日
50196289,76955336,竹萧柏,逛超市时朋友突然抓起一瓶东西大叫着说，这瓶女生用的大宝好贵啊我记得男生的只要九块九！旁边站在梯子上补货的大妈盯着手里的货簿接茬说，女人的钱最好骗了。时间有点晚了，远处灯光倒映在地砖上有些惨白刺眼，空气中满是化妆品甜腻的味道。大妈把货簿轻摔在箱子上，苦笑着又轻轻说，感情也好骗。,7514,2015年11月30日
