6263063,15366763,帐号已注销,还是那句，如果有一首歌，不曾流行，也不会过时，那就是民谣吧。,15802,2014年11月24日
8135419,2276609,龍崎彥臣,那年我卖了把吉他，是为了一个好看的姑娘。又想起胖子在谈为什么要学吉他时，他说那么大的孩子学吉他都是为了姑娘，姑娘走了，有的人把吉他放下了，有的人却爱上了音乐。,11390,2015年1月4日
17225529,61490443,DIY帕格尼尼,在北京面试完后，收拾行李去北京西站买了凌晨4点的票，兜里只有30了，于是在地铁门口凑合一晚，终于熬不住坐着睡着了，梦见收到面试的公司offer，然后就醒了，看着旁边的熟睡的流浪汉，特有种改签回家的想法。在盒子里睡着的美梦，一打开就无影无踪，睡醒的人哭着想回家，可离家的人不会相信他,9095,2015年5月5日
6769160,2889525,用户2889525,多少年能有一张《安河桥北》,7599,2014年12月6日
69533691,127628651,德彪东东,宋冬野就是个写诗的，配得上歌就唱，配不上歌就念,6817,2016年2月11日
7243967,9859159,付煜南,把这首歌分享到了微博 结果没有一个人收听 但还是忍不住不争气的泪 这是不是就叫孤独？,6753,2014年12月17日
134015029,250781113,不喝牛奶的里昂,我初恋的女孩，分手后做了八年朋友，关系维持在不远不近，谁都没有去主动打扰谁的生活，唯独每年生日的时候都会各自在凌晨给对方发一条短信，永远只有“生日快乐”四个字。前几天突然接到她电话，说她要结婚了，然后沉默了一下，微笑着说我是她通知的第一个人。明天她就要结婚了，我忽然不知道要不要去,4518,2016年3月25日
7963318,30814627,边走边听歌,再一次体会到“读来依然一字一句一篇都灿烂 ”的感觉,3650,2014年12月31日
139012003,131665281,你脸上那一坨是肉吗,宋冬野写给他女朋友的歌，他女朋友在日本，独在异乡很孤单的感觉…等你疲倦时回来我唱歌给你听，等你从那片海上归来，我还是不是你的船长。卡比巴拉是他女朋友喜欢的漫画人物,3136,2016年4月7日
32689514,6989721,帐号已注销,公寓楼里有个叫关羽的黑人小哥。看到他羞涩地回应串串店老板的哈喽，背后手中攥着一束百合。看到他楞楞地站在成都温柔的夜雨中，脚下是吹落一地的桂花。看到他深夜坐在小区门口的台阶上，身后是昏黄灯光下的天使雕像，脸上的泪痕像是伤疤。他对着电话哀求。我们的故事还没有讲完。你为什么不爱我了。,3125,2015年8月24日
7044105,35751707,虎牙一昂,大清早点了一支烟，弹出这支歌，以前没听过，瞬间觉得这个周末会像吐出来的烟那么轻。昨晚她吵要跟我分手，真想跟她说，当你真的感受到了悲伤，我在回来对你歌唱。,2831,2014年12月13日
7534871,30325421,三厂大爆爆,听着听着哭了…眼泪很久没流下来了…谢谢这首歌。,2189,2014年12月24日
72308807,52416676,帐号已注销,希望她一辈子也别爱上民谣,2033,2016年2月20日
7872511,35657114,芥末比巴豹,好想去海里吃盐巴！！,1459,2014年12月30日
146117869,136175084,鲨鱼骑士J,如果有一天我们都被关入监狱，希望能按曲风把我们分开。,1225,2016年4月25日
1241580303,1458569891,想要腹肌的狐小鱼,我喜欢热闹，我也喜欢安静，我还喜欢一个人在路上，在陌生的路上,286,2018年9月9日
1241289395,386993914,空城仍在旧少年,居然撞头像了。,70,2018年9月9日
1241308846,386993914,空城仍在旧少年,平凡日子的刺，我想和你好好的…,78,2018年9月9日
1241116621,567168464,妐娯妳,如果我不会遇见你,52,2018年9月9日
1241078603,517902300,理想依然在,千万别爱上民谣，那个姑娘,68,2018年9月9日
1240997579,403385487,海马杏仁体,妈的失眠睡不着,53,2018年9月9日
1240884557,1509390835,乱立FLAG的小魔王,哈哈😟😕🙁☹️,29,2018年9月9日
1240746414,544296188,L阿柴,听他读 感觉脑海里是有旋律的,40,2018年9月8日
1240732051,136433685,住你眉间,今晚我能和你一起睡 我好想你 你这个坏蛋 大坏蛋 大坏蛋,65,2018年9月8日
1240724365,136433685,住你眉间,现在你在我左边 开车,57,2018年9月8日
1240751533,136433685,住你眉间,这是留言最多的一首歌,44,2018年9月8日
1240696669,1588521115,昨渝,知道会失去却已经没有了难过的力气,37,2018年9月8日
1240678165,126357226,桀麂,睡醒的人哭着想回家可离家的人不会相信他,42,2018年9月8日
1240629325,1479853363,被神仙爱着,很难过就听听她的声音，就抽一支烟喝一杯酒.在倒头睡一大觉.明天就都好了.,29,2018年9月8日
1240598464,1532499841,FU-WEN-LI,觉精神独立，重要。嗯，就这样。,16,2018年9月8日
1240384123,627447202,盖锅锅喂,时隔一年，你终究还是当了别人的船长，而我却还在原地不让任何人上船，也不上任何人的船。,97,2018年9月8日
1240319615,277676075,一枳年年,下次再听卡比巴拉的海流泪时 不知道又过了几个年头,85,2018年9月8日
1240228770,358685952,池馆苍苔,她肯定是爱情里被爱的那个,15,2018年9月8日
1240190803,403028298,恩恩知,刚才跟宿舍玩特别好的一个女孩子听歌 听这首歌的时候 她说你这什么歌啊 一脸嫌弃 我说傻逼 民谣啊 什么都不知道 很难过吧 没有共同语言 还那么在乎你 嗯 因为你没经历过 所以这些歌对你而言是多难听 特别难过啊,34,2018年9月8日
1239997178,1461614644,往后余生没有你丶丶,他也是重庆的，我是四川的，他介绍给我的，我爱他，但是却不能再去说爱他，他说这首歌很像我们，确实就是我们的写照,13,2018年9月8日
