24100542,60225326,小生_1,听歌老是幻想自己有这样的唱功，在舞台上该是如何光彩夺人,25.5万,2015年6月29日
31157347,32626075,lukamo,14年高考340分 15年复读542分！,16.8万,2015年8月15日
7355246,39032132,苍岚夜雨,大爱前奏，现场版的带着耳机简直太爽了，听着听着莫名的就很激动，同意的,10.3万,2014年12月20日
8269221,47656522,orcherin,想！去！现！场！🙋,76575,2015年1月6日
6629944,37142640,然然谭,只听了一秒果断下载听他一万遍再说话,52734,2014年12月3日
8275354,38704612,哈哈还活着,昨天一晚上没睡，因为工作加班，刚才我的脾气爆发了，差点和那个夹车的打起来，现在一听这首歌，脾气在歌的爆发中发泄完了，现在想想感觉对不起我的团队，谢谢你们包容我的坏脾气,39007,2015年1月6日
20984829,61426137,艾特小女辰亭,明天开始高考，为自己和大家加个油,31977,2015年6月6日
371133935,125948002,糖水焦黑holiday,摘掉耳机我是山东的，带上耳机山东是我的。,24554,2017年5月1日
182468822,10793019,二十四个英语字母,世界上最憋屈的是什么？就是你听到这样一首能让你全身舞动起来的歌的时候，你发现，你根本不会跳舞，只能像大猩猩蹦哒……蹦哒……,20960,2016年7月13日
389879595,440235578,玖柒丶筱,17年中考，我必成功,20168,2017年5月22日
163101646,66687441,EliseChen,这是一个由澳大利亚本土年青的基督徒牧师创立的乐团，隶属于Hillsong澳大利亚分部，主要创作和演唱福音歌曲，曲风比较欢快，年青人比较喜闻乐见的形式，歌词也以福音、圣经为主。Hillsong不仅代表HillsongChurch的音乐文化，也代表着澳大利亚敬拜音乐的传奇。我也做一回大自然的搬运工,15670,2016年6月1日
123595595,136805881,秋天种下一只猫,听了这歌之后我一个人就能嗨翻四个广场的大妈,12748,2016年2月25日
20977079,31939547,二想,祝自己高考成功,7702,2015年6月5日
654045094,1323644897,呜啦噜啦鹿,体考前的日子里，在晨雾未散的时候，我们几个一遍又一遍在操场上狂奔，从听到老师的哨声起，到逼近终点的时候他们的呐喊，四部手机，分别放在操场上四个位置，同时播放这这首歌,7203,2017年12月28日
1064896883,100097984,丿灬梦秋丶,再有70多天就要高考了，漫漫长夜中也只有网易云陪伴我了，希望高考可以拿个不错的成绩回报父母,6592,2018年3月25日
1133869044,439648962,ito--,祝你们顺利,3035,2018年5月31日
1133883748,550180535,是于某人了,这一刻，世界都是我的，何况你呢,1456,2018年5月31日
1133864874,3303879,晓璟,听了这么多年音乐以来从来不听现场版，这首是例外,1433,2018年5月31日
1133848319,315175307,江南大鲨鱼,好想回到10年的夏天！,820,2018年5月31日
1133849165,119425073,毕吾之,终于要我踏上高考的战场了，等待了这么久，就是这一刻。最后祝我“我在高考上绽放，亦如黎明中的花朵”。,871,2018年5月31日
1133832458,337142002,活在梦里的傻子,医生 医生 再给我加层钢板 石膏打厚点 刚接好的腿又断了,612,2018年5月31日
1133869529,378489872,AWAY-FH,第一次听就给人一种震撼的感觉，闭上眼仿佛自己就是那星海中的一员！,523,2018年5月31日
1133861600,573045953,名字太难取了就这个名字吧,加油,1888,2018年5月31日
1133842294,508971063,lougolougo,一样，一起努力，敢于成功，祝福,335,2018年5月31日
1133864502,508971063,lougolougo,七天倒计时,284,2018年5月31日
1133866510,508971063,lougolougo,七天后高考，敢于成功，金蟾折桂！感谢国家，感谢社会，感谢网易云！十八年为这一战，挥洒汗水终能成功！,1103,2018年5月31日
1133843194,489345417,瓦达西诺伊木呦瓦,如果有现场版比录音版好听排行榜的话，这首一定是第一,381,2018年5月31日
1133837174,474459241,今天也是很low的,真的好想去一次现场,202,2018年5月31日
1133832911,79164377,cameni,哈哈哈哈哈哈我闺蜜买错了Y&F的演唱会门票，到处问可以刀转手出。我说去香港看太麻烦了，我刚好单休上班呢，婉拒她了。那个傻孩子,202,2018年5月31日
1133831938,446199117,呆软萌萌甜甜酱,高考加油！,152,2018年5月31日
1133820617,395210173,waiting-for-llll,努力就是成功,133,2018年5月31日
1133812792,119365983,许路咯,六天后的高考，wake,181,2018年5月31日
1133781258,256446450,有呢呢用好吗,今天5月31，明天就是6月1，听着这首歌，感伤当下破裂的感情，让我回忆起10年前的最后一个儿童节，那时的我是多么的自由，童真。。,122,2018年5月31日
1133797110,448475793,我身高有1point8m,这首歌评论已经破10万了，刚开始好像还是999+，真的喜欢这首歌,195,2018年5月31日
1133802916,448475793,我身高有1point8m,14年高考毕业412，大学要毕业了，上大学后 后悔没有去复读了。,102,2018年5月31日
