124504669,112686908,沧桑怪,李荣浩一个心机boy给古巨基写了怪物给薛之谦写了丑八怪给自己写了模特,28.5万,2016年2月28日
126734368,82179192,艾琳艾德勒丶,想对早起的室友说，丑八怪啊啊啊，能否别把灯打开,10.8万,2016年3月6日
5858328,16684055,Bear黍,这唱腔这曲子简直了李荣浩,86811,2014年11月16日
41222963,3648197,34岁大叔你敢撩吗,为什么网易云音乐每天都坚持不懈地向我推荐这首《丑八怪》，难道是在对我暗示什么吗。。不敢往下想了。。,81015,2015年10月17日
126747442,135786413,叫我斯斯欧尼,李克勤的歌下面都是薛之谦，薛之谦的歌下面都是李荣浩，李荣浩的歌下面都是周杰伦……世界和平,59292,2016年3月6日
70273076,61989649,隔壁楼下丶小黑,我正唱到：丑八怪，能否别把灯打开。领导把KTV的灯打开了........,50876,2016年2月13日
5007612,6967497,一发对A要不起,总觉得薛之谦把这首歌的味道完全唱出来了,41897,2014年10月19日
72403053,125940996,陪我去吃汉堡,薛说他在李荣浩还没红之前就买了几首他的歌..都是挑最好听的..那时候还比较便宜..现在就要涨价了...机智的薛老板..,36308,2016年2月20日
131333101,59144875,埃米纳杰,说像李荣浩的其实并没有什么恶意，说白了只是近几年李荣浩比薛之谦更红更让人知道而已，相反如果李荣浩没有出现红的是薛之谦那么当李荣浩出现时人们肯定说这唱法声音像极了薛之谦，两人都是歌手，都是优秀的华语歌手，其实收益的是我们！,26885,2016年3月19日
126280126,88382475,Scarly-嘉-,薛之谦，打广告买衣服开火锅店赚的钱都拿去做音乐，调侃说大家都去听听看我的歌嘛反正又不要钱，辛酸又心疼。他在很认真地坚持自己的音乐，热爱着音乐，他的努力与坚持会换来成功的。,24143,2016年3月5日
5563395,35373259,Hckillers,最近发现好多以前听过的歌是李荣浩作曲的,19767,2014年11月7日
391204524,319032348,奥德丶修斯,你别信风扇，它都是吹的,18722,2017年5月24日
1334235039,585439719,dar0two,我也觉得他好不尊重人，从来不睁眼看别人,13005,2018年12月22日
145827324,85799143,lvan小五君,那一年薛之谦最火的歌是认真的雪，那一年林俊杰唱着曹操，吴克群唱着将军令，周杰伦唱着听妈妈的话，潘玮柏在反转地球。那一年是2006年，而今年是2016年。,10730,2016年4月25日
65346221,102507136,你走你的阳关道,五五开啊咦呀啊啊~能否别把灯打开。。。,7210,2016年1月27日
