5167268,6999974,syied,这首的情绪明明就是没有等到你,48234,2014年10月25日
17390666,64526174,小小曹的仙女妈丶,喜欢他六年，一见钟情。勉强和我在一起四年，中间分分合合，我特别累，可总是告诉自己再多等一等，他会爱上我的。去年十一月份结婚了，结婚的第一天晚上我对他唱：终于等到你，还好我没有放弃，幸福来的好不容易，我会更加珍惜。然后，我看见了他眼里的眼泪。,35602,2015年5月6日
6953584,1804640,灬深海鳕鱼,大龄单身青年哭晕在厕所,21318,2014年12月11日
38763832,95678080,歌者er,我是一个gay，听着这首歌一想到我的一生都不会等到那个爱我的人，不知不觉泪流满面，在夜里八点的火车上很冷，我也渴望有个我爱的人紧紧抱着我,19273,2015年10月2日
5217597,40481139,咸鱼泡酒,过了某个路口你就会感到，彻夜陪你聊天的越来越少。,17104,2014年10月27日
133177991,134826431,菜菜_happy,女孩子经常会被男人感动，以为是被爱了。但过段时间后，却忽然发觉，他其实并不爱你……没错，男人能感动你，却并不一定爱你。感动只是想得到你，而爱却是需要付出自己……不要轻易被感动，因为你需要的不是个感动你的人，而是个能和你在一起的人。,12293,2016年3月24日
5676777,40801319,三顺3,什么时候能把这首歌唱给未来的你听,11133,2014年11月11日
6516712,41242210,桌上那杯旧咖啡,终于等到你，还好我没放弃@经久暖意 很想很想跟你一直走下去，永远不会忘记那个晚上，不会忘记这首歌，谢谢你的肯定，愿陪你走完一生。,7025,2014年11月30日
72333837,44434379,小懒小蘑菇,十一年了，现在终于在一起了。朋友说的一个人能有多少个十一年，你喜欢了我十一年，而我呢也没有随便跟别人谈恋爱。你一直陪伴在我身边，潜移默化的影响着我。兜兜转转，我回来了，你还在。大学毕业后在一起了，现在也想着结婚方向了。你没有放弃，我没有辜负。我嫁给的会是爱情。美好 ,6245,2016年2月20日
5833879,6617442,电影PK音乐,歌词唱碎单身狗们脆弱的心啊啊a啊啊啊啊 啊啊 啊啊啊 啊啊,5251,2014年11月15日
5710789,33934797,李信念,还记得当时看这部电视剧特别喜欢这首歌的歌词。那个时候整夜彻夜难眠，也不知道是不是喜欢你，只是心里失控的占有欲做了一个错误的决定。对不起，熟悉的陌生人。,3946,2014年11月12日
31684273,79690870,35-4度的乙醚和100度的水,有的人不懂我的名字的意思，乙醚和水不能互溶，升高温度和压力在相图上似乎可以找到最高互溶点，然而乙醚的沸点是35.4，水是100，还没能走到那一步，一个就已经先走了，你们明白我想表达什么了吗。,3196,2015年8月18日
5183070,39640859,southerndog,从超级女声到现在都一直令人喜欢。。。,3189,2014年10月26日
615755627,355467698,阳光自我心散为多彩w,等我变优秀，请你一定要等等我，不会太久，能不能先不要喜欢上别人。,2177,2017年11月16日
178069105,130851122,a阿卡贝拉,后来 有人会送你三十块一枝的玫瑰 三百块一支的口红 三千块一件的大衣 三万块一个的包 但你的爱情啊 是从三块钱一杯的奶茶开始的,912,2016年7月3日
1133141216,376979338,yuumiyshita,终于等不到你……,127,2018年5月30日
1133060220,1113833,虫虫嘎嘎,再看，觉得糟心,61,2018年5月30日
1132884136,76087553,借来的高傲,等到就好,20,2018年5月30日
1132808250,84941834,陪伴是最长情的告白S,你一定会遇到爱你的那个人的！加油！,22,2018年5月30日
1132812082,380565819,Wkeddy,会有的,23,2018年5月30日
1132813782,303858174,go2map,现在听得这首歌的时候我还没有对象，当我下次听到这首歌时希望我有对象，我会唱给她听,17,2018年5月30日
1132727023,133798219,小武_Kevin,我的另一半，你知道吗？我在等你,20,2018年5月30日
1132704533,571635689,仙女ta妈,每个人都曾有一个 无论你外表在邋遢，缺点很多 她眼里都只有你没有别人的女孩子得到的都不知道珍惜 失望多了人家自然会离开,9,2018年5月30日
1132675730,41961778,forevermell,一个人没什么不好，两个人最多收获一点五倍的喜悦，但要平添两倍的烦恼，付出三倍的努力。,16,2018年5月30日
1132623368,366008594,李先生好啊,等不到你了。真的,11,2018年5月30日
1132619269,1299575672,一杯空气恩,我近视，你在哪?,9,2018年5月30日
1132593821,1387728440,帐号已注销,是两千里啦傻瓜,4,2018年5月30日
1132563143,505060622,自由者六界,六年里不要尊严 什么都不要 只要你 而你呢 为你做的感动了自己 却感动不了你,7,2018年5月30日
1132580773,538954917,做你爱做的梦,晚点遇到你，余生都是你,10,2018年5月30日
1132559113,396611206,帐号已注销,加油！,1,2018年5月30日
1132560052,281857331,R独家记忆__,曾经以为我终于等到你，在一起的时候，，每次听到这首歌就止不住泪流，我知道，那是因为我太爱你，可结局不令人满意，没能陪你共度余生，段美丽,0,2018年5月30日
1132549326,633102835,渹翫,你可以善良 但不要委屈了自己 你也是个宝贝❤,15,2018年5月30日
1132541307,289551835,漂浮的丝儿,这辈子，我都等不到你,5,2018年5月30日
1132474132,408572195,哪里不是流浪丶,终于还是没能等到你。。。。,7,2018年5月30日
1132447941,270031988,喔中意你啊,爱不是感动,2,2018年5月30日
