44311957,95355159,末班车F,初恋今天结婚了，我去了，没有尴尬，没有扭捏，大大方方的就去了，她还是和当年我看上她时一样漂亮有气质，一样那么温柔 那么可爱。但是好奇怪我没有妒忌和不愉快，那一刻终于发现，曾经爱她是真的，现在的祝福也是真的。原来真的有由衷的祝福，感谢她那么优秀，我的青春没白过,44.1万,2015年11月2日
139002168,101348206,独当一面的女孩不需要立场,要不你把我删了吧，不然我老是想找你聊天。,24.5万,2016年4月7日
25542232,42856056,MoniqueXu,刚毕业 收拾东西搬离宿舍 在路上听到这首歌 一下就泪崩了，想到住了4年的舍友，不知道分开以后又是多久才能再见,13.9万,2015年7月8日
9639117,31180879,泛舟自在,很喜欢刘瑞琦的嗓音，慵懒中带点性感,84764,2015年1月29日
25651419,73794937,Seewoll,zz 大学同学 居然在网易云音乐听到了她的歌,63812,2015年7月9日
5157449,2935388,小小的二猫,为什么有周杰伦情歌的感觉,53782,2014年10月25日
12228217,44611023,猫的城池,参加今年好声音吧 加入哎哟哥哥战队,32745,2015年3月9日
9234806,41883340,lqsjwyrs丶,在夏天有燃烧的晚霞的路边，在秋日窗帘被风轻吹起的寝室，听着歌，突然就能想到那些过去的甜蜜的曾经，然后收到你的短信，问我在干嘛。,32250,2015年1月22日
13859857,59992578,WMCeng,副歌以前超好听，就副歌落俗了！,20679,2015年3月30日
6531023,1607477,Ohmysexybrain,不知道是太少听华语歌，还是刘瑞琦真的不错，只能靠这些来启动感性模式了。原来我一直活得那么hard。不hard容易受桑啊。（模式已开启，还是很有用的。）,16827,2014年12月1日
147563174,63419827,一只灵魂出窍的猫,刘瑞琪是我学妹啊，杭州电子科技大学的,14819,2016年4月29日
6768275,29627361,Liekkas-ljc,第一次听刘瑞琪的歌是她翻唱的《你给我听好》，感觉翻唱的人的嗓音很有魅力，然后就听了她所有的歌，真的是把吉他当恋人,13813,2014年12月6日
716696892,586732081,大文兄啊,分手四年了，今天偶然有了联系，她说男朋友出去办事今晚又要自己一个人吃饭了，不知道我在想什么，丢下该有的应酬驱车从四十几公里地方赶到她住处楼下，发了位置给她，她说男朋友不让她和别的男生一起吃饭！隔着手机屏幕愣了好久，按下挺好的，没事。,12641,2018年2月24日
709260692,607735591,艾佛森吃可爱多诶,忐忑和情书 不要跋涉和等待 不要雪糕和海底捞 也不要人生的艰难 太多你的情书和车马 太慢跋山涉水 太辛苦钥匙我不要 余生也请你不要瞎指教我只想睡个好觉,8074,2018年2月18日
230961301,127783622,佐-佐木绯世,我和他是在高中的时候在一起的，我问他，要是我考不上大学，以后怎么办？他当时回答我的是：我养你一辈子。后来我们如愿考上了同一所大学。可是老天还是跟我开了一个大玩笑，大二那年，他出车祸永远的离开了，至今都忘不了他跟我说的最后一句话——他说，对不起，我说过要养你一辈子的，我食言了。,6100,2016年10月16日
1657158665,1765823005,奥利奥味的昂,是喜欢你的味道我们的爱情就是无论怎么吵这么闹最后你还是我的我无法保证给你段完美的爱情没有争吵没有分歧但我能保证只要你坚持我定会不离不弃不爱的理由有很多忙累没感觉不合适为你好而爱你的表现只有-个就是想和你在--起,30,2019年10月17日
1657126937,1765823005,奥利奥味的昂,我有很多话想跟你说但我不知道那句好不知道能不能一起到老但是你陪我到什么时候就啥时候我爱你其实每次你对我忽冷忽热的时候我都挺难受的心里都一万次警告自己可你不经意间的一句软话又想让我去拥抱你可能在你面前我就是这么没出息吧想要陪你从新鲜感走到归属感和安全感会吃醋会自卑会想你会心酸大概就,158,2019年10月17日
1657076289,1475023860,lyszwt,电影讲的是爱情，应该是和电影一样的基调,4,2019年10月17日
1657055856,1532149310,扎心摸仙阿离,一瓶250ml的吊水，一共是3051滴。,281,2019年10月17日
1656954211,131488702,卫龙总指挥,我手机放不出来了 只有伴奏,48,2019年10月17日
1656835780,1605072519,陈姣jiao_,怀念以前 但好像一切都回不去了…💔,53,2019年10月17日
1656777743,1464822942,zhang宇辰_,我很遗憾没有体会过被人坚定选择的感觉 但是我希望能做的就是让你深深体会到被人坚定不移的选择,54,2019年10月17日
1656724311,1638910076,云笙xi,你的头像，好像她啊,1,2019年10月17日
1656718267,1638910076,云笙xi,我养的猫长大了茶树也结了茶喜羊羊的结局被灰太狼吃掉啦欢喜的当初变成了结尾的冤家你还在远方寻那朵不凋零的花啊还有这首藏头是送给你的话,2,2019年10月17日
1656658261,349844422,Michaelzs1997,盼望她过的好，希望她忘了我,1,2019年10月16日
1656654128,568306695,笑得滥醉,发现这个封面神似乔碧萝,24,2019年10月16日
1656659893,560170901,Jusjing_biba,各自安好,0,2019年10月16日
1656604492,337012771,深海现鲸,昨天分手了，感觉像掉了什么重要的东西，像个找不到玩具的孩子，一起和朋友吃饭，吃完饭就分手了，她拉着我上车，我既然打了他手臂的一样，我就不想离开，就不想离开，后来留不住，回家途中哭了一路。司机大哥都一直劝我，就这么过了一路，这么多年感情。走在熟悉的城市里， 熟悉的街道。熟悉的超市。,38,2019年10月16日
1656607865,1811551663,柠檬味De香蕉,感谢Ta那么优秀，我的青春没白过这句话让我心灵有了更深的慰藉,1,2019年10月16日
1656567185,2013110706,今天你又漂亮了,最怕听懂一首歌,26,2019年10月16日
1656532320,444959671,吴有a,我向旧日的恋人道歉，因为我对新人如同初恋。,37,2019年10月16日
1656559678,444959671,吴有a,阳光越是强烈的地方，阴影就越是深邃。,29,2019年10月16日
1656502313,408095682,爱陈赫的女孩,同城,0,2019年10月16日
1656467463,1315451048,稚稚子-,我好想你.,15,2019年10月16日
