34138291,85447478,黄天会,9月3号就结婚了，祝福我吧！好人一生平安，,69096,2015年9月1日
5080047,7483872,默默杨,听这个歌，忽然想结婚了，但是还没有女友，哎。。。,31104,2014年10月22日
31112583,70956021,三倍高钙,我每次结婚都用这首歌,18420,2015年8月14日
4981885,31245457,听说海很深,一点不是我的菜，可是今天看到一对新人为婚礼彩排，新郎唱这个。泪奔。最近泪点低到无语。,16964,2014年10月18日
172156330,269925697,今天有点困耶,我和我女朋友最近好像闹矛盾，异地恋，我不知道怎么办，我在江苏，她在沈阳，赞到100我就去找她！我只想有个去找她的理由，好人一生平安！谢谢！,12340,2016年6月21日
5271334,38259572,泪儿1,好喜欢这首歌要有人给我唱我会幸福死的,11150,2014年10月29日
6979844,34673604,充电电饭煲,我为什么总是听成 总是有你陪我同床剔牙。。。囧,8186,2014年12月11日
5049381,35871965,莫hua,哦 My Love 咱们结婚吧，好想和你拥有一个家，这一生最美的梦啊，有你陪伴我同闯天涯，哦 My Love 咱们结婚吧，我会用一生去爱你的，我愿把一切都放下，给你幸福的家。,6505,2014年10月21日
46891510,65100119,李李李O李大师,这首歌是我前任在ktv包厢对我表白时唱的，分手半年了，今天我和他去参加我俩一个共同朋友的婚礼时又响起了这首歌。我就坐在他身旁，我俩全程未有一句交流。只是响起时他笑了，我低下了头。我是gay，哪怕我们再相爱，婚姻对我们来说只是个梦，造化弄人。,5412,2015年11月14日
5067774,37115422,咖色啡岸,好听，天天单曲循环，心里有一种说不出得感觉,4282,2014年10月22日
5075507,40200199,丢丢cx,好想和你拥有一个家。,3283,2014年10月22日
4981786,39138222,英星,我们结婚吧！！,2722,2014年10月18日
127429554,41038957,硬骨头_children,上周和女朋友在一块逛街，回来就凭记忆搜到了，晚上播放这的时候 跟着一起哼，唱到“哦， My Love.....”，没有唱那句“咱们结婚吧”，她问我为什么不唱，我只是对她傻傻一笑，媳妇别急，下周六3月12向你求婚,1913,2016年3月8日
221422584,126229176,hades0125,小时候我爱哭，我妈就整天说再哭警察就来把你带走，然后我就不敢哭了。后来我跟一个警察恋爱了六年，双方家里就闹了六年。最终他选择回归正常生活，跟一个女的结婚。在他结婚那天，我静静地坐在家里，微笑着回头问我妈“你说如果我现在哭，警察会来把我带走吗？”我妈哭了。,660,2016年9月28日
71724936,42506790,有一个桃子她爱笑,听到这歌我想我未来老公了😂虽然我还不知道你在哪里你叫什么，可我挺想你的,405,2016年2月18日
1375440794,493841476,赛马王妃_,你心里已经有答案了,13,2019年1月31日
1375378958,607806024,帐号已注销,对的 划重点,0,2019年1月31日
1375319119,1727654003,月下狐九,会唱这首歌给我听的男孩已经不见了,70,2019年1月31日
1375340652,348965875,倩623,休假的这几天父母给安排了几个相亲，没有提前说很反感，本来想好好的过个年，却很无奈啊！我想去西安,24,2019年1月31日
1375257975,506434320,未央在冬季__,一定要把这首歌练好,25,2019年1月31日
1375207371,312384956,唯美丨曦爷,恭喜恭喜,1,2019年1月31日
1375087419,388546631,加加加加加加冰,遇到一个聊得来的人，所有都很合适，所有都很好，唯一不能接受的就是走路的姿势。有没有办法救？在线等回复,8,2019年1月31日
1375116832,1291855133,blingbiubiub,我，送给了自己一个戒指💍,7,2019年1月31日
1375128594,46353867,伊扬_MaKA,还想单曲听青山语呢，就跳到这首了可惜没有男朋友，不然就单曲这首了,8,2019年1月31日
1374828108,330123816,茶蛋包,我当时默默学了好久想要唱给你听的歌，可惜，没机会了,0,2019年1月31日
1374803755,1600113857,兕泤yu,祝你们白头到老，一定要幸福哦，你们新婚第一天我就要去学校报道了[多多笑哭],2,2019年1月31日
1374789805,1600113857,兕泤yu,千言万语都不如一句“我们结婚吧”，再多的迷恋都不如一句“以后有我的地方就是你的家”，,8,2019年1月31日
1374690931,114671627,AhandfulofAWP,新婚快乐,0,2019年1月31日
1374661300,67011319,可乐加小冰,如果我恋爱了 我的另一半必须绝对喜欢我像小熊维尼喜欢蜂蜜那样喜欢像天眼神虎喜欢牛皮糖那样喜欢像蕉太狼喜欢香蕉那样喜欢这简直是不能商量的事情,17,2019年1月31日
1374620834,1381418372,林将军的笔芯,我觉得婚姻是一种负担，相爱可以，结婚还是算了吧。,5,2019年1月31日
1374322680,379594246,只为黑色,你每次结婚？？？？,1,2019年1月31日
1374161489,1748614132,心疼时光,刚和一个好朋友聊天，他开心的手舞足蹈的给我讲他想毕业了工作一年就结婚，然后转口又说他现在都像结婚，我真的羡慕，真的羡慕在合适的年纪遇到了想结婚的人，我就错在早早的遇到了喜欢的人，然后不是合适的时间终是分开了，然后遇到的怎么都喜欢不起来。。。叫我怎么敢想毕业工作稳定就结婚。,13,2019年1月30日
1373707059,593671345,花枝满春,快结婚了 分手了,8,2019年1月30日
1373522467,256994460,狐莲莲,笑出声,0,2019年1月30日
1373429486,607806024,帐号已注销,想穿婚纱但不想结婚😂重点来了，想结婚也没对象,12,2019年1月30日
