4343048,29783170,Nazo-S,国产良心作啊！！！第二季苦等不来！！,12.2万,2014年9月17日
5210630,35594639,刀刀_,说好了的吧，十年之约继续等，所以，给我高高飞起来吧！星游记！,76668,2014年10月27日
17689241,55983395,潇肆的谎言,真正的中国动画，动漫就是像这样有内涵，韵味，热血等，不管怎样我大天朝的动漫动画都有着一种深深吸引着我天朝人民的魅力。可以说我看了中国很多动画，日本很多动画动漫，但是却只有星游记让我如此铭记，从开播到现在四年了每次一看到星游记一听到主题曲都有一股热泪在眼睛里打转,60047,2015年5月9日
27481451,28499421,sail_on_rain,2015年3月19日官方微博复活，并于4月1日宣布星游记第二季正式重启。第二季的预告片将会在2015年7月月底面世，在预告片推出之后半年内公映星游记第二季。各位星迷敬请期待...今天七月二十二日，等着你啊星游记第二季的预告片。,37228,2015年7月22日
66951338,124398835,xiaohejianjian,1. “不可能”这三个字，你说的太多了！ ——哈雷 2. 如果傻瓜才能坚持梦想，那就叫我大傻瓜吧！ ——麦当 3. 王冠会让戴上它的人高人一头，是地位的象征。但王冠真正的意义是：当灾难从天而降时，我会为你们抵挡一切，永远让你们只看到金色的希望。 ——约士亚,29460,2016年2月1日
134179746,112774227,是真正的老王,下跪的米龙谁还记得……,18247,2016年3月26日
5605297,546350,pianoboy,第二季我在等！,17237,2014年11月9日
9168212,42536064,李培指,明明还要再次飞行，不能停在这里！,17162,2015年1月21日
7690207,20490673,mikifuns,听歌暴露年龄了吧,15942,2014年12月26日
40796842,80297124,虽不安但很空洞,最好看的就是大战克拉，面对能够毁灭半个星球火药云，义无返顾的冲上去，，在一拳打飞克拉的同时，阳光冲破了黑暗，主题曲在这刻凝聚了，麦当的身影被光芒照进全身，支撑他的是什么？因为，答应别人的事就要做到啊！！！！！乱七八糟的，我们就是要冲下去啊！！！！,12708,2015年10月14日
9374161,29493221,梦中的那座城,相信。麦当:等着我啊爸爸！。。一直缺少他那种敢于对抗的勇气。。跪求第二季啊。,11160,2015年1月24日
62395777,100208019,禾火明,“终于修好了”“搞什么萝卜嘞”“哈哈，在一次飞行吧!”“因为特殊引力的关系，这里的十分钟就是地球的”“四年”,9496,2016年1月16日
653357910,88536213,嗨-腾飞君,有史以来最大的谎言:彩虹海。彩虹海之后最大的谎言:英雄米龙。英雄米龙之后最大的谎言:未完待续,9395,2017年12月27日
41932527,12196060,爱你爱笑的眼睛,大一的时候我看了星游记，当时奔走呼号，说国产动漫崛起了，良心漫画要顶起来，现在，我即将毕业，我用一个大学的时间等着你呢，我们的约定啊！,8191,2015年10月21日
8229198,43056101,雩辰,电动画有动态了！可能是星2。详情看微博,6698,2015年1月5日
