37747757,19262156,小时姑娘呐,第一次来，被这里评论数惊呆了！谢谢大家厚爱我们的爱殇！好感动！我要一条条看完！,16.1万,2015年9月25日
33944370,89190215,圣-埃克苏佩里,神级配乐，几乎可以驾驭所有的虐文,10.5万,2015年8月31日
5640488,6509845,金桔仙仙,原唱就是小时,47331,2014年11月10日
175318495,122282396,betruuu,"爱得太晚 做得太狠 醒得太迟",35240,2016年6月28日
1322042678,19262156,小时姑娘呐,时隔多年，《爱殇》经过时间的发酵，获得了很多朋友的喜爱，这是我们从未想象过的。我们从未想过，9年前的一首歌，会在大家的厚爱下从出租屋走上电视剧《东宫》。有太多想说的话讲不完，文采也没有MK好，就真心感谢这首歌让五个平凡的年轻人聚在了一起。我们是小时、小幻、MK、龚骏、驮二爷。,29991,2018年12月9日
5581406,41680915,时逝如水永不回头,天晴朗好风光，若你不在身旁，能上穹苍又怎样。,28049,2014年11月8日
479075428,329606583,晚吟多是看山回,我仿佛做了一个很长很长的梦，梦里我还是西凉的九公主，坐在沙丘上，等着那个师傅说的天下最好看的男子，他是那样的好看，他为了我去杀白眼狼王，还为了我捉了一百只萤火虫,26090,2017年7月21日
164162140,101837139,悦人嗯,很奇怪拥有这么多好的唱功和音色的小时居然不出名，也许是因为没必要吧。我从小也是学音乐的，可惜最终没有走这条路，也就只能当小时候的梦吧，毕竟生活的压力还是很大的，能无顾虑追梦的人还是少。,24801,2016年6月3日
1107808503,105908250,los-xxx,听到这首歌 我就想到一个画面，茫茫沙丘有一只狐狸，等啊等，等啊等再也等不到它要等的姑娘,13814,2018年5月5日
426297915,438478833,谢知舟,他教我，收余恨，免娇嗔，休恋逝水，苦海回身,10832,2017年6月2日
250785355,361922706,__Lychee____,怎么说，这首歌也许并没有一来就很惊艳的感觉。因为她最开始有一种娓娓道来的感觉。她略微沙哑的声音，本来就有一种悲伤。并没有可以去表现。最后的高音，就像是最开始所有沉静的积累的爆发。这种悲伤和爱，显得更厚重而不单薄。,10290,2016年11月21日
459704057,417237237,独钟_,原来那只狐狸，一直没等到它要等的那个姑娘,10023,2017年7月3日
1405230701,336474357,海中月是天边月,男主如果从头渣到尾也罢了，偏偏每次他都愿意陪女主跳下去。这样的人，骗一个女孩子太容易了。,9998,2019年2月27日
1333686916,292553205,二次光年,您道出真相。,6188,2018年12月21日
1351110953,319698030,越儿不是卿九九,这个是真的 所有虐的片段配合这个音乐 都不违和,5246,2019年1月8日
