12639320,37129350,那女孩吃了花,封面的意思是“不约，叔叔我们不约”,18万,2015年3月15日
12345324,30261053,BGM君,我给你们说一定要看MV,10.2万,2015年3月11日
9779777,37865301,笑死欧文龙,三秒前奏一出果断收藏,58575,2015年1月31日
23303483,45306128,Tobiaaaaaas,一开始听成love runs out了。。。😂😂😂,35477,2015年6月23日
12993366,34397298,linaxellos,前奏一出刚拿起的英语书又放下了了 ,32879,2015年3月20日
12355752,45745397,正义的使者,听歌就听歌 别扯什么a站b站 想要赞就好好听歌 说出感想 自然会有志同道合的听友,30783,2015年3月11日
134965828,75054161,傲慢才是,开头五秒我以为是i miss you,27063,2016年3月28日
39296818,68490283,素晴的日常,下班路上听这歌，电动车能骑出法拉利的感觉,25547,2015年10月6日
72873126,103052869,MrsWhatever,一个简简单单的Run，可以翻译成“逃离这无疾而终的爱情结局”！！！赞～,19343,2016年2月21日
18198812,3889068,Nicholas-Ironstick-Lee,傲气面对万重浪，热血像那红日光,18140,2015年5月14日
41971183,58079721,MusicWars,Time Machine出自美国女歌手Ingrid Michaelson的第六张专辑《Lights Out》，Ingrid 属于小众独立音乐人，父亲是一位古典圣诞作曲家，母亲是一位雕塑家，从小就受到音乐和艺术熏陶，也形成了自己的音乐创作方式，Time Machine是摇滚色彩浓厚的独立流行乐，中毒式的前奏，干净流畅的编曲和唱腔，循环循环,10612,2015年10月21日
127528560,19336151,周狗蛋儿_,撸论文最佳bgm打字配合上节奏简直萌萌哒Ps附上装逼小技巧一则：不论打字快不快，空格一定要敲得响,9974,2016年3月9日
468211194,312349862,又_梦,你是否有四个样子？一个是在朋友面前疯癫的样子，一个是在恋人面前完美的样子，一个是只身一人时脆弱的样子，还有一个，是在陌生的人群中安安静静地样子。,6191,2017年7月11日
69305992,119805272,萌面大婶呀,和everybody 简直是想不到同一个人唱的,5776,2016年2月10日
62547378,121851891,小张去买糖了,经常看到有人说边用网易听歌边写作业效率怎么怎么高的，今天试了一下，尼玛明天又得欠作业了，这样的结果就是一只手撑着脑袋，另一只手拿着笔在刷屏看评论，二郎腿还在那不停地弹,4692,2016年1月17日
