4844363,11900825,醉音倾慕竹,突然发现这个封面很适合这个转盘,17.7万,2014年10月12日
5135297,31863522,林余夏,因为这首歌把《星运里的错》给看了，小清新的电影，两个绝症少年的临终生死恋，即使无法承诺“Always”，也要珍惜有限里的无限……,72208,2014年10月24日
53722310,68630000,车儿里,我因为在微博上看了May J Lee编舞的「Boom Clap」才来搜的这首歌，有谁也是?,47612,2015年12月14日
232214699,281553525,人言落日是天涯-,我在学校看上一个女生，听说她喜欢云音乐，于是我下载了，想借助云音乐提升逼格把女神拿下，一个月后，我把女神忘了。,42880,2016年10月19日
63400281,56816224,买吃的吃_,I hope you realize that you trying to keep your distance from me in no way lessens my affection for you. All your efforts to keep me from you are gonna fail. 我希望你明白，即使你跟我保持距离，我对你的深情也丝毫不减。一切试图让我幸免于你的努力都是徒劳。 ——《星运里的错》,29761,2016年1月20日
6488377,31436309,高冷的人,看AMA时弹幕说这首是车祸现场，听了原版，果然。。。。。。。。,18788,2014年11月30日
42483360,58079721,MusicWars,Boom Clap是英国创作歌手兼制作人Charli XCX的小有名气之作，歌曲最先是洗茶写给自己的出道首专的，之后拿给已成名的Hilary Duff希望能得到垂青，可惜被拒绝，后来洗茶把它献给电影《星运里的错》，作为电影原声带的首单发行，紧凑强烈的节奏感，怪诞式的唱腔，很好听很洗脑的一首歌，ps：电影也很好看,13771,2015年10月23日
7012068,40832786,福灵剂一小口,维密2014,13320,2014年12月12日
36747261,87897976,许你余生-,前奏跪，开口跪，间奏跪，副歌跪，嗓音跪，麻麻问我为什么跪着听歌,11201,2015年9月19日
6339233,3409248,喜欢远走高飞,在2014AMA看到这风骚的歌手，感觉唱得很带感,9833,2014年11月26日
6981531,43068079,madao123123,每日一曲，第六十七首。从维密的发现的哈哈哈哈哈哈哈哈,7741,2014年12月11日
61859487,100867255,清远溪长,有多少人是看may j Lee 的街舞视频下载这首歌的？,5422,2016年1月14日
651529769,130424033,3929298383,我在每一首我爱的歌下面都留下了圣诞快乐这句话噢，祝云村每个小朋友都要圣诞快乐😃🎄,5141,2017年12月25日
1313855796,534855551,樱champion,刚才一对学生模样的情侣在滨江沙公园问我喜来登酒店怎么走，我毫不犹豫的指向了新华书店的方向。希望他们能在知识的海洋里找回迷失的自己。,5024,2018年11月30日
18872341,57886575,JagerMemeister,终于发现《何以笙箫默》 的封面就是抄袭这个的,4659,2015年5月20日
