52457353,84743050,小祥4400,为了偷窥女孩子的裙底你也是蛮拼的。,11.6万,2015年12月9日
25662290,74540877,子不语_C,白子画，你若敢为你门中弟子伤她一分，我便屠你满门，你若敢为天下人损她一毫，我便杀尽天下人。,60134,2015年7月9日
166103273,263809016,卫生已成精,我也好想有个杀姐姐 在我前几年高考的时候告诉阅卷老师 你若敢扣他一分 我便屠你满门 你若敢误他前程 我便杀尽天下人,35711,2016年6月8日
132582848,253589908,594只是看起来很努力,写歌的人假正经听歌的人最无情人要是矫情起来 听什么都像在唱自己,24881,2016年3月22日
1069094513,264083,歌手魏新雨,网易云的朋友们：我来咯！感谢大家对这首歌的支持与喜爱❤️,23626,2018年3月30日
22529226,74540877,子不语_C,风卷残衣，笑如红纱，直叫人为之痴颜。绯陌倾城，颜倾六界，确如一丹抹青莲。痴心等候，守望千年，奈何为一片羁留。,20053,2015年6月17日
125743314,83664706,帐号已注销,这首歌的创作者叫张超，贵州人。即使在贵州，认识他的人也不多，但大家一定听过《自由飞翔》《最炫民族风》《荷塘月色》《不要再我寂寞的时候说爱我》《不是因为寂寞才想你》等音乐。贵州很多人会不时哼起《我在贵州等你》，但少有人了解张超。高中时看过一篇关于他的文章，浮躁的心，感动不已。,17541,2016年3月3日
24593495,75322010,独步乀,最后那是恋人心碎的声音,12801,2015年7月2日
15634522,57274329,lavande11,歌词很美~每次听，都有种"春水初生，春林初盛 春风十里 不如你"的感觉,11388,2015年4月19日
14662689,62694501,杨不最,我只想问，最后铲垃圾的一下声音，是想干嘛，吓不死我,8577,2015年4月8日
161327961,68013837,Mr_楼下小黑,她最爱的一首歌。毕业前，她跟我说：我怕你不在我身边我会不爱你。 于是我放弃了在上海一月近1w的待遇来到她身边。如今她说我们性格不合，把我丢在这无依无靠的城市。我一次次的告诉自己是男人。。。我不能哭。,6740,2016年5月28日
13858812,38283804,音乐独角戏,中国风真好听，但最后呲的一下是怎么回事,6103,2015年3月30日
633191941,417768403,杜暮周的独木舟,等有资格结婚了。我要嫁给一个性情稳定的男人，我们各自上班下班，过朝九晚五的生活。我们一起在领工资的那一天小小的大吃一顿搞劳自已，我们手牵手去银行。存我们每个月的爱情储蓄，给我们将来的小Baby。开着我们小排量的大笛笛，看着存折上的小数点。满足于我们小小的成绩。,5362,2017年12月5日
649401865,508192256,我是邮政卡,在新疆当兵，她来看我，她走的那天，给我唱了首歌，眼泪根本停不下来。一起读书那时候，总是觉得这样的日子总是很长，长到足够让人想起时光的遥远，想起毕业的遥遥无期。而转眼之间，世界的变化，沧海桑田。现在她已经结婚了。而我还走不出来。她的手只有我的手四分之三那么大 可我还是没能抓住,4908,2017年12月23日
14422466,60271848,夏末浅时光,好好听哦,3336,2015年4月6日
